id,name,dealer_type,priority,address,city,state,country,country_code,continent,phone,email,website,latitude,longitude,linkedin_url
1,DJI Authorised Store Westfield shopping city süd Vienna,Retail Store,low,"Allee 123, 2334 Vösendorf",Politischer Bezirk Wien (Stadt),Wien,Austria,AT,Europe,+436642053528,,https://www.djistore.de/,48.109831,16.315413,
2,DJI Authorised Store Na Florenci St Prague,Retail Store,low,"Na Florenci 2139/2, 11000 Nové Město, Czech Republic",Hlavní město Praha,Hlavní město Praha,Czech Republic,CZ,Europe,+420736608962,,,50.088442,14.433624,
3,DJI Authorised Store MyZeil Frankfurt,Retail Store,low,"Zeil 106, 60313 Frankfurt am Main, Germany",Regierungsbezirk Darmstadt,Hessen,Germany,DE,Europe,+4969348777499,,https://www.djistore.de/,50.114989,8.678495,
4,DJI Authorised Store Olympia-Einkaufszentrum Munich,Retail Store,low,"Hanauer Str. 68, 80993 München, Germany",Upper Bavaria,Bayern,Germany,DE,Europe,+498939298767,,https://www.djistore.de/muenchen/,48.1833,11.530037,
5,DJI | Hasselblad Store Westfield Centro Centro Oberhausen,Retail Store,low,"Centroallee 113-114, 46047 Oberhausen, Germany",Reg.-Bez. Düsseldorf,Nordrhein-Westfalen,Germany,DE,Europe,+4920878015469,,https://www.djistore.de/oberhausen/,51.490281,6.876879,
6,DJI Authorised Store Hamburg Germany,Retail Store,low,"Überseeboulevard 7, 20457 Hamburg",Homberg,Rhineland-Palatinate,Germany,DE,Europe,+49 176 89915072,,https://www.djistore.de/,53.546396,9.960957,
7,DJI Authorised Store Amagertorv St Copenhagen,Retail Store,low,"Amagertorv 20, 1160 København, Denmark",Københavns Kommune,Region Hovedstaden,Denmark,DK,Europe,+4553510011,,,55.678678,12.577563,
8,DJI Authorised Store Westfield La Maquinista Barcelona,Retail Store,low,"Centre Comercial Westfield La Maquinista B20 Frente a Barça Store, C/ de Potosí, 2, Planta Baja, 08020 Barcelona,Spain",Barcelona,Cataluna,Spain,ES,Europe,+34933030380,,https://www.djistoreiberia.com/,41.440626,2.197579,
9,ARS Madrid Spain,Retail Store,low,"Av. gran bretaña, s/n, 28916 Leganés, Madrid, 西班牙",Madrid,Madrid,Spain,ES,Europe,34912951154,madrid@djistoreiberia.com,,40.340145,-3.733184,
10,DJI Authorised Store Rue Soufflot St Paris,Retail Store,low,"15 Rue Soufflot, 75005 Paris",Paris,Île-de-France,France,FR,Europe,+33176440108,,https://dji-paris.com/,48.847775,2.341385,
11,DJI Authorised Store Les Terrasses du Port Marseille,Retail Store,low,"Centre commercial Les Terrasses du Port  9 Quai du Lazaret, 13002 Marseille",Marseille,Bouches-du-Rhône,France,FR,Europe,+33 4 12 29 01 30,contact@dji-marseille.com,https://dji-marseille.com/,43.306968,5.364641,
12,DJI Authorised Store Rue du Président Carnot St Lyon,Retail Store,low,"4 Rue du Président Carnot, 69002 Lyon",Lyon,Rhône,France,FR,Europe,+33483970185,,https://dji-lyon.com/,45.762563,4.834552,
13,DJI | Hasselblad Store Westfield White City London,Retail Store,low,"U1063 Westfield London Shopping Centre, London, W12 7GB",City of London,City of London,United Kingdom,GB,Europe,+44 02030986990,whitecity@dji-retail.co.uk,,51.506712,-0.222411,
14,DJI | Hasselblad Store Regent St London,Retail Store,low,"52 Regent St., London W1B 5RL",Greater London,England,United Kingdom,GB,Europe,+44 02033370746,,,51.510259,-0.135353,
15,DJI | Hasselblad Store Corporation St Birmingham,Retail Store,low,"23 New St, Birmingham B2 4RQ",West Midlands,England,United Kingdom,GB,Europe,+441217500145,,https://dji-retail.co.uk/,52.479115,-1.897719,
16,DJI Authorised Store Lækjargata St Reykjavik,Retail Store,low,"Kolagata 1, 101 Reykjavík,Iceland",Reykjavík,Greater Reykjavík,Iceland,IS,Europe,+354 519 4747,,,64.146994,-21.937685,
17,DJI Authorised Store CityLife Shopping District Milano,Retail Store,low,Citylife Shopping District,Milano,Lombardia,Italy,IT,Europe,+39199201010,,https://dji-store.it/,45.478144,9.156893,
18,DJI Authorised Store Centro Commerciale Euroma2 Roma,Retail Store,low,Centro commerciale Euroma2 Viale dell'Oceano Pacifico 83,Roma,Lazio,Italy,IT,Europe,+39199201010,,https://dji-store.it/,41.817377,12.458792,
19,DJI | Hasselblad Store Mall of the Netherlands Leidschendam,Retail Store,low,"jasmijn 11, 2262 AN Leidschendam, Netherlands",Pijnacker-Nootdorp,Zuid-Holland,Netherlands,NL,Europe,+31624103172,,https://dji-experiencestore.com/,52.088752,4.38233,
20,DJI Authorised Store Oslo Norway,Retail Store,low,"Karl Johans gt. 8, Oslo, Norway",Oslo,Oslo,Norway,NO,Europe,+45 27 60 60 60,,,59.911664,10.746966,
21,DJI Authorised Store Stary Browar Poznan,Retail Store,low,"Półwiejska 42,61-888 Poznan",Poznań,Greater Poland,Poland,PL,Europe,+48734734920,,,52.400922,16.928014,
22,DJI Authorised Store Galeria Katowicka Katowice,Retail Store,low,"3 Maj 30, 40-097 Katowice",Katowice,Silesia,Poland,PL,Europe,+48734734920,,,50.259376,19.017513,
23,DJI Authorised Store Marynarska St Warszawa,Retail Store,low,"Marynarska 15, 02-674 Warsaw",Warszawa,Mazovia,Poland,PL,Europe,+48734734920,,,52.178248,20.997613,
24,DJI Authorised Store Drottninggatan St Stockholm,Retail Store,low,"Drottninggatan 57, 111 21 Stockholm",Stockholm,Stockholm,Sweden,SE,Europe,+46760001060,,,59.333849,18.059944,
25,DJI Authorised Store Midtown Guadalajara,Retail Store,low,"PLAZA MIDTOWN JALISCO, Av Adolfo López Mateos Nte 2405-2º NIVEL, Local 89, Italia Providencia, 44648 Guadalajara, Jal.",Guadalajara,Jalisco,Mexico,MX,North America,+523331136049,,,20.694624,-103.375786,
