Company Name,Normalized Name,Domain,Source,Entity Type,Score,Confidence,Website,LinkedIn,City,Employees,Signal Keyword,Snippet
"DRONE INSPECTION","drone inspection",,govt_registry,unknown,95,high,,,"",,"NAF_A:71.20B|dock_kw|structured|PME/micro","DRONE INSPECTION — NAF 71.20B, emp band NN"
"CARIBEENNE D'EXPERTISE ET DE DRONES","caribeenne dexpertise et de drones",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro","CARIBEENNE D'EXPERTISE ET DE DRONES — NAF 71.12B, emp band 01"
"SQUADRONE SYSTEM","squadrone system",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro","SQUADRONE SYSTEM — NAF 71.12B, emp band 12"
"DRONE CONSULTING","drone consulting",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.20B|provider_kw|structured|emp:03|PME/micro","DRONE CONSULTING — NAF 71.20B, emp band 03"
"BATHY DRONE SOLUTIONS","bathy drone",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro","BATHY DRONE SOLUTIONS — NAF 71.20B, emp band 02"
"SAS DRONE SERVICES","sas drone",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro","SAS DRONE SERVICES — NAF 71.12B, emp band 01"
"DRONE EXPERTISE CENTRE","drone expertise centre",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro","DRONE EXPERTISE CENTRE — NAF 71.20B, emp band 02"
"DRONES INGENIERIE SYSTEMES","drones ingenierie systemes",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.20B|provider_kw|structured|emp:01|PME/micro","DRONES INGENIERIE SYSTEMES — NAF 71.20B, emp band 01"
"DIODON DRONE TECHNOLOGY","diodon drone",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro","DIODON DRONE TECHNOLOGY — NAF 71.12B, emp band 12"
"DRONEDELATTREEXPERTISE","dronedelattreexpertise",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro","DRONEDELATTREEXPERTISE — NAF 71.12B, emp band 01"
"SKYDRONE INNOVATIONS","skydrone innovations",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:11|PME/micro","SKYDRONE INNOVATIONS — NAF 71.12B, emp band 11"
"ARTECH'DRONE","artechdrone",,govt_registry,unknown,90,high,,,"",,"NAF_A:71.12B|provider_kw|structured|emp:03|PME/micro","ARTECH'DRONE — NAF 71.12B, emp band 03"
"SCANDRONE","scandrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","SCANDRONE — NAF 71.12B, emp band 01"
"INSTADRONE","instadrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:12|PME/micro","INSTADRONE — NAF 71.12B, emp band 12"
"SAS DRONES EXPERTISES 2.9","sas drones expertises 29",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","SAS DRONES EXPERTISES 2.9 — NAF 71.20B, emp band NN"
"SIG-DRONE","sigdrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro","SIG-DRONE — NAF 71.12B, emp band 02"
"DRONE EXP'AIR TECH","drone expair tech",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONE EXP'AIR TECH — NAF 71.20B, emp band NN"
"DRONES TECHNOLOGIES SERVICES","drones",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONES TECHNOLOGIES SERVICES — NAF 71.20B, emp band NN"
"DRONE EXPERT'","drone expert",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","DRONE EXPERT' — NAF 71.12B, emp band NN"
"DRONE 2I","drone 2i",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","DRONE 2I — NAF 71.12B, emp band 01"
"H2DRONE","h2drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|generic_name|structured|emp:02|PME/micro","H2DRONE — NAF 71.20B, emp band 02"
"AURA DRONE","aura drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","AURA DRONE — NAF 71.12B, emp band 01"
"Flying Eye","flying eye",flyingeye.fr,comet,reseller,85,high,https://www.flyingeye.fr,,"06410 Biot",,"DJI Dock 3 Authorized: Yes","DJI Enterprise Dealer; First BVLOS DJI Dock auth. in France (with Altametris for SNCF, 2023)"
"Abot","abot",abot.fr,comet,reseller,85,high,https://www.abot.fr,,"76230 Isneauville",,"DJI Dock 3 Authorized: Yes","DJI Enterprise Authorized Dealer"
"DRONE X SOLUTIONS","drone x",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONE X SOLUTIONS — NAF 71.20B, emp band NN"
"BERINGER DIAG & DRONE","beringer diag drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|generic_name|structured|emp:01|PME/micro","BERINGER DIAG & DRONE — NAF 71.20B, emp band 01"
"CARTODRONE","cartodrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","CARTODRONE — NAF 71.12B, emp band 01"
"DRONE TECH TOITURE","drone tech toiture",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONE TECH TOITURE — NAF 71.20B, emp band NN"
"THERMODRONESERVICES","thermodroneservices",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","THERMODRONESERVICES — NAF 71.20B, emp band NN"
"INGENIERIE & DRONE SOLUTIONS","ingenierie drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","INGENIERIE & DRONE SOLUTIONS — NAF 71.12B, emp band NN"
"TAHITI TECHNODRONE","tahiti technodrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","TAHITI TECHNODRONE — NAF 71.12B, emp band NN"
"DRONEX16","dronex16",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","DRONEX16 — NAF 71.12B, emp band 01"
"AGRODRONE","agrodrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","AGRODRONE — NAF 71.12B, emp band 01"
"INTERNATIONAL DRONE SERVICES","international drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","INTERNATIONAL DRONE SERVICES — NAF 71.12B, emp band NN"
"DRONES EXPERTISES","drones expertises",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONES EXPERTISES — NAF 71.20B, emp band NN"
"DRONE SOLUTIONS INVEST","drone solutions invest",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","DRONE SOLUTIONS INVEST — NAF 71.20B, emp band NN"
"FRANCE DRONE SERVICES","france drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.20B|provider_kw|structured|PME/micro","FRANCE DRONE SERVICES — NAF 71.20B, emp band NN"
"DRONEDEV CONSULTING","dronedev consulting",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","DRONEDEV CONSULTING — NAF 71.12B, emp band NN"
"AGENIUM DRONES SOLUTIONS","agenium drones",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","AGENIUM DRONES SOLUTIONS — NAF 71.12B, emp band NN"
"DRONE TECH","drone tech",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","DRONE TECH — NAF 71.12B, emp band NN"
"INTERDRONES SERVICES","interdrones",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|provider_kw|structured|PME/micro","INTERDRONES SERVICES — NAF 71.12B, emp band NN"
"FORMAT-DRONE","formatdrone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro","FORMAT-DRONE — NAF 71.12B, emp band 02"
"ENERGY DRONE","energy drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","ENERGY DRONE — NAF 71.12B, emp band 01"
"SEMADRONES","semadrones",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:11|PME/micro","SEMADRONES — NAF 71.12B, emp band 11"
"DRONE 06","drone 06",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","DRONE 06 — NAF 71.12B, emp band 01"
"AIR SPACE DRONE","air space drone",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:02|PME/micro","AIR SPACE DRONE — NAF 71.12B, emp band 02"
"DRONEXSOLUTION","dronexsolution",,govt_registry,unknown,85,high,,,"",,"NAF_A:71.12B|generic_name|structured|emp:01|PME/micro","DRONEXSOLUTION — NAF 71.12B, emp band 01"
"DRONE PLANET ECO ROBOTS","drone planet eco robots",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE PLANET ECO ROBOTS — NAF 71.12B, emp band NN"
"BIO DRONES FRANCE","bio drones france",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","BIO DRONES FRANCE — NAF 71.12B, emp band NN"
"NAUTIDRONE","nautidrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","NAUTIDRONE — NAF 71.20B, emp band NN"
"SOLODRONE","solodrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","SOLODRONE — NAF 71.12B, emp band NN"
"MKX DRONES","mkx drones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","MKX DRONES — NAF 71.12B, emp band NN"
"MYDRONESOLUTION","mydronesolution",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","MYDRONESOLUTION — NAF 71.20B, emp band NN"
"ELTADRONE","eltadrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ELTADRONE — NAF 71.12B, emp band NN"
"DRONEXPLORER","dronexplorer",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONEXPLORER — NAF 71.12B, emp band NN"
"VYNSKY DRONE","vynsky drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.20B|generic_name|structured|PME/micro","VYNSKY DRONE — NAF 71.20B, emp band NN"
"CLEAN DRONE","clean drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","CLEAN DRONE — NAF 71.12B, emp band NN"
"DRONE FORCE","drone force",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONE FORCE — NAF 71.12B, emp band NN"
"MLV DRONE","mlv drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","MLV DRONE — NAF 71.12B, emp band NN"
"PHOENIX DRONES","phoenix drones",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","PHOENIX DRONES — NAF 71.12B, emp band NN"
"DRONETUDES","dronetudes",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DRONETUDES — NAF 71.12B, emp band NN"
"DEFIS-DRONE","defisdrone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DEFIS-DRONE — NAF 71.12B, emp band NN"
"AIR DRONE SOLUTION","air drone solution",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","AIR DRONE SOLUTION — NAF 71.12B, emp band NN"
"DIAG DRONE","diag drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","DIAG DRONE — NAF 71.12B, emp band NN"
"APPLICATIONS DRONES ET GEOPHYSIQUES","applications drones et geophysiques",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","APPLICATIONS DRONES ET GEOPHYSIQUES — NAF 71.12B, emp band NN"
"ATA DRONE","ata drone",,govt_registry,unknown,80,high,,,"",,"NAF_A:71.12B|generic_name|structured|PME/micro","ATA DRONE — NAF 71.12B, emp band NN"
