Company Name,Normalized Name,Category,Operations Type,Website,LinkedIn,Source Count,Sources,ILT Auth #,Notes
"Droneshop.nl","droneshopnl","DJI Reseller; DJI Enterprise Dealer; Drones.nl - droneshops","DJI Authorized Dealer; Enterprise Dealer (high priority)",https://droneshop.nl,linkedin.com/company/droneshopnl,3,"Comet Browser, DJI Enterprise Website, Drones.nl Directory","","s-Hertogenbosch; official DJI dealer"
"Skeye","skeye","BVLOS / DJI Dock Operator; DCRO Certified Operator; ILT OA Operator","BVLOS, DJI Dock, LUC Certified",https://www.skeye.com,linkedin.com/company/terradroneeurope,3,"Comet Browser, DCRO, ILT OA Register","","First Dutch company with LUC; BVLOS at Shell Rotterdam (Europort & Pernis)"
"Vliegend.nl BV","vliegendnl","DJI Reseller; DJI Enterprise Dealer; Drones.nl - droneshops","DJI Authorized Dealer; Enterprise Dealer (high priority)",https://www.vliegend.nl,linkedin.com/company/vliegend.nl,3,"Comet Browser, DJI Enterprise Website, Drones.nl Directory","","Raard (Friesland); professional UAV supplier & repair"
"Aerial Pro BV.","aerial pro","ILT OA Operator; Drones.nl - software","",https://www.aerialpro.nl,https://www.linkedin.com/company/aerial-pro,2,"ILT OA Register, Drones.nl Directory","NLD-OAT-004/02P",""
"Avy","avy","DCRO Certified Operator; ILT OA Operator","",https://avy.eu/,linkedin.com/company/avy,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"BartFPV","bartfpv","DCRO Certified Operator; ILT OA Operator","",https://www.bartfpv.com/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"binnAir","binnair","DCRO Certified Operator; ILT OA Operator","",https://www.binnair.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Cineshoots","cineshoots","ILT OA Operator; Drones.nl - luchtfotografie","",https://www.cineshoots.nl,,2,"ILT OA Register, Drones.nl Directory","NLD-OAT-097/01G",""
"DB Visuals","db visuals","DCRO Certified Operator; ILT OA Operator","",https://dbvisuals.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Drone Chiefs","drone chiefs","DCRO Certified Operator; ILT OA Operator","",https://www.nederlandsedronebeelden.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Drone Class B.V.","drone class bv","BVLOS / DJI Dock Operator; ILT OA Operator","BVLOS, DJI Dock",https://www.dronelicense.eu,linkedin.com/company/drone-class,2,"Comet Browser, ILT OA Register","","First DJI Dock in NL (2022); BVLOS training and operations"
"Drone Experience","drone experience","DCRO Certified Operator; ILT OA Operator","",https://drone-experience.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Drone with a Mission","drone with a mission","DCRO Certified Operator; ILT OA Operator","",https://dronewithamission.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Dronebotics","dronebotics","DCRO Certified Operator; ILT OA Operator","",https://nl.dronebotics.nl/,linkedin.com/company/dronebotics,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"DroneScenario","dronescenario","DCRO Certified Operator; ILT OA Operator","",https://www.dronescenario.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Dronestars B.V.","dronestars bv","DJI Reseller; DJI Enterprise Dealer","DJI Enterprise Dealer; Enterprise Dealer (high priority)",https://dronestars.nl,linkedin.com/company/dronestars-b-v,2,"Comet Browser, DJI Enterprise Website","","Hoofddorp; enterprise drone solutions Benelux"
"DroneView","droneview","DCRO Certified Operator; ILT OA Operator","",https://www.droneview.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Dutch Aerial Works","dutch aerial works","DCRO Certified Operator; ILT OA Operator","",https://www.dedicateddrones.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Dutch Drone Company BV.","dutch drone company","ILT OA Operator; Drones.nl - inspectie","",https://ddc.works,linkedin.com/company/dutch-drone-company,2,"ILT OA Register, Drones.nl Directory","NLD-OAT-011/02P",""
"Euro Drone Inspections","euro drone inspections","ILT OA Operator; Drones.nl - inspectie","",https://www.eurodronesinspections.com,https://www.linkedin.com/company/euro-drone-inspections-bv,2,"ILT OA Register, Drones.nl Directory","NLD-OAT-013/02G",""
"Float 360","float 360","DCRO Certified Operator; ILT OA Operator","",https://www.float360.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Geo Infra","geo infra","DCRO Certified Operator; ILT OA Operator","",http://www.geoinfra.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Geocentrum V.O.F.","geocentrum vof","DJI Reseller; DJI Enterprise Dealer","DJI Authorized Dealer; Enterprise Dealer (high priority)",https://geocentrum.nl,linkedin.com/company/geocentrum,2,"Comet Browser, DJI Enterprise Website","","Delft area; DJI dealer"
"Geodirect B.V.","geodirect bv","DJI Reseller; DJI Enterprise Dealer","DJI Enterprise Dealer; Enterprise Dealer (high priority)",https://www.geodirect.nl,linkedin.com/company/geodirect-bv,2,"Comet Browser, DJI Enterprise Website","","Mijdrecht; GIS & drone solutions; DJI enterprise"
"Haviq Inspect","haviq inspect","DCRO Certified Operator; ILT OA Operator","",https://haviqinspect.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Kiwi Aerial Shots","kiwi aerial shots","DCRO Certified Operator; ILT OA Operator","",https://kiwi-aerialshots.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"LAV Fotografie","lav fotografie","ILT STS Operator; ILT OA Operator","STS-01",https://www.lavfotografie.nl,,2,"ILT STS Register, ILT OA Register","ILT-2025/27291","Issued: 2025-01-08 00:00:00, Expiry: 2027-01-08 00:00:00"
"Nederland in Vogelvlucht","nederland in vogelvlucht","DCRO Certified Operator; ILT OA Operator","",https://nederlandinvogelvlucht.com/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Pro Aerial","pro aerial","DCRO Certified Operator; ILT OA Operator","",https://proaerial.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"ShipShot","shipshot","DCRO Certified Operator; ILT OA Operator","",https://shipshot.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"SkyMotion","skymotion","DCRO Certified Operator; ILT OA Operator","",https://skymotion.nl/,,2,"DCRO, ILT OA Register","","DCRO member (€500/yr, OA holders only)"
"Vortex Hardware & Maintenance BV","vortex hardware maintenance","BVLOS / DJI Dock Operator; DJI Reseller; DJI Enterprise Dealer","BVLOS, DJI Dock; DJI Enterprise Dealer / DJI Dock Installer; Enterprise Dealer (high priority)",https://www.vortex-hardware.com,linkedin.com/company/vortex-hardware-maintenance-bv,2,"Comet Browser, DJI Enterprise Website","","Heinenoord; drone integration & maintenance; Port of Rotterdam BVLOS ops"
"058nu","058nu","ILT STS Operator","STS-02",https://058nu.nl,,1,"ILT STS Register","ILT-2025/31819","Issued: 22-08-2025, Expiry: 22-08-2027"
"11 Shots Media","11 shots media","Drones.nl - luchtfotografie","",https://www.drones.nl/bedrijven/11shotsmedia,,1,"Drones.nl Directory","",""
"2 Brothers R/C","2 brothers rc","Drones.nl - droneshops","",https://www.drones.nl/bedrijven/2-brothers-r-c,,1,"Drones.nl Directory","",""
"2D Property Management B.V.","2d property management bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-289/01G",""
"2MB Media","2mb media","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-029/01G",""
"3D GeoData","3d geodata","DCRO Certified Operator","",https://3dgeodata.com/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"3DE Systems","3de systems","ILT OA Operator","",https://www.3desystems.com,,1,"ILT OA Register","NLD-OAT-292/01G",""
"67 Solutions B.V.","67 solutions bv","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-153/01G",""
"A. Agterberg","a agterberg","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-325/01G",""
"AB Drone","ab drone","DCRO Certified Operator","",https://www.abdrone.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"ABDrone","abdrone","ILT OA Operator","",https://www.abdrone.nl,,1,"ILT OA Register","NLD-OAT-038/03G",""
"Aboma Inspections","aboma inspections","ILT OA Operator","",https://www.aboma.nl,https://www.linkedin.com/company/aboma,1,"ILT OA Register","NLD-OAT-239/02G",""
"Acecore Technologies","acecore technologies","Drones.nl - inspectie","",https://www.drones.nl/bedrijven/acecore-technologies,,1,"Drones.nl Directory","",""
"Adcim B.V.","adcim bv","ILT OA Operator","",https://www.adcim.nl,,1,"ILT OA Register","NLD-OAT-121/01G",""
"Aerata","aerata","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-180/01G",""
"Aeret","aeret","Drones.nl - luchtvaart","",https://www.drones.nl/bedrijven/aeret,,1,"Drones.nl Directory","",""
"Aerial Intelligence","aerial intelligence","DCRO Certified Operator","",https://aerialintelligence.nl/,,1,"DCRO","","DCRO member (€500/yr, OA holders only)"
"Aerial Intelligence B.V.","aerial intelligence bv","ILT OA Operator","",https://aerialintelligence.nl/,,1,"ILT OA Register","NLD-OAT-193/02G",""
"Aeriallive Productions","aeriallive productions","ILT OA Operator","",,,1,"ILT OA Register","NLD-OAT-058/01G",""
