Authorization holder,Model,Technical specifications (DADS),DADS PDF URL(s),Date (DD/MM/YYYY),Class RPA,Type of approval
Quantum-Systems GmbH,TRINITY PRO,ERPAS-11734956-00,https://www.gov.br/anac/pt-br/assuntos/drones/arquivos/ERPAS_Trinity_Pro_v0.pdf,30/06/2025,Classe 3,Operação BVLOS
SPEEDBIRD VEICULOS AEREOS NÃO TRIPULADOS S/A,DLV-2 DLV-2 A25,ERPAS-9897205-01,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS___ERPAS_9897205_01.pdf,28/05/2024,Classe 3,Operação BVLOS
DJI,Agras T20P,ERPAS- 9474851-03,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T20P_rev.03.pdf,25/03/2024,Classe 3,Operação VLOS ou EVLOS
DJI,Agras T30,ERPAS- 9425610-02,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T30_rev.02.pdf,25/03/2024,Classe 3,Operação VLOS ou EVLOS
DJI,Agras T40,ERPAS- 9391076-02,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T40_rev.02.pdf,25/03/2024,Classe 3,Operação VLOS ou EVLOS
RODOPARANA IMPLEMENTOS RODOVIÁRIOS,XAG V40,ERPAS-9427013-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/XAGV40.pdf,11/01/2024,Classe 2,Operação VLOS/EVLOS
TECPONTA COMERCIO E SERVIÇOS LTDA,XAG P40,ERPAS-9438517-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/XAGP40_.pdf,11/01/2024,Classe 2,Operação VLOS/EVLOS
RODOPARANA IMPLEMENTOS RODOVIÁRIOS,XAG P100,ERPAS-9427078-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/XAGP100.pdf,11/01/2024,Classe 2,Operação VLOS/EVLOS
"SZ DJI TECHNOLOGY CO., LTD",Agras T20P (DJI-3WWDZ-20A),ERPAS-9474851-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T20P_amp__8203__.pdf,10/01/2024,Classe 2,Operação VLOS/EVLOS
"SZ DJI TECHNOLOGY CO., LTD",Agras T30 (DJI-3WWDZ-30A),ERPAS-9425610-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T30_.pdf,10/01/2024,Classe 2,Operação VLOS/EVLOS
"SZ DJI TECHNOLOGY CO., LTD",Agras T40 (DJI-3WWDZ-40A),ERPAS-9391076-00,https://www.gov.br/anac/pt-br/assuntos/drones/projetos-autorizados-1/DADS_Agras_T40__amp__8203_1.pdf,10/01/2024,Classe 2,Operação VLOS/EVLOS
