company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
C.R. Kennedy,Australia,Distributor,Dock 1,Unknown,https://survey.crkennedy.com.au,,https://survey.crkennedy.com.au/rpas-uav-drones/commercial-drones/DJI_Dock,Company Website,,,Medium,Large distributor with dedicated DJI Dock page.
D1 Store,Australia,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.d1store.com.au,,https://www.d1store.com.au/categories/dji-dock,Company Website,https://www.d1store.com.au/mobile/products/dji-dock-3,Company Website,High,Australian DJI retailer with product pages for original Dock and Dock 3.
Drone Dock Australia,Australia,System Integrator,Dock 1,Unknown,https://www.dronedock.com.au,,https://www.dronedock.com.au/,Company Website,,,Medium,Australian drone-in-a-box specialist with DJI Dock-focused offering.
Drones for Hire,Australia,Reseller,Dock 2; Dock 3,Unknown,https://dronesforhire.com.au,,https://dronesforhire.com.au/shop/drone/DJI-Dock-2,Company Website,https://dronesforhire.com.au/shop/drone/DJI-Dock-3,Company Website,High,Australian supplier listing both DJI Dock 2 and Dock 3.
EE Group,Australia,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://www.eegroup.com.au,,https://www.eegroup.com.au/enterprise-dji-dock,Company Website,https://www.eegroup.com.au/dji-dock-3,Company Website,High,"Enterprise solutions provider with DJI Dock, Dock 2 and Dock 3 pages."
Prisma Technologies,Australia,System Integrator,Dock 3,Unknown,https://prismatech.com.au,,https://prismatech.com.au/dji-dock-3-solutions,Company Website,,,Medium,Australian integrator promoting DJI Dock 3 solutions.
Sphere Drones,Australia,Authorized Dealer,Dock 3,Unknown,https://www.spheredrones.com.au,,https://www.spheredrones.com.au/products/dji-dock-3,Company Website,,,Medium,Australian enterprise drone supplier listing DJI Dock 3.
Aerial Solutions,Belgium,System Integrator,Dock 2; Dock 3,Unknown,https://www.aerialsolutions.be,,https://www.aerialsolutions.be/product/dji-dock-2-2/,Company Website,https://www.aerialsolutions.be/product/dji-dock-3/,Company Website,High,Belgian professional drone supplier with DJI Dock 2 and Dock 3 pages.
Avisum BV,Belgium,System Integrator,Dock 2,Unknown,https://avisum.pssurvey-groep.be,,https://avisum.pssurvey-groep.be/diensten/dji_dock_2/,Company Website,,,Medium,Belgian services firm with dedicated DJI Dock 2 solutions page.
DroneDepot,Belgium,Reseller,Dock 2; Dock 3,Unknown,https://www.dronedepot.be,,https://www.dronedepot.be/product/dji-dock-2/,Company Website,https://www.dronedepot.be/product/dji-dock-3/,Company Website,High,Belgian reseller listing DJI Dock 2 and DJI Dock 3.
Droneland,Belgium,Reseller,Dock 1; Dock 2; Dock 3,Unknown,https://droneland.be,,https://droneland.be/drones/dji-enterprise/dji-dock,Company Website,https://droneland.be/dji-dock-3,Company Website,High,Belgian reseller with original DJI Dock and DJI Dock 3 pages; also offers Dock 2.
Droprise,Belgium,Reseller,Dock 2; Dock 3,Unknown,https://www.droprise.be,,https://www.droprise.be/en_GB/shop/dji-dock-2,Company Website,https://www.droprise.be/dji-dock-3,Company Website,High,Belgian enterprise drone supplier with DJI Dock 2 and Dock 3 pages.
Koningdrone,Belgium,Reseller,Dock 1; Dock 3,Unknown,https://koningdrone.be,,https://koningdrone.be/en/product/dji-dock/,Company Website,https://koningdrone.be/categorie/dji-dock-3/,Company Website,High,Belgian drone seller with original DJI Dock and DJI Dock 3 pages.
Drone Direto,Brazil,Reseller,Dock 2,Unknown,https://www.dronedireto.com.br,,https://www.dronedireto.com.br/nu1rdcfxq-/dji-matrice-3d-com-dock-2-e-3-baterias,Company Website,,,Medium,Brazilian ecommerce listing Matrice 3D with Dock 2 bundle.
Drone Visual,Brazil,Reseller,Dock 2,Unknown,https://www.dronevisual.com,,https://www.dronevisual.com/dji-dock-2-drone-estacao-inteligentee,Company Website,,,Medium,Brazilian seller listing DJI Dock 2.
Geomat,Brazil,Reseller,Dock 1,Unknown,https://geomat.com.br,,https://geomat.com.br/novos/dji-dock/,Company Website,,,Medium,Brazilian geospatial supplier with DJI Dock page.
Agile Drone Services,Canada,Reseller,Dock 2,Unknown,https://agiledrones.ca,,https://agiledrones.ca/product/dji-dock-2/,Company Website,,,Medium,Canadian drone company listing DJI Dock 2.
Candrone,Canada,Authorized Dealer,Dock 3,Unknown,https://candrone.com,,https://candrone.com/collections/dji-dock-3,Company Website,,,Medium,North American authorized dealer collection for DJI Dock 3.
Drone City,Canada,Authorized Dealer,Dock 2,Unknown,https://dronecity.ca,,https://dronecity.ca/pages/dji-dock-2,Company Website,https://dronecity.ca/,Company Website,High,Canadian authorized reseller with DJI Dock 2 page and DJI enterprise storefront.
