company,country,sources,url1_existing,url1_new,url2_existing,url2_new,notes_existing,notes_new
DroneDepot,Belgium,Claude vs ChatGPT,https://www.dronedepot.be/product/dji-dock/,https://www.dronedepot.be/product/dji-dock-2/,https://www.dronedepot.be/winkel/,https://www.dronedepot.be/product/dji-dock-3/,Belgian DJI specialist in Affligem. Authorized distributor for DJI and accessories. Offers DJI Dock products for autonomous operations. Location: Affligem region (Halle-Vilvoorde).,Belgian reseller listing DJI Dock 2 and DJI Dock 3.
Droneland,Belgium,Claude vs ChatGPT,https://droneport.eu/2025/05/15/droneland-introduces-belgiums-first-mobile-drone-hub-dji-dock-3-unlocking-new-opportunities-for-automated-and-remote-controlled-drone-operations/,https://droneland.be/drones/dji-enterprise/dji-dock,https://en.droneland.nl/drones/dji-enterprise/dji-dock,https://droneland.be/dji-dock-3,Operates Belgium's first mobile DJI Dock 3 hub (Pick-Hub) with 2 units at DronePort Sint-Truiden. Partnership with Van Mossel for distribution. DroneLand has offices in Netherlands and Belgium.,Belgian reseller with original DJI Dock and DJI Dock 3 pages; also offers Dock 2.
Droprise,Belgium,Claude vs ChatGPT,https://www.droprise.be/en_GB/dji-dock-3,https://www.droprise.be/en_GB/shop/dji-dock-2,https://www.droprise.be/en_GB/shop/category/enterprise-docking-stations-141,https://www.droprise.be/dji-dock-3,"Authorized DJI Enterprise reseller and DJI Dock partner in Benelux. Located in Oostende. Phone: +32 59 24 20 50. Email: info@droprise.be. Offers hardware and software solutions, integrations, training.",Belgian enterprise drone supplier with DJI Dock 2 and Dock 3 pages.
Koningdrone,Belgium,Claude vs ChatGPT,https://koningdrone.be/product/dji-dock-2/,https://koningdrone.be/en/product/dji-dock/,https://koningdrone.be/en/product/dji-matrice-4td/,https://koningdrone.be/categorie/dji-dock-3/,Drone specialist selling DJI Dock 2 and enterprise solutions in Belgium. Serves Belgium and Europe with carefully selected drone equipment.,Belgian drone seller with original DJI Dock and DJI Dock 3 pages.
Drone Direto,Brazil,Claude vs ChatGPT,https://www.dronedireto.com.br/dji-matrice-3dt,https://www.dronedireto.com.br/nu1rdcfxq-/dji-matrice-3d-com-dock-2-e-3-baterias,https://www.dronedireto.com.br/7e99v8t6v-dji-matrice-3dt-com-dock-2-e-3-baterias,,"Active since 2012; locations in Curitiba PR, Ribeirão Preto SP, Itajaí SC",Brazilian ecommerce listing Matrice 3D with Dock 2 bundle.
Drone Visual,Brazil,Claude vs ChatGPT,https://www.dronevisual.com/curso-drone-dji-dock-plataforma-autonoma,https://www.dronevisual.com/dji-dock-2-drone-estacao-inteligentee,https://www.loja.dronevisual.com/automacao-drone-seguranca-inspecao-mapeamento-dji-dock-2-drone-estacao-carregamento,,Official DJI reseller; offers Dock training courses; specializes in inspection and mapping solutions; integrates autonomous operations,Brazilian seller listing DJI Dock 2.
Candrone,Canada,Claude vs ChatGPT,https://candrone.com/blogs/news/dji-dock-2,https://candrone.com/collections/dji-dock-3,https://candrone.com/collections/buy-dji-dock-2-in-north-america,,Officially certified by DJI Enterprise as leading expert in North America for Dock 2,North American authorized dealer collection for DJI Dock 3.
DroneX Canada,Canada,Claude vs ChatGPT,https://dronexcanada.ca/products/dji-dock,https://dronexcanada.ca/products/dji-dock,https://dronedj.com/guides/dji-dock-2/,,Multiple Canadian locations (Toronto + Calgary + Vancouver warehouses),Canadian reseller listing DJI Dock.
Measur Drones,Canada,Claude vs ChatGPT,https://measur.ca/products/dji-dock-2,https://measur.ca/products/dji-dock-2,https://www.linkedin.com/pulse/everything-you-need-know-dji-dock-2-measurcanada-ia2uc,,Multi-location national distributor (Calgary HQ + 4 other Canadian locations),Canadian reseller listing DJI Dock 2.
Volatus Drones,Canada,Claude vs ChatGPT,https://volatusdrones.ca/products/dji-dock-2,https://volatusdrones.ca/collections/dji-dock-3-matrice-4d-series,https://www.linkedin.com/in/john-jairo-vargas-9641b8199/,,Authorized repair and servicing centre for Dock 1 and Dock 2,Canadian reseller collection for DJI Dock 3 and Matrice 4D series.
