company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,evidence_url_3,source_type_3,evidence_url_4,source_type_4,confidence,notes_claude,notes_chatgpt,sources
AgDrone.au,AU,Reseller,Dock 3,Unknown,https://agdrone.au,N/A,https://agdrone.au/products/dji-dock-3,Company Website,https://agdrone.au/products/dji-dock-3-combo-thermal-inspection,Company Website,,,,,High,Agricultural drone specialist; stocks DJI Dock 3 with thermal inspection combo options; offers AgDock Trailer System for mobile deployment; supports orchard monitoring applications,,Claude
AirInspect Australia,AU,System Integrator,Dock 2,Unknown,https://airinspect.com.au,N/A,https://airinspect.com.au/drone-in-a-box-the-dji-matrice-3d-3td/,Company Website,https://airinspect.com.au/blog/,Company Website,,,,,Medium,"End-to-end spatial data solutions provider; focuses on inspection, surveying, and mapping; offers DJI Dock 2 solutions for surveying, inspections, asset management, and security",,Claude
AppVision Australia,AU,Distributor,Dock 1 + Dock 2,Unknown,https://appvision.com.au,N/A,https://appvision.com.au/index.php?id_product=991&rewrite=dji-matrice-350-rtk&controller=product,Company Website,https://appvision.com.au/index.php?id_product=992&rewrite=dji-matrice-350-rtk&controller=product,Company Website,,,,,Medium,Official DJI Enterprise Dealer; stocks DJI Dock models; contact: Chi Xu 0405 116 240 or chi.xu@appvision.com.au,,Claude
Australian Agricultural Drones,AU,Reseller,Dock 3,Unknown,https://www.ausagdrones.com.au,N/A,https://www.ausagdrones.com.au/product-page/dji-dock-3-automated-drone-hanger,Company Website,https://www.ausagdrones.com.au/product-page/dji-dock-3-for-sale,Company Website,,,,,Medium,Brisbane-based agricultural drone specialist; stocks DJI Dock 3; supports farming operations and precision agriculture applications,,Claude
C.R. Kennedy Geospatial Solutions,AU,Distributor,Dock 1 + Dock 2 + Dock 3,Unknown,https://survey.crkennedy.com.au,N/A,https://survey.crkennedy.com.au/rpas-uav-drones/commercial-drones/DJI_Dock,Company Website,https://survey.crkennedy.com.au/products/djidock3/dji-dock-3--excludes-matrice-4d-4td-,Company Website,,,,,High,National positioning partner with head office in Melbourne and branches across Australia; official stockists of all DJI Dock models; online shopping with free shipping,,Claude
CBH (Co-operative Bulk Handling),AU,Enterprise End-User,Dock 1,Unknown,https://www.cbh.com.au,N/A,https://sensorem.com.au/projects/drone-in-a-box-grain-storage-facilities/,Company Website,https://enterprise-insights.dji.com/industrial-grain-handling-site-management,DJI Case Study,,,,,High,Western Australian grain co-operative; partnered with Sensorem for DJI Dock 1 bird deterrence at multiple grain storage facilities across WA Wheatbelt; 2500+ BVLOS flights in first 4 months; significant cost savings and bird damage reduction,,Claude
Calidus Resources / West Coast Gold (Warrawoona Project),AU,Enterprise End-User,Dock 2,Unknown,https://www.calidus.com.au,https://au.linkedin.com/company/calidusresourceslimited,https://im-mining.com/2024/03/28/rocketdna-ltd-seals-first-autonomous-xbot-contract-with-calidus-resources-subsidiary/,Industry Article,https://www.rocketdna.com/project/xbot-deployment-to-rio-tinto-gudai-darri-mine-site,DJI Case Study,,,,,Medium,ASX-listed gold mining company (now West Coast Gold after administration); deployed DJI Dock via RocketDNA at Warrawoona Project Blue Bar pit near Marble Bar WA; three-year contract for autonomous surveying and stockpile management,,Claude
Camzilla,AU,Authorized Retailer,Dock 2,Unknown,https://www.camzilla.com.au,N/A,https://www.camzilla.com.au/dji-dock-2,Company Website,https://www.camzilla.com.au/about-us/,Company Website,,,,,Medium,DJI Authorised Australian Retailer and Repair Centre; located in Roseville NSW; operating since 2009,,Claude
Carasel,AU,Manufacturing Partner,Dock 2 + Dock 3,Unknown,N/A,N/A,https://www.australianmanufacturing.com.au/sphere-expands-in-house-manufacturing-to-accelerate-hubx-devt/,Industry Article,https://dronedj.com/2025/03/11/sphere-hubx-dji-dock-3/,Industry Article,,,,,Medium,"Sydney-based manufacturing partner with Sphere Drones; precision sheet metal fabrication, robotic machining, powder coating; produces HubX and HubT platforms for Dock 2 and Dock 3; among first to test Dock 3",,Claude
D1 Store,AU,Authorized Dealer,Dock,Unknown,https://www.d1store.com.au,N/A,https://www.d1store.com.au/categories/dji-dock,Company Website,https://www.d1store.com.au/stores.php,Company Website,https://www.d1store.com.au/mobile/products/dji-dock-3,Company Website,,,High,"Australia's first and only DJI Authorised Retail Store; nationwide locations in Melbourne, Sydney, Brisbane, and Perth; stocks all DJI Dock models",Australian DJI retailer with product pages for original Dock and Dock 3.,Claude + ChatGPT
