company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
GÜRİŞ Holding,Turkey,End-buyer (Enterprise),Dock 3,Unknown,https://www.guris.com.tr,https://www.linkedin.com/company/guris,https://www.youtube.com/watch?v=u0hwLpSEM8k,Company Video,https://www.linkedin.com/posts/dji_djienterprise-djidock3-turkey-activity-7401953987622842368-HIOZ,LinkedIn Post,High,"GÜRİŞ is one of Turkey's leading renewable energy companies using DJI Dock 3 for fully automated wind and solar infrastructure inspections. They have deployed the Dock 3 with WTIP (Wind Turbine Inspection Platform) solution to conduct 24/7 autonomous inspections across their wind turbines and solar fields, replacing traditional manual inspections. The system enables real-time thermal and visual data collection, improving safety, standardizing data quality, and delivering consistent insights for asset management across their 767 MW renewable energy portfolio."
Natilon Teknoloji A.Ş.,Turkey,System Integrator,Dock 3,Unknown,https://natilon.com,https://www.linkedin.com/company/natilon,https://natilon.com/tr/blog/dji-natilon-isbirligi-otonom-drone-cagi/,Company Blog,https://natilon.com/en/blog/natilon-signs-partnership-agreement-with-dji-enterprise/,Company Blog,High,"Natilon is DJI's official solution partner in Turkey, specializing in timelapse camera systems and security solutions. They integrate DJI Dock 3 with their autonomous CCTV systems and Natilon Timelapse Cloud platform, particularly for solar energy plant (GES) security applications. Their integration provides emergency response capabilities, autonomous patrol flights, and thermal inspection of solar panels. The company offers 24/7 automated security and monitoring for large-scale facilities using Dock 3's vehicle-mounted deployment capabilities and AI-powered object detection features."
Zafer Güder Havacilik ve Uzay,Turkey,Authorized Dealer,"Dock 2, Dock 3",Unknown,https://zaferguder.com.tr,https://www.linkedin.com/in/zaferguder,https://zaferguder.com.tr/products/dji-dock-3,Company Website,https://zaferguder.com.tr/resources/news/dji-dock-2-release,Company News,High,"Zafer Güder is a leading provider of professional drone solutions, UAV technologies, and aviation services in Turkey. They are an authorized DJI Enterprise dealer offering both DJI Dock 2 and Dock 3. The company provides UAV pilot training courses, inspection services, and technical support for enterprise drone operations. Founded by Zafer Güder (former police officer turned entrepreneur), the company specializes in autonomous drone systems and serves various sectors including inspection, security, and surveillance."
Atay Mühendislik,Turkey,Authorized Dealer,"Dock 2, Dock 3",Unknown,https://ataymuhendislik.com,,https://ataymuhendislik.com/blog/dji-dock-3-u-yakindan-taniyalim/,Company Blog,,,Medium,"Atay Mühendislik is a DJI Enterprise authorized dealer in Turkey offering DJI Dock 2 and Dock 3 solutions. They provide detailed Turkish-language content about DJI Dock products, including technical specifications, use cases, and deployment guidance. The company focuses on serving government, energy, agriculture, and smart city applications with autonomous drone solutions. Their blog features comprehensive guides on DJI Dock 3 capabilities including vehicle-mounted deployment and harsh weather operations."
Karacasulu Dış Ticaret A.Ş.,Turkey,Authorized Dealer,Dock 1,Unknown,https://www.karacasulu.com,,https://www.karacasulu.com/dock/,Company Website,,,Medium,"Karacasulu is an authorized DJI distributor in Turkey offering the original DJI Dock (Dock 1) with Matrice 30 drone. They provide comprehensive information in Turkish about DJI Dock deployment, FlightHub 2 integration, and autonomous operations. The company emphasizes the Dock's 24/7 operational capability, weather resistance (-35°C to 50°C), and 7km operational radius. They serve as an official distributor for DJI enterprise products in the Turkish market."
Klasfoto,Turkey,Authorized Dealer,Dock 1,Unknown,https://www.klasfoto.com.tr,,https://www.klasfoto.com.tr/urun/dji-dock,Company Website,,,Medium,"Klasfoto is a Turkish retailer offering DJI Dock (Dock 1) with comprehensive product specifications and pricing. Their product page details the Dock's integrated design, cloud management capabilities, 7km operational radius, and temperature range (-35°C to 50°C). They provide detailed technical specifications including dimensions, backup power capabilities, and automated features for Turkish customers interested in autonomous drone operations."
Termal Drone Savunma San. A.Ş.,Turkey,Authorized Dealer,Dock 2,Unknown,https://termaldrone.com,,https://termaldrone.com/dji-dock-2/,Company Website,https://termal-drone-savunma-san-as.idef.com.tr,IDEF Exhibition,High,Termal Drone Savunma is a defense industry company in Turkey offering DJI Dock 2 solutions. They exhibited at IDEF (International Defence Industry Fair) showcasing DJI Dock 2 as a fully autonomous drone station with IP55 weather resistance supporting up to 6km mission range. The company specializes in thermal imaging and defense applications for autonomous drone systems.
SYD (Sistem Yazılım Danışmanlık),Turkey,Authorized Dealer,Dock 2,Unknown,https://www.syd.com.tr,,https://www.syd.com.tr/urun/dji-dock-2,Company Website,https://www.syd.com.tr/meta-etiket/dji-dock-2,Company Website,High,"SYD is a Turkish systems and software consulting company offering DJI Dock 2 (Overseas Edition) for the Turkish market. Their product pages highlight the Dock 2's lightweight design (34kg), IP54+IP55 weather resistance rating, built-in backup battery providing 5+ hours of operation, and enhanced 10km operational radius. They provide detailed Turkish specifications and offer quotation services for enterprise customers."
Ölçen Mühendislik,Turkey,Authorized Dealer,Dock 2,Unknown,https://olcen.com.tr,,https://olcen.com.tr/urun/DJI-Dock-2,Company Website,,,Medium,"Ölçen Mühendislik is a Turkish engineering company specializing in UAV sensors and surveying equipment, offering DJI Dock 2 to the Turkish market. Located in Izmir, they provide technical sales and project support for autonomous drone systems. Their product offering includes detailed specifications of the Dock 2's capabilities for industrial applications."
Fotografium,Turkey,Authorized Dealer,Dock 3,Unknown,https://fotografium.com,,https://fotografium.com/dji-dock-3,Company Website,,,Medium,"Fotografium is a Turkish photography and drone equipment retailer offering DJI Dock 3. Their product page highlights the Dock 3's vehicle-mounted deployment capability, 24/7 operation in harsh weather conditions, fast 27-minute battery charging, and extended 25km range. They serve the Turkish market with enterprise drone solutions."
