country,total_entities,high_confidence,medium_confidence,Authorized Dealer,System Integrator,Enterprise End-User,Government End-User,Distributor,DFR Service Provider,Software Platform,Academia/Research,Reseller
Australia,7,3,4,2,3,0,0,1,0,0,0,1
Belgium,6,5,1,0,2,0,0,0,0,0,0,4
Brazil,3,0,3,0,0,0,0,0,0,0,0,3
Canada,6,1,5,2,0,0,0,0,0,0,0,4
Germany,7,3,4,3,3,0,0,0,0,0,0,1
Italy,4,1,3,1,0,0,0,0,0,0,0,3
Japan,5,1,4,1,0,0,0,0,0,0,0,4
Poland,4,1,3,2,0,0,0,0,0,0,0,2
Saudi Arabia,5,2,3,1,2,1,0,0,0,0,0,1
Singapore,1,1,0,1,0,0,0,0,0,0,0,0
South Africa,6,3,3,1,0,0,0,0,0,0,0,5
South Korea,3,0,3,0,0,0,1,0,0,0,0,2
Spain,4,0,4,1,0,0,0,1,0,0,0,2
Thailand,4,1,3,1,0,0,0,1,0,0,0,2
Turkey,6,2,4,1,0,1,0,0,0,0,0,4
United Arab Emirates,6,1,5,3,0,0,0,1,0,0,0,2
United Kingdom,7,3,4,1,1,0,0,0,0,0,0,5
United States,8,2,6,2,1,1,2,0,0,0,0,2
