company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Santiago & Cintra,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.santiagoecintra.com.br/,https://br.linkedin.com/company/santiago-e-cintra,https://mundogeo.com/2023/05/09/santiago-e-cintra-e-dji-enterprise-lancam-dji-dock-no-brasil-na-droneshow-2023/,News Article,https://www.lojasantiagoecintra.com.br/dronesdjienterprise,Company Website,High,Official DJI Enterprise representative in Brazil; launched DJI Dock at DroneShow 2023
NW Drones,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.nwdrones.com.br/,https://www.linkedin.com/company/nwdrones,https://blog.nwdrones.com.br/dji-dock-2-matrice-3d-aprovados-anac/,Company Blog,https://www.nwdrones.com.br/drone-dji-matrice-3td-dock-2-kit,E-Commerce,High,Official DJI representative; founded 2017; provides training and technical support
IATEC Plant Solutions,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.iatecps.com/,N/A,https://www.iatecps.com/product-page/dji-dock-2-matrice-3d,E-Commerce,https://www.iatecps.com/product-page/dji-dock-3-matrice-4td,E-Commerce,High,Authorized DJI Enterprise distributor; offers Dock 2 and Dock 3 bundles
Tecno Drones,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.tecnodrones.com.br/,N/A,https://www.tecnodrones.com.br/dji-dock-matrice-30-series,E-Commerce,https://www.tecnodrones.com.br/dji-dock-3-matrice-4d-series-combo,E-Commerce,High,"Complete drone shop in Brazil; specializes in DJI; founded 2017; all products with ANATEL homologation"
Embratop,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.embratop.com.br/,https://br.linkedin.com/company/parana-geo-equipamentos-de-geomensura-ltda.,https://www.embratop.com.br/produto/dji-dock-2/,E-Commerce,https://www.embratop.com.br/produto/dji-dock-3/,E-Commerce,High,Official DJI Enterprise distributor; 9 branches across Brazil; founded 1999; geospatial technology specialist
Drone Direto,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.dronedireto.com.br/,N/A,https://www.dronedireto.com.br/dji-matrice-3dt,E-Commerce,https://www.dronedireto.com.br/7e99v8t6v-dji-matrice-3dt-com-dock-2-e-3-baterias,E-Commerce,High,"Active since 2012; locations in Curitiba PR, Ribeirão Preto SP, Itajaí SC"
J&R Drones,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.jerdrones.com.br/,N/A,https://www.jerdrones.com.br/product/doca-carregamento-dji-dock-2/,E-Commerce,https://www.jerdrones.com.br/,Company Website,High,"Largest DJI distributor in Brazil; founded 2017; 1000s of drones distributed; locations in Rio Grande do Sul and São Paulo"
ModelismoBH,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.modelismobh.com.br/,N/A,https://www.modelismobh.com.br/dji-dock-2,E-Commerce,https://www.modelismobh.com.br/drones-dji/drones-dji-enterprise/dji-dock-3,E-Commerce,High,Pioneer in Brazilian drone market; physical stores in Minas Gerais and São Paulo; 10+ years experience
SC Paraná,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://scparana.com.br/,N/A,https://scparana.com.br/dji-dock-2-tecnologia-de-ponta-para-operacoes-autonomas-e-remotas/,Company Website,https://scparana.com.br/dji-enterprise-tecnologia-de-ponta-para-transformar-seus-projetos/,Company Website,High,Authorized distributor of Santiago & Cintra in Paraná; provides specialized training and support
DroneVisual,Brazil,DFR Service Provider; System Integrator,Dock 2; Dock 3,Multiple,https://www.dronevisual.com/,N/A,https://www.dronevisual.com/curso-drone-dji-dock-plataforma-autonoma,Course/Service,https://www.loja.dronevisual.com/automacao-drone-seguranca-inspecao-mapeamento-dji-dock-2-drone-estacao-carregamento,E-Commerce,High,Official DJI reseller; offers Dock training courses; specializes in inspection and mapping solutions; integrates autonomous operations
Futuriste,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://loja.futuriste.com.br/,N/A,https://loja.futuriste.com.br/dji-dock-2-dji-matrice-3d-carregador-da-bateria-1x-bateria-inteligente-dji-rc-pro,E-Commerce,https://futuriste.com.br/blog/dji-dock-2-anac-autorizacao-bvlos/,Blog,High,Official DJI reseller; best drone school in Brazil; 7 years experience; operates in SP; RJ; MG; ES; BA; AP
DronesX,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.dronesx.com.br/,N/A,https://www.dronesx.com.br/dji-dock-2-com-matrice-3td-controle-rc-pro-carregador-e-bateria-extra/,E-Commerce,https://www.dronesx.com.br/,Company Website,High,Authorized DJI distributor in Brazil; offers DJI Dock 2 and related products
Drone Place,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://droneplace.net.br/,N/A,https://droneplace.net.br/produto/dji-dock-3/,E-Commerce,https://www.droneplace.com.br/drone-dji-dock-2,E-Commerce,High,Located in São José; SC; ANATEL certified; 1-year warranty; specializes in drone sales and maintenance
AL Drones,Brazil,DFR Service Provider; Certification Consultant,Dock 2; Dock 3,Multiple,https://aldrones.com.br/,N/A,https://aldrones.com.br/en/2025/01/21/al-drones-dji-cave-testes-bvlos-plataforma-matrice-3d-dock-2/,Company Website,https://mundogeo.com/en/2025/01/22/al-drones-and-dji-obtain-cave-for-bvlos-tests-with-the-matrice-3d-dock-2-platform/,News Article,High,Specialized drone certification consultancy; conducted ANAC Design Authorization certification process for DJI Dock 2
CPE Tecnologia,Brazil,Authorized Dealer,Dock 3,1,https://www.cpetecnologia.com.br/,N/A,https://www.cpetecnologia.com.br/doca-carregamento-drones-dji-dock-3/p,E-Commerce,https://www.cpetecnologia.com.br/dji,Product Page,Medium,Geotechnology company; founded 1974; located in Belo Horizonte; offers DJI Dock 3
Lundin Mining Brasil,Brazil,Enterprise End-User,Dock 2; Dock 3,Multiple,https://lundinmining.com.br/,https://br.linkedin.com/company/lundinminingbrasil,https://www.dronevisual.com/post/lundin-mining-brasil-inova-com-drones-dji-lidar-para-mapeamento-inspecao-3d-na-mineracao,Case Study,https://lundinmining.com.br/operacao/,Company Website,High,Mining company with established Central de Drones; uses DJI Dock for 100% automated flights in mining operations
Bee Drones,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.beedrones.com.br/,N/A,https://www.beedrones.com.br/,Company Website,https://www.instagram.com/beedrones/,Social Media,Medium,Official DJI authorized reseller; founded 2011; physical store in Itu SP; online sales nationwide
LojaDJI,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.lojadji.com.br/,N/A,https://www.lojadji.com.br/,E-Commerce,https://www.lojadji.com.br/seja-um-revendedor,Company Website,High,Multilaser Industrial SA; official DJI reseller in Brazil; offers 12x installments
Premier Drones,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.premierdrones.com.br/,N/A,https://www.premierdrones.com.br/dji-dock-2-com-matrice-3td,E-Commerce,https://www.premierdrones.com.br/,Company Website,Medium,DJI authorized reseller in Brazil
Gohobby,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.gohobby.com.br/,N/A,https://gohobby.com.br/dji-dock-2/,E-Commerce,https://www.gohobby.com.br/dji-dock/,Product Page,Medium,Brazilian drone and hobby retailer; offers DJI Dock products
Lili Vendas,Brazil,Authorized Dealer,Dock 2; Dock 3,Multiple,https://www.lilivendas.com.br/,N/A,https://www.lilivendas.com.br/dji-dock-2-estacao-inteligente,E-Commerce,https://www.lilivendas.com.br/dji-dock/,Product Page,Medium,E-commerce retailer offering DJI Dock 2 and Dock products with competitive pricing
DJI FlightHub 2,Brazil,Software Platform,Dock 2; Dock 3,N/A,https://enterprise.dji.com/flighthub,N/A,https://www.dronevisual.com/post/softwares-de-drones-tudo-sobre-dji-flighthub-2-suas-funcionalidades-em-voo-autonomos-com-drones,Blog,https://www.modelismobh.com.br/dji-flighthub-2,E-Commerce,High,DJI's cloud-based flight management software; essential for DJI Dock 2 and Dock 3 autonomous operations in Brazil
ANAC (Agência Nacional de Aviação Civil),Brazil,Government End-User,Dock 2; Dock 3,N/A,https://www.anac.gov.br/,N/A,https://enterprise-insights.dji.com/blog/unlocking-bvlos-at-scale-dji-dock-2-and-matrice-3d-series-receive-anac-design-authorization-in-brazil,News Article,https://mundogeo.com/en/2026/02/12/anac-grants-design-authorization-for-dji-matrice-3d-series-and-dock-2-enabling-bvlos-operations-in-brazil/,News Article,High,Brazilian aviation authority; granted Design Authorization for DJI Dock 2 and Matrice 3D on January 21; 2026
