company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Candrone,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://candrone.com/,https://www.linkedin.com/company/candrone,"https://candrone.com/blogs/news/dji-dock-2",Company Website,https://candrone.com/collections/buy-dji-dock-2-in-north-america,Company Website,High,Officially certified by DJI Enterprise as leading expert in North America for Dock 2
DroneLabs.ca,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://dronelabs.ca/,https://www.linkedin.com/company/dronelabs-ca,"https://dronelabs.ca/products/dji-dock",Company Website,https://dronelabs.ca/pages/dji-dock-2-automated-drone-operations,Company Website,High,BC-based distributor with comprehensive Dock 2 offerings
Measur Drones,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://measur.ca/,"https://www.linkedin.com/company/measurcanada","https://measur.ca/products/dji-dock-2",Company Website,https://www.linkedin.com/pulse/everything-you-need-know-dji-dock-2-measurcanada-ia2uc,LinkedIn Article,High,Multi-location national distributor (Calgary HQ + 4 other Canadian locations)
Volatus Drones,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://volatusdrones.ca/,https://www.linkedin.com/company/volatus-drones,"https://volatusdrones.ca/products/dji-dock-2",Company Website,https://www.linkedin.com/in/john-jairo-vargas-9641b8199/,LinkedIn,High,Authorized repair and servicing centre for Dock 1 and Dock 2
DroneX Canada,Canada,Authorized Dealer,Dock 2,Multiple,https://dronexcanada.ca/,https://www.linkedin.com/company/dronex-canada,"https://dronexcanada.ca/products/dji-dock",Company Website,https://dronedj.com/guides/dji-dock-2/,Industry News,High,Multiple Canadian locations (Toronto + Calgary + Vancouver warehouses)
DrDrone.ca,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://drdrone.ca/,"https://www.linkedin.com/company/drdrone","https://drdrone.ca/pages/dji-dock-2",Company Website,https://drdrone.ca/products/dji-dock-3,Company Website,High,Comprehensive Dock 2 and Dock 3 product pages
DroneDynamics.ca,Canada,Authorized Dealer,Dock 2 + Dock 3,Multiple,https://dronedynamics.ca/,,"https://dronedynamics.ca/products/dji-dock-2",Company Website,https://dronedynamics.ca/products/dji-dock-3,Company Website,High,Offers multiple Dock 2 and Dock 3 configurations
RMUS Canada,Canada,Solutions Provider,Dock 2 + Dock 3,Multiple,https://rmus.ca/,https://www.linkedin.com/company/rmus-canada,"https://rmus.ca/dji-dock-2/",Company Website,https://www.linkedin.com/posts/rmus-canada_dji-dock-2-activity-7178387354741534720-Mibm,LinkedIn,High,Enterprise solutions provider with training and maintenance services
Infinit Drones Corp,Canada,Software Platform / DFR Service Provider,Dock 2 + Dock 3,Multiple,https://www.infinitdrones.com/,https://www.linkedin.com/company/infinit-drones-corp,"https://www.infinitdrones.com/products/bvlos-certified-dji-dock-2",Company Website,https://www.infinitdrones.com/products/bvlos-certified-dji-dock,Company Website,High,Offers BVLOS-certified dock variants with DAA and training services
Wonderfull,Canada,Distributor,Dock 3,1,https://wonderfull.ca/,https://www.linkedin.com/company/wonderfull-canada,"https://wonderfull.ca/",Company Website,https://dronedj.com/guides/dji-dock-3/,Industry News,High,DJI Agriculture Drones General Distributor of Canada; Exclusive DJI Academy Training Center
IN-FLIGHT Data,Canada,DFR Service Provider / Enterprise End-User,Dock 2,1,https://www.inflightdata.ca/,,"https://dronelife.com/2024/12/23/in-flight-data-reaches-full-operational-capability-of-dji-dock-2-in-northern-canada/",Industry News,https://www.uasweekly.com/2025/01/06/in-flight-data-reaches-full-operational-capability-of-dji-dock-2-in-extreme-northern-canada-conditions/,Industry News,High,Achieved FOC of Dock 2 in Northern Canada for oil & gas client in -25°C conditions; remote operations center provider
AVSS (Aerial Vehicle Safety Solutions Inc.),Canada,System Integrator,Dock 2 + Dock 3,Unknown,https://www.avss.ca/,https://ca.linkedin.com/company/avss-aerial-vehicle-safety-solutions-inc,"https://dronedj.com/2025/03/05/dji-dock-3-parachute-avss/",Industry News,https://www.linkedin.com/posts/don-garland-4aa46655_unveiling-the-dji-drone-dock-this-changes-activity-7067639634134003712-FkHp,LinkedIn,High,New Brunswick aerospace company; develops PRS (Parachute Recovery System) integration for Dock 2 and Dock 3 for regulatory compliance
ASI Canada,Canada,Distributor/Channel Partner,Dock 2,Unknown,https://www.asipartner.com/,,"https://www.asipartner.com/canada/partners/dji/dji-enterprise-dji-dock/",Company Website,,Company Website,Medium,Listed as DJI Enterprise partner for Dock systems in Canada
Eagleview Drones,Canada,Authorized Dealer,Dock 2,Unknown,https://eagleviewdrones.ca/,,"https://eagleviewdrones.ca/products/dock-2",Company Website,,Company Website,Medium,Offers DJI Dock 2 product page
SpeedyDrone Canada,Canada,Authorized Dealer,Dock Series,Unknown,https://www.speedydrone.ca/,,"https://www.speedydrone.ca/",Company Website,,Company Website,Medium,DJI Dealer in Toronto; mentions Dock Series products
