company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Nital SpA,Italy,Distributor,"Dock, Dock 2, Dock 3",Multiple,https://www.nital.it/,https://it.linkedin.com/company/nital-distribuzione,https://www.nital.it/press/2021/nital-dji.php,Press Release,https://www.nital.it/press/2024/dji-dock-2.php,Press Release,High,Official exclusive distributor for DJI products in Italy since 2021. Distributes through multiple channels including hobbyhobby.it and authorized retailers.
Elite Consulting (DJI Enterprise Italia),Italy,System Integrator / Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.eliteconsulting.it/,https://it.linkedin.com/company/elite-consulting-srl,https://www.eliteconsulting.it/dji-dock-applicazioni/,Company Website,https://www.eliteconsulting.it/presentazione-a-roma-e-milano-del-dji-dock/,Blog Post,High,Part of Nital Group. Official DJI Enterprise distributor and system integrator in Italy. Organized presentations in Rome and Milan (May 2023).
DJI Store Italia (official DJI ARS),Italy,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://www.dji-store.it/,https://www.instagram.com/djistore_milano/,https://www.dji-store.it/categoria/imprese/dji-dock-2/,Company Website,https://www.dji-store.it/categoria/imprese/dji-dock-3/,Company Website,High,Official DJI Authorized Retail Store (ARS) in Italy. Two physical locations: Rome (Euroma2) and Milan (CityLife Shopping District). Online store dji-store.it.
HobbyHobby Italia,Italy,Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.hobbyhobby.it/,N/A,https://www.hobbyhobby.it/categoria/imprese/dji-dock-2/,Company Website,https://www.hobbyhobby.it/categoria/imprese/dji-dock-3/,Company Website,High,B2B e-commerce platform managed by Elite Consulting. Offers all DJI Dock models with warranty options. Support via djienterprise@nital.it.
PersonalDrones,Italy,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://www.personaldrones.it/,N/A,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-2/23349-dji-dock-2-con-garanzia-12-mesi,Company Website,https://www.personaldrones.it/prodotti/dji/enterprise/dji-dock/dock-3/23578-dji-dock-3-con-garanzia-12-mesi,Company Website,High,DJI Enterprise GOLD Dealer. Operating for 9+ years. Offers 24/48 hour delivery and same-day service in Rome.
AERMATICA3D,Italy,Authorized Dealer / System Integrator,"Dock, Dock 2, Dock 3",Multiple,https://www.aermatica.com/,N/A,https://www.aermatica.com/product/dji-dock-3/,Company Website,https://www.aermatica.com/product/dji-dock-2/,Company Website,High,DJI Gold Partner and System Integrator. Located in Colverde (Como province). DJI certified for Dock 3 installation and configuration. Develops SDK-based integrations.
AprFlyTech,Italy,Authorized Dealer / Certified Installer,"Dock, Dock 3",Multiple,https://www.aprflytech.it/,N/A,https://www.aprflytech.it/product-page/dji-dock-3,Company Website,https://www.aprflytech.it/prodotti/dji-enterprise,Company Website,High,Located in Paderno Dugnano (Milan area). DJI Enterprise ""A"" Dealer. ENAC training center. Certified by DJI for Dock 3 installation and FlightHub 2 configuration.
Fly to Discover,Italy,Authorized Dealer,"Dock, Dock 2, Dock 3",Multiple,https://flytodiscover.it/,N/A,https://flytodiscover.it/categoria-prodotto/dji-enterprise/dji-dock-2/,Company Website,https://flytodiscover.it/categoria-prodotto/dji-enterprise/dji-dock-3/,Company Website,High,Located in Rome. Operating since 2014. Authorized DJI retailer and service center. Offers original products with Italian warranty and fast delivery.
DroneBase (Droni Professionali),Italy,System Integrator / Reseller,"Dock, Dock 2, Dock 3",Multiple,https://shop.dronebase.it/,N/A,https://shop.dronebase.it/en/dji-dock-2/,Company Website,https://www.suasnews.com/2021/12/flytbase-dronebase-partner-up-to-provide-fully-autonomous-drone-in-a-box-solutions-in-italy/,News Article,High,Professional UAS design and integration company. Specializes in tailor-made drone solutions. Partners with FlytBase for autonomous solutions.
Drone Store (drone-store.it),Italy,Reseller,"Dock, Dock 2, Dock 3",Multiple,https://www.drone-store.it/,N/A,https://www.drone-store.it/prodotto/dji-dock-3/,Company Website,https://www.drone-store.it/prodotto/dji-dock-2-con-matrice-3d/,Company Website,Medium,Italian drone and accessories retailer. Offers DJI Dock products with enterprise quotes available.
AerialClick,Italy,Authorized Reseller,Dock 2,Multiple,https://www.aerialclick.com/,N/A,https://www.aerialclick.com/matrice-3d/703-dock-2-garanzia.html,Company Website,N/A,N/A,Medium,Official DJI reseller since 2016. Offers Dock 2 with Italian warranty from Nital. Also resells other leading drone brands.
ToscanaDrone,Italy,Authorized Retail Partner,"Various DJI products",Multiple,https://www.toscanadrone.com/,N/A,https://www.toscanadrone.com/it/blog/9-news/45-toscanadrone-e-dji-authorized-retail-store-italia.html,Blog Post,N/A,N/A,Medium,Operating since 2010. Professional drone service provider. Partner of DJI ARS (Rome and Milan official stores). Offers aerial photography and technical inspections.
GoCamera,Italy,Authorized Reseller,All models,Multiple,https://www.gocamera.it/,N/A,https://www.gocamera.it/dji-store,Company Website,N/A,N/A,Medium,Largest and most active DJI community in Italy. Authorized DJI retailer. Reference as DJI Store partner.
