company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
INNPRO Robert Błędowski Sp. z o.o.,Poland,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://innpro.pl/dystrybucja-dji/,https://www.linkedin.com/company/innpro/,https://innpro.pl/dystrybucja-dji/,Official Distributor,https://enterprise.innpro.pl/,Enterprise Portal,High,Official DJI Enterprise distributor for Poland; operates enterprise.innpro.pl; headquarters Poland
Navigate.pl,Poland,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://navigate.pl/,https://www.linkedin.com/company/navigate-gps/,https://navigate.pl/nasze-marki/,Brand Portfolio,https://navigate.pl/produkt/dji-dock-3-m4d-m4td/,Product Listing,High,DJI Enterprise Gold Partner; located Kraków; comprehensive DJI product line
DJI-ARS Enterprise,Poland,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://dji-ars.pl/,https://pl.linkedin.com/showcase/dji-ars-enterprise/,https://dji-ars.pl/product-pol-41687-Stacja-dokujaca-DJI-Dock-2.html,Product Catalog,https://enterprise.dji-ars.pl/pierwsza-w-historii-inspekcja-farmy-fotowoltaicznej-za-pomoca-dji-dock/,Case Study - Solar,High,Official DJI retail store; first photovoltaic farm inspection in Poland using DJI Dock
TPI (Drony DJI - TPI),Poland,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://dji-tpi.com.pl/,https://www.linkedin.com/company/tpi-poland/,https://dji-tpi.com.pl/,Distributor Portal,https://tpi.com.pl/porady-eksperta/autonomiczne-operacje-dronami-czyli-dji-dock-3-i-matrice-4d-4td-w-akcji,Expert Guide,High,Dual website presence (dji-tpi.com.pl and tpi.com.pl); enterprise focus
IRONSKY,Poland,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://ironsky.pl/,https://www.linkedin.com/company/iron-sky,https://ironsky.pl/dji-dock-porownanie/,Comparison Guide,https://ironsky.pl/drony-sklep/produkt/stacja-dokujaca-dji-dock-3/,Product Listing,High,Sold 3 DJI Dock 1 systems in 2023; comprehensive testing program; energy sector focus
FlyStore.pl,Poland,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://flystore.pl/,https://www.linkedin.com/company/flystore/,https://flystore.pl/stacje-dji-dock,Product Catalog,https://flystore.pl/Stacja-dokujaca-DJI-Dock-3,Product Page,High,DJI Enterprise retailer; leasing services in Warsaw; Kraków; Gdańsk
SITECH Poland,Poland,Authorized Dealer,"Dock 2, Dock 3",2+,https://sitech-poland.pl/,https://www.linkedin.com/company/sitech-poland/,https://sitech-poland.pl/drony-dji-dock-3-drony/,Product Page,https://enterprise.dji.com/dock-3,DJI Dock 3 Overview,High,Specializes in Dock 3 with Matrice 4D/4TD; dedicated drone robotics solutions
MegaDron,Poland,Authorized Dealer,"Dock, Dock 2, Dock 3",3+,https://megadron.pl/,https://www.linkedin.com/company/megadron/,https://megadron.pl/en/products/docking-station-dji-dock-2-29355.html,Product Listing,https://megadron.pl/en/blog/dji-dock-3-vs-dji-dock-2-docking-station-comparison-1740670039.html,Comparison Blog,High,Official DJI Partner; VLOS/BVLOS training; service center
Dilectro,Poland,Authorized Distributor,"Dock, Dock 2, Dock 3",3+,https://enterprise.dilectro.pl/,https://www.linkedin.com/company/dilectro/,https://enterprise.dilectro.pl/dji-dock/,Product Page,https://enterprise.dilectro.pl/asseco-wyposazy-drony-dji-w-polskie-oprogramowanie/,Partner Integration,High,DJI Enterprise distributor; partnership with Asseco for Polish secure software
Dronydlafirmy.pl,Poland,System Integrator,"Dock 2, Dock 3",2+,https://dronydlafirmy.pl/,https://www.linkedin.com/company/dronydlafirmy/,https://dronydlafirmy.pl/dji-dock-2/,Rental Services,https://dronydlafirmy.pl/produkt/dji-dock3-z-dronem-dji-matrice-4td/,Product Package,High,DJI Dock rental and operation services; FlightHub 2 integration; leasing model
