company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Endesa,ES,Government End-User,Dock 2,1,https://www.endesa.com/,https://www.linkedin.com/company/endesa/,https://enterprise-insights.dji.com/user-stories/how-endesa-deploys-the-dji-dock-2-to-transform-energy-management,Case Study,https://www.linkedin.com/posts/dji_how-endesa-deploys-the-dji-dock-2-to-transform-activity-7203727231418843136-qGRd,LinkedIn,High,Deployed DJI Dock 2 at Teruel Coal Power Station for 5-month decommissioning project. Primary use: demolition monitoring and asset management. Spanish energy company.
Skyports Drone Services,ES,DFR Service Provider,Dock 2,1,https://skyportsdroneservices.com/,https://www.linkedin.com/company/skyports-drone-services,https://www.suasnews.com/2026/03/skyports-drone-services-brings-automated-bvlos-drone-in-a-box-aerial-surveying-to-german-construction-leader-hochtief-piloted-from-spain/,Case Study,https://www.heliguy.com/blogs/posts/skyports-bvlos-drone-operations/,Industry News,High,"Remote Operation Centre (ROC) in Madrid. Operating DJI Dock 2 for automated BVLOS surveying for HOCHTIEF construction project. Uses DJI Dock for autonomous inspection deployments."
ACRE Surveying Solutions,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://grupoacre.es/,https://www.linkedin.com/company/grupo-acre/,https://grupoacre.es/catalogo-marca/dji/,Distributor Website,https://grupoacre.es/catalogo-productos/dji-dock-2-plataforma-de-despegue-y-aterrizaje/,Product Page,High,"Official DJI Enterprise distributor and DJI Gold Partner. Located in Illescas (Toledo). Full catalog includes Dock 1, Dock 2, and Dock 3. Multiple product pages listing all models."
Aero Industrial Iberia,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://www.aeroindustrialiberia.com/,https://www.linkedin.com/company/aero-industrial-iberia/,https://www.aeroindustrialiberia.com/oficial-dji-store-espana/,Distributor Website,https://www.aeroindustrialiberia.com/producto/dji-dock-2/,Product Page,High,"Official DJI Store reference in Spain. Physical locations in Barcelona and Madrid. Authorized Enterprise distributor. Sells Dock 1, Dock 2, and Dock 3."
DJI DRON,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://www.djidron.com/,https://www.linkedin.com/company/dji-dron/,https://www.djidron.com/dron-dji/dji-dock-2/dji-dock-2/,Product Page,https://www.djidron.com/dron-dji/dji-dock-3/dji-dock-3/,Product Page,High,Authorized DJI distributor for Spain and Portugal. Multiple product pages for Dock 2 and Dock 3 bundles with Matrice drones. Phone: +34 91 617 38 34
Al-Top Topografía SA,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://al-top.com/,https://www.linkedin.com/company/al-top-topografia-sa/,https://al-top.com/producto/dji-dock-2/,Product Page,https://al-top.com/producto/dji-dock-3/,Product Page,High,"Authorized DJI Enterprise distributor and Trimble Geospatial partner. Full Dock product line (1, 2, 3). Also sells vehicle mounting adapter for Dock 3."
ATyges,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://atyges.es/,https://www.linkedin.com/company/atyges/,https://atyges.es/tienda/dji-dock-2/,Product Page,https://atyges.es/dji-dock-3-y-serie-matrice-4d/,Product Page,High,Authorized DJI distributor. Multiple Dock 2 and Dock 3 product variations available with Matrice drone bundles.
RTF Drones,ES,System Integrator,Dock 3,1,https://rtfdrones.es/,https://www.linkedin.com/company/rtf-drones/,https://rtfdrones.es/main/servicios-drones/rtf-inspection/,Service Page,https://rtfdrones.es/tag/dji-ars-madrid-en-la-feria-unvex-2024/,News,High,"Specialized drone inspection services for infrastructure. Uses DJI Dock 3 for automated programmed flights and continuous infrastructure monitoring. Based in Guadalajara with nationwide capacity."
Grupo StockRC,ES,Authorized Dealer,Dock 1 / Dock 2 / Dock 3,Unknown,https://grupostockrc.com/,https://www.linkedin.com/company/grupo-stockrc/,https://grupostockrc.com/,Distributor Website,https://tienda.stockrc.com/en_US,Online Store,High,"Official DJI Distributor for Spain and Portugal. Operates DJI Store Madrid with official technical support. Wholesaler for DJI Enterprise products. Multiple brands including DJI Stock RC, DJI Agriculture, UTC DJI Academy."
DJI Store Iberia / DJI ARS Madrid,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://www.djistoreiberia.com/,https://www.linkedin.com/search/results/companies/?keywords=dji%20ars%20madrid,https://www.djistoreiberia.com/,Distributor Website,https://stockrc.com/en/,Store Page,High,"Authorized DJI store in Madrid and Barcelona. Presented DJI Dock 2 at Unvex 2024 fair. Official authorized retailer for Spain."
Drones-Store,ES,Authorized Dealer,Unknown,Unknown,https://www.drones-store.es/,https://www.linkedin.com/search/results/companies/?keywords=drones-store%20spain,https://www.drones-store.es/,Distributor Website,Not Available,Not Available,Medium,Official DJI distributor in Spain with physical stores in Barcelona and Madrid. Official warranty included. No specific Dock product pages found.
Provideo Sevilla,ES,Authorized Dealer,Dock 3,Unknown,https://www.provideosevilla.com/,https://www.linkedin.com/search/results/companies/?keywords=provideo%20sevilla,https://www.provideosevilla.com/tienda-oficial-dji/,Distributor Website,https://www.provideosevilla.com/comprar/dji-dock-3/,Product Page,High,"Official DJI Store in Sevilla with 30+ years experience in audiovisual and technology. Full technical service and workshop. Located at C/ Desarrollo 1, Parque Industrial PISA, Mairena del Aljarafe (Sevilla)."
Murciadrones,ES,Authorized Dealer,Unknown,Unknown,https://www.murciadrones.es/,https://www.linkedin.com/search/results/companies/?keywords=murciadrones,https://www.murciadrones.es/product-category/drones-enterprise/dji-drones-enterprise/,Distributor Website,Not Available,Not Available,Medium,"Official DJI distributor in Murcia. Offers technical service, drone repair, drone courses, and aerial work services. No specific Dock product pages found."
Tecnidronesystem,ES,Authorized Dealer,Dock 2 / Dock 3,Unknown,https://tecnidronesystem.com/,https://www.linkedin.com/search/results/companies/?keywords=tecnidronesystem,https://tecnidronesystem.com/producto/dji-dock-3/,Product Page,https://tecnidronesystem.com/dji-dock-2/,Product Page,High,"Located in Alcobendas (Madrid). Recognized by AESA for drone pilot training. Offers Dock 2 and Dock 3 with technical information."
Jdronestudio,ES,Authorized Dealer,Dock 3,Unknown,https://jdronestudio.com/,https://www.linkedin.com/search/results/companies/?keywords=jdronestudio,https://jdronestudio.com/dji-dock-3/,Product Page,Not Available,Not Available,Medium,Spanish retailer offering DJI Dock 3 with emphasis on autonomous 24/7 operations and extreme resistance features.
Instop SLU,ES,Authorized Dealer,Dock 3,Unknown,https://www.instop.es/,https://www.linkedin.com/search/results/companies/?keywords=instop%20barcelona,https://www.instop.es/dji/dji-dock-3-enterprise.php,Product Page,Not Available,Not Available,Medium,"Located in La Pobla de Claramunt (Barcelona) and Valencia. Distributor of Leica Geosystems and DJI. Provides DJI Dock 3 installation by technicians."
RPAS Drones,ES,Software Platform / Reseller,Dock 2 / Dock 3,Unknown,https://rpas-drones.com/,https://www.linkedin.com/search/results/companies/?keywords=rpas%20drones%20spain,https://rpas-drones.com/vuelos-automatizados-con-dji-dock/,Content Page,https://rpas-drones.com/dji-dock-3-operaciones-remotas-24-7/,Content Page,High,"Information and content provider about DJI Dock solutions in Spain. Multiple detailed articles on Dock 2 and Dock 3 applications for security, surveillance, and infrastructure inspection."
Dronense,ES,Software Platform / Reseller,Dock 2,Unknown,https://dronense.com/,https://www.linkedin.com/search/results/companies/?keywords=dronense,https://dronense.com/dji-dock-2-seguridad-y-precision-en-la-navegacion-autonoma/,Content Page,Not Available,Not Available,Medium,Technology information platform publishing content about DJI Dock 2 features and applications in Spain.
DJI ARS Madrid Technical Center,ES,Software Platform,Dock 1 / Dock 2 / Dock 3,Unknown,https://djiarsmadrid.com/en/,https://www.linkedin.com/search/results/companies/?keywords=dji%20ars%20madrid,https://djiarsmadrid.com/en/,Official Page,Not Available,Not Available,Medium,DJI Store and Technical Center in Madrid. Official technical support and service center for DJI products including Dock series.
