company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Klasfoto,Turkey,Authorized Dealer,DJI Dock (all models),Not specified,https://www.klasfoto.com.tr,https://tr.linkedin.com/company/klasfoto,https://www.klasfoto.com.tr/urun/dji-dock,Product Listing,https://www.klasfoto.com.tr/marka/dji,Company Website,High,Türkiye Yetkili Satıcısı (authorized distributor); offers same-day delivery
Karacasulu Dış Tic. A.Ş.,Turkey,Distributor,Dock 2,1,https://www.karacasulu.com,https://tr.linkedin.com/company/karacasulu,https://www.karacasulu.com/dock2/,Product Listing,https://www.karacasulu.com/dji/,Company Website,High,"Official DJI distributor for consumer models; also known as Karfo Karacasulu"
Airmim,Turkey,Authorized Dealer,Dock 2 + Dock 3,2,https://airmim.com,https://tr.linkedin.com/company/airmim,https://airmim.com/urun/dji-dock-3/,Product Listing,https://airmim.com/urun/dji-dock-2/,Product Listing,High,"Drone retailer; email: merhaba@airmim.com; phone: +90 (544) 355 65 02"
Zafer Güder Aviation & Space,Turkey,Authorized Dealer,Dock 2 + Dock 3,2,https://zaferguder.com.tr,https://tr.linkedin.com/company/zafer-guder-havacilik-ve-uzay-sanayi,https://zaferguder.com.tr/products/dji-dock-2,Product Listing,https://zaferguder.com.tr/products/dji-dock-3,Product Listing,High,"DJI Enterprise dealer; located in Bursa; specializes in drone solutions and services"
Syd Bilgisayar Ltd. Şti. (SYD),Turkey,Authorized Dealer,Dock 2,1,https://www.syd.com.tr,https://tr.linkedin.com/company/syd-bilgisayar,https://www.syd.com.tr/urun/dji-dock-2,Product Listing,https://www.syd.com.tr/sayfa/dji-turkiye-distributoru,Company Website,High,"Online and physical retail; distributor of Karfo Karacasulu; extensive product range"
ATAY Mühendislik,Turkey,Authorized Dealer,Dock 2,1,https://ataymuhendislik.com,https://tr.linkedin.com/company/atay-muhendislik,https://ataymuhendislik.com/urun/dji-dock-2/,Product Listing,https://ataymuhendislik.com,Company Website,High,"Engineering and technical services; authorized distributor for DJI Enterprise products"
Providyo,Turkey,Authorized Dealer & Service Center,DJI Dock (all models),Not specified,https://providyo.com,https://tr.linkedin.com/company/providyo,https://providyo.com/,Company Website,https://providyo.com/,Company Website,Medium,"DJI Enterprise authorized service and sales point; technical support capability"
Fotografium,Turkey,Authorized Dealer,Dock 3,1,https://fotografium.com,https://tr.linkedin.com/company/fotografium,https://fotografium.com/dji-dock-3,Product Listing,https://fotografium.com,Company Website,Medium,"Photography and videography equipment retailer since 2008; serves government and private sector"
Kurumsal Drone,Turkey,Enterprise Distributor,DJI Dock (all models),Not specified,https://kurumsaldrone.com,https://tr.linkedin.com/company/kurumsal-drone,https://kurumsaldrone.com/,Company Website,https://kurumsaldrone.com/,Company Website,High,"Official DJI Turkey Enterprise representative; prominent DJI Dock distributor"
PEM Enerji San Tic A.Ş.,Turkey,Distributor,DJI Dock (Enterprise models),Not specified,https://pemenerji.com.tr,https://tr.linkedin.com/company/pemenerji,https://pemenerji.com.tr/,Company Website,https://pemenerji.com.tr/hakkimizda/,Company Website,High,"Official DJI distributor for Enterprise Models; 20+ years in power electronics and energy sector; based in Ataşehir/İstanbul"
DJI Store Türkiye,Turkey,Authorized Retail Store,Not confirmed,Not confirmed,https://www.djistoreturkiye.com,https://tr.linkedin.com/company/dji-store-turkiye,https://www.djistoreturkiye.com/,Company Website,https://www.djistoreturkiye.com/kurumsal/bayilerimiz,Dealer List,Medium,"Authorized official Turkish retail store; primary focus on consumer products; DJI Dock status unclear"
Drone.net.tr,Turkey,Retailer,Not directly stocked,0,https://drone.net.tr,https://tr.linkedin.com/company/dronenet,https://drone.net.tr/en/dji-drone-modelleri.html,Company Website,https://drone.net.tr,Company Website,Low,"DJI product retailer; DJI Dock mentioned in context but not actively sold"
