company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Aerosmart UAV,UAE,Authorized Dealer,Dock 1 Dock 2 Dock 3,Unknown,https://www.aerosmart.ae/,https://www.linkedin.com/company/aerosmartuav,https://www.aerosmart.ae/product/dji-dock-3/,Company Website,https://store.aerosmart.ae/product/dji-dock-3,Company Website,High,Official DJI distributor based in Dubai. Office: Al Tayer Commercial Building Rolla Street Bur Dubai. Offers all dock models with associated drones.
The Drone Centre,UAE,Authorized Dealer,Dock 1 Dock 2 Dock 3,Unknown,https://thedronecentre.ae/,https://www.linkedin.com/company/the-drone-centre/,https://thedronecentre.ae/dji-dock-2/,Company Website,https://thedronecentre.ae/first-flight-in-the-uae-dji-dock-marks-a-new-era-of-autonomous-drone-operation/,Company Website,High,Major distributor in Middle East and Africa. Offers training and comprehensive DJI Dock solutions.
AERONEX FZCO,UAE,Distributor,Dock 1 Dock 2 Dock 3,Unknown,https://www.aeronex.ae/,https://www.linkedin.com/company/aeronex-fzco/,https://www.aeronex.ae/?dock-3%2F=,Company Website,https://www.flytbase.com/blog/flytbase-partners-with-aeronex-to-deliver-advanced-drone-autonomy-solutions-across-the-mena-region,Industry Article,High,Exclusive master sales platform of DJI Enterprise in Middle East and Africa. Full Dock Series support.
XRTech Group,UAE,Authorized Dealer,Dock 2 Dock 3,Unknown,https://xrtechgroup.com/,https://www.linkedin.com/company/xr-tech-group/,https://xrtechgroup.com/product/dji-dock-2/,Company Website,https://xrtechgroup.com/dji-enterprise-drone/,Company Website,High,Pioneer in drone-in-a-box solutions since 2019. Based Dubai. DJI Enterprise authorized store.
DJI Store UAE,UAE,Authorized Dealer,Dock 2 Dock 3,Unknown,https://djistores.ae/,N/A,https://djistores.ae/product/dji-dock-2-m3td/,Company Website,https://djistores.ae/product/dji-dock-3-m4td-combo/,Company Website,High,Official authorized DJI seller offering Dock 2 and Dock 3 with various drone combos.
RC Corner,UAE,Authorized Dealer,Dock 3,Unknown,https://www.rccorner.ae/,N/A,https://www.rccorner.ae/dji-dock-3,Company Website,https://www.rccorner.ae/,Company Website,Medium,UAE Official Drones Distributor. Specifically offers DJI Dock 3.
Airworks (Dronedubai),UAE,Authorized Dealer,Dock 1 Dock 2,Unknown,https://www.dronedubai.ae/,N/A,https://www.dronedubai.ae/product/dji-dock-m30-dock-version/,Company Website,https://www.dronedubai.ae/dji-dock/,Company Website,Medium,Premium DJI drone store. Offers Dock 1 (M30 version) and Dock 2 products.
FlytBase,Multiple,Software Platform,Dock 1 Dock 2 Dock 3,Unknown,https://www.flytbase.com/,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/dji-dock,Company Website,https://www.flytbase.com/case-studies/uae-waste-management-autonomous-drone-implementation-case-study,Case Study,High,Enterprise drone autonomy software platform. Integrated with DJI Dock. Partners with AERONEX for MENA region. UAE case study available.
Dubai Police,UAE,Government End-User,Dock,Unknown,https://www.dubaipolice.gov.ae/,https://www.linkedin.com/company/dubai-police/,https://dronelife.com/2022/10/17/dubai-police-introduce-drone-in-a-box-for-faster-response-to-community/,Industry Article,https://www.dji.com/newsroom/news/dubai-police-becomes-a-dji-solution-development-partner,DJI Case Study,High,DJI Solution Development Partner. Operating drone-in-a-box systems. Uses AirHub platform with DJI Dock integration. Response times as low as 1:25.
RAK Police,UAE,Government End-User,Dock,Unknown,N/A,N/A,https://thedronecentre.ae/autonomous-drones-in-the-police-force/,Company Website,https://www.linkedin.com/pulse/autonomous-drones-police-force-the-drone-centre,LinkedIn Article,Medium,Testing DJI Dock for autonomous operations in law enforcement. Strategic deployment for city coverage.
UAE Waste Management Authority,UAE,Enterprise End-User,Dock,Unknown,N/A,N/A,https://www.flytbase.com/case-studies/uae-waste-management-autonomous-drone-implementation-case-study,Case Study,N/A,N/A,Medium,Deployed autonomous drone dock solution with FlytBase software across Dubai Abu Dhabi and Sharjah locations. Scheduled and on-demand missions with AI analytics.
VEC International,UAE,Authorized Dealer,Dock 3,Unknown,N/A,N/A,https://www.tiktok.com/@dji_in_uae/video/7588152866670431505,Social Media Post,https://www.vertiexpo.com/vec-international-fzco-vec-intl,Industry Database,Medium,Authorized DJI Enterprise distributor for UAE and Africa. WhatsApp: +971 50 599 7839. Deploys Dock 3 + FlightHub 2 systems. Founded 2022 with 150+ clients.
