company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Heliguy,GB,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.heliguy.com,https://www.linkedin.com/company/heliguy,https://www.heliguy.com/blogs/posts/heliguy-receives-first-dji-dock-in-uk,DJI Case Study,https://www.heliguy.com/blogs/posts/dji-dock-event-uk-first-demonstration/,Industry Article,High,UK's first DJI Dock distributor; provides installation and training services
DJI Retail UK,GB,Authorized Dealer,Dock 2; Dock 3,Unknown,https://dji-retail.co.uk,https://www.linkedin.com/company/dji-retail-uk,https://dji-retail.co.uk/products/dji-dock-2,Company Website,https://dji-retail.co.uk/products/dji-dock-3-dock-only,Company Website,High,Official UK retailer; flagship DJI|Hasselblad store in Birmingham
Coptrz,GB,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://coptrz.com,https://www.linkedin.com/company/coptrz,https://coptrz.com/shop/drones/dji-dock-2/,Company Website,https://coptrz.com/shop/accessories-and-parts/dji-dock-3/,Company Website,High,Comprehensive DJI Dock retailer with educational resources
iRed Store,GB,Authorized Dealer,Dock 2; Dock 3,Unknown,https://store.ired.co.uk,https://www.linkedin.com/company/ired-store,https://store.ired.co.uk/products/dji-dock-2,Company Website,https://store.ired.co.uk/products/dock-3,Company Website,High,UK-based online retailer; multiple Dock 2 and 3 bundles
Drone Sales,GB,Authorized Dealer,Dock 3,Unknown,https://dronesales.co.uk,https://www.linkedin.com/company/drone-sales,https://dronesales.co.uk/product/dji-dock-3-dock-only/,Company Website,https://dronesales.co.uk/product-category/enterprise/dji-dock/,Company Website,High,UK distributor; enterprise drone solutions
Syndico Distribution,GB,Distributor,Dock 2; Dock 3,Unknown,https://syndico.net,https://www.linkedin.com/company/syndico-distribution-ltd,https://syndico.net/dji-dock-3/,Company Website,https://syndico.net/dji/drones/dji-dock2/,Company Website,High,Exclusive UK distributor for DJI Enterprise products
AlphaGeo,GB,Authorized Dealer,Dock 1; Dock 2,Unknown,https://alphageouk.com,https://www.linkedin.com/company/alphageo-uk,https://alphageouk.com/products/dji-dock,Company Website,https://alphageouk.com/products/dji-dock-2,Company Website,High,Geospatial technology specialist; official UK distributor
Drone Safe Store,GB,Authorized Dealer,Dock 2; Dock 3,Unknown,https://dronesafestore.com,https://www.linkedin.com/company/drone-safe-store,https://dronesafestore.com/products/dji-dock-2,Company Website,https://dronesafestore.com/categories/dji-dock-3,Company Website,High,Based in Chichester West Sussex; highest-rated DJI store in UK
Camera Centre UK,GB,Authorized Dealer,Dock 3,Unknown,https://www.cameracentreuk.com,https://www.linkedin.com/company/camera-centre-uk,https://www.cameracentreuk.com/dji-dock-3-dock-only,Company Website,https://www.cameracentreuk.com/drones,Company Website,Medium,Retail partner for DJI products including Dock 3
Advexure,GB,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://advexure.com,https://www.linkedin.com/company/advexure,https://advexure.com/products/dji-dock-2,Company Website,https://advexure.com/products/dji-dock-3-for-matrice-4d-and-4td,Company Website,High,Comprehensive drone solutions provider; all Dock models
Team UAV,GB,Enterprise End-User; System Integrator,Dock 3,1,https://www.teamuav.uk,https://www.linkedin.com/company/team-uav,https://www.teamuav.uk/enterprise-solutions,Company Website,https://www.linkedin.com/posts/lewis-pritchard-team-uav-dock-3_,LinkedIn Post,High,DJI Enterprise Reseller; Dock 3 mounted on operational truck
Metropolitan Police Service,GB,Government End-User,Dock 3,1,https://www.met.police.uk,https://www.linkedin.com/company/metropolitan-police-service,https://dronexl.co/2025/10/22/london-police-drone-as-first-responder/,Industry Article,https://dronexl.co/2026/02/19/london-iphone-dji-drones,Industry Article,High,Islington Police station roof; Drone as First Responder program
Norfolk Police,GB,Government End-User,Dock 2,1,https://www.norfolk.police.uk,https://www.linkedin.com/company/norfolk-constabulary,https://www.heliguy.com/blogs/posts/police-trial-drones-as-first-responders/,Industry Article,https://dronedj.com/guides/dji-dock/,Industry Article,High,DFR trial deployment; national Home Office trial
Thames Valley Police,GB,Government End-User,Dock 2,1,https://www.thamesvalley.police.uk,https://www.linkedin.com/company/thames-valley-police,https://www.heliguy.com/blogs/posts/police-trial-drones-as-first-responders/,Industry Article,https://dronexl.co/2025/10/22/london-police-drone-as-first-responder/,Industry Article,Medium,Isle of Wight Festival DFR trial
