company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
"El Paso Police Department",USA,Government End-User,"Dock 1, Dock 2, Dock 3",22,https://www.eppd.org/,https://www.linkedin.com/company/el-paso-police-department/,https://viewpoints.dji.com/blog/coordinated-from-above-how-el-pasos-drone-network-supports-citywide-emergency-response,DJI Case Study,https://dronedj.com/2025/08/26/texas-dji-public-safety-drone/,Industry Article,High,"First citywide DJI Dock network in US; 22 docks deployed; response time reduced from 1 hour to minutes"
"Alaska Department of Transportation",USA,Government End-User,Dock 1,Unknown,https://dot.alaska.gov/,https://www.linkedin.com/company/alaska-department-of-transportation/,https://dronedj.com/2023/04/26/alaska-dot-dji-dock-m30/,Industry Article,https://dot.alaska.gov/comm/pressbox/arch2023/PR23-0016.shtml,Government Record,High,"First autonomous DJI Dock mission in USA; testing for avalanche monitoring in Juneau"
"Fort Wayne Police Department",USA,Government End-User,"Dock 2",3,https://www.fwpd.org/,https://www.linkedin.com/company/fort-wayne-police-department/,https://dronelife.com/2025/03/13/the-future-of-drone-as-first-responder-dfr-programs-insights-from-the-national-public-safety-uas-conference/,Industry Article,https://www.police1.com/drones/dfr-in-action-fort-wayne-police-department-air-support-unit,Industry Article,Medium,"Operating 3 DJI Dock 2s; 12-officer team; focus coverage on downtown area"
"Forsyth County Sheriff's Office",USA,Government End-User,"Dock 1",Unknown,https://www.forsythsheriff.org/,https://www.linkedin.com/company/forsyth-county-sheriff-office/,https://dronexl.co/2024/01/24/forsyth-county-sheriffs-office-dji-dock/,Industry Article,https://dronexl.co/2024/01/20/forsyth-countys-trial-drone-in-a-dock/,Industry Article,High,"North Carolina agency; early adopter; among first 5 agencies globally testing DJI Dock; can deliver AEDs and Narcan"
"Las Vegas Metropolitan Police Department",USA,Government End-User,"Dock 1, Dock 2, Dock 3",38,https://www.lvmpd.com/,https://www.linkedin.com/company/las-vegas-metropolitan-police-department/,https://dronedj.com/2025/08/26/las-vegas-police-drone-program/,Industry Article,https://www.police1.com/real-time-crime-center/photos-lvmpd-unveils-new-fusion-watch-center-drone-skyports,Industry Article,High,"38 dock drones at 13 skyports; largest drone program in US; 10,000+ missions in 2025; remote operation from Fusion Watch Center"
"Elk Grove Police Department",USA,Government End-User,"Dock 1, Dock 2, Dock 3",3,https://elkgrove.gov/community-safety-programs-and-services/uas-drone-program,https://www.linkedin.com/company/elk-grove-police-department/,https://dronelife.com/2025/02/05/elk-grove-police-receive-first-faa-waiver-for-citywide-400-foot-drone-as-first-responder-operations/,Industry Article,https://www.police1.com/police-products/police-drones/calif-pd-launches-drone-as-a-first-responder-program,Industry Article,High,"California; 3 docks citywide; covers 42 square miles; first FAA waiver for citywide 400-foot DFR operations; 1000+ flights"
"Enel Green Power",USA,Enterprise End-User,"Dock 1",Unknown,https://www.enelgreenpower.com/,https://www.linkedin.com/company/enel-green-power/,https://raptormaps.com/blog-posts/first-ever-dji-dock-(-drone-in-a-box-)-solar-farm-inspection-conducted-in-north-america,Industry Article,https://enterprise-insights.dji.com/blog/dji-dock-solar-inspection-lessons-learned,DJI Case Study,High,"First utility-scale solar inspection in North America; 181 MWdc solar site in Texas; collaborated with DJI, Raptor Maps, UVT"
"Raptor Maps",USA,Software Platform,Dock 1,Unknown,https://raptormaps.com/,https://www.linkedin.com/company/raptor-maps/,https://raptormaps.com/blog-posts/first-ever-dji-dock-(-drone-in-a-box-)-solar-farm-inspection-conducted-in-north-america,Company Website,https://enterprise.dji.com/ecosystem/raptor-maps,DJI Case Study,High,"Solar asset management software partner; mission planning integration for DJI Dock; DJI ecosystem partner"
"FlytBase",USA,Software Platform,"Dock 1, Dock 2, Dock 3",Unknown,https://www.flytbase.com/,https://www.linkedin.com/company/flytbase/,https://www.flytbase.com/dji-dock,Company Website,https://enterprise.dji.com/ecosystem/flytbase,DJI Case Study,High,"Enterprise drone autonomy platform; primary DJI Dock automation software; FlightHub 2 integration"
"DroneDeploy",USA,Software Platform,"Dock 1, Dock 2",Unknown,https://www.dronedeploy.com/,https://www.linkedin.com/company/dronedeploy/,https://dronedeploy.com/product/dock-automation,Company Website,https://help.dronedeploy.com/hc/en-us/articles/30927637908247-DJI-dock-provisioning-and-set-up,Company Website,High,"Cloud-based drone data platform; DJI Dock automation integration; flight planning support"
