company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Solectric GmbH,Germany,Distributor,Dock 1,Unknown,https://www.solectric.de/?lang=en,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,https://www.youtube.com/watch?v=cg2QgoXtg7Y,Social Media Post,https://www.linkedin.com/posts/solectric-distribution-gmbh_milestone-solectric-europe-activity-7065286271622901760-EoVD,LinkedIn Post,High,Largest DJI distributor in Europe; ran one of the first fully automated DJI Dock flights in Germany.
Droniq GmbH,Germany,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,http://www.droniq.de,https://de.linkedin.com/company/droniq,https://droniq.de/en/produkte/drone-in-a-box-system/dji-dock-2/,Company Website,https://droniq.de/en/dji-dock-europaweit-erste-betriebsgenehmigung/,Company Website,High,"Provides DJI Dock, Dock 2 and Dock 3 drone-in-a-box systems including Europe’s first BVLOS operating license with a German chemical company."
U-ROB,Germany,System Integrator,Dock 1; Dock 2; Dock 3,5,https://u-rob.com,https://www.linkedin.com/company/u-rob/,https://u-rob.com/shop/schulungen/dji-dock-2-inkl-genehmigung-und-inbetriebnahme/,Company Website,https://www.drones-magazin.de/en/stories/fully-automated-birds-nest-monitoring-with-drones/,Industry Article,High,German DJI reseller/system integrator offering Dock 1/2/3 packages with permits and commissioning; operates a project using five DJI Dock 2 units for fully automated bird’s-nest monitoring.
Dronivo GmbH,Germany,Distributor,Dock 2; Dock 3,Unknown,https://www.dronivo.de,https://de.linkedin.com/company/dronivo,https://www.dronivo.de/DJI-Dock-2-no-Aircraft-Remote-Control-Sender,Company Website,https://www.dronivo.de/DJI-Dock-3-no-Aircraft-Remote-Control-Sender,Company Website,High,Drone systems provider in Ludwigshafen distributing DJI Dock 2 and DJI Dock 3 hardware and complete Dock 2 bundles with training and permits.
Globe Flight GmbH,Germany,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.globe-flight.de,https://de.linkedin.com/company/globe-flight-gmbh,https://www.globe-flight.de/DJI-Dock-2-EN,Company Website,https://www.globe-flight.de/DJI-Dock-3-EN,Company Website,High,German DJI Enterprise dealer listing DJI Dock 2 and DJI Dock 3 with full technical specifications for local customers.
Airclip Service GmbH & Co. KG,Germany,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.airclip.de,https://de.linkedin.com/company/airclip,https://www.airclip.de/DJI-Dock-2,Company Website,https://www.airclip.de/Dock-3-complete-package-including-operating-license,Company Website,High,Dresden-based surveying solutions provider reselling DJI Dock 2 and offering a DJI Dock 3 complete package including operating license.
geo-konzept GmbH,Germany,System Integrator,Dock 2; Dock 3,Unknown,https://geo-konzept.de,https://de.linkedin.com/company/geo-konzept-gmbh,https://geo-konzept.de/uebersicht-fernerkundung/fernerkundung_produktuebersicht_flugsystemeloesungen_dock-3/,Company Website,https://geo-konzept.de/en/dock-3-dji-veroeffentlicht-neuen-automatisierten-drohnenhangar/,Company Website,High,Remote-sensing and precision-farming integrator in Adelschlag marketing DJI Dock 3 (and Dock use cases) for automated surveying and agricultural trials.
SaarDrones,Germany,System Integrator,Dock 2; Dock 3,Unknown,https://www.saardrones.de,https://de.linkedin.com/company/saardrones,https://www.saardrones.de/post/dji-dock-3,Company Website,https://www.saardrones.de/post/dji-dock-2,Company Website,High,"Enterprise drone integrator in Saarland promoting DJI Dock 2 and DJI Dock 3 for automated inspections, security and long-term monitoring."
Drohne112.de,Germany,DFR Service Provider,Dock 2,Unknown,https://www.drohne112.de,,https://www.drohne112.de/dock2.html,Company Website,https://enterprise-insights.dji.com/blog/how-drones-enhance-different-stages-of-a-water-rescue,DJI Case Study,High,"Public-safety-focused provider integrating DJI Dock 2 with Matrice 3TD for German fire and rescue agencies (e.g., Baltic Sea water-rescue trials)."
Feuerwehr Timmendorfer Strand,Germany,Government End-User,Dock 2,Unknown,https://www.feuerwehren-gemeinde-timmendorfer-strand.de/Die-Wehren/Timmendorfer-Strand/Fahrzeuge-Technik-/Drohne-/,,https://enterprise-insights.dji.com/blog/how-drones-enhance-different-stages-of-a-water-rescue,DJI Case Study,https://www.drohne112.de/hall-of-fame.html,Company Website,Medium,Municipal fire service in Schleswig-Holstein piloting DJI Dock 2 water-rescue operations on the Baltic Sea together with Drohne112.de.
CONDOR Schutz- und Sicherheitsdienst GmbH,Germany,Enterprise End-User,Dock 2; Dock 3,Unknown,https://www.condor-sicherheit.de,https://de.linkedin.com/company/condor-security-and-safety,https://www.condor-sicherheit.de/condor-group/aktuelles/aktuelle-meldung/detail/condor-und-u-rob-testen-dji-dock-2,Company Website,https://www.condor-drones.de/drohnen-showroom,Company Website,High,Private security group testing DJI Dock 2 with U-ROB and marketing DJI Dock 3-based security and monitoring solutions in Germany.
heliguy™,United Kingdom,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://www.heliguy.com,https://www.linkedin.com/company/heliguy,https://www.heliguy.com/blogs/posts/heliguy-receives-first-dji-dock-in-uk/,Industry Article,https://www.heliguy.com/blogs/posts/bvlos-dji-dock-pathway/,Industry Article,High,UK DJI Enterprise partner and systems integrator which received the first DJI Dock in the UK and holds CAA approvals for BVLOS operations with DJI Dock 1 and 2.
DJI Hasselblad UK (dji-retail.co.uk),United Kingdom,Authorized Dealer,Dock 2; Dock 3,Unknown,https://dji-retail.co.uk,https://www.linkedin.com/company/dji-store-uk/,https://dji-retail.co.uk/products/dji-dock-2,Company Website,https://dji-retail.co.uk/products/dji-dock-3-dock-only,Company Website,High,Official DJI Hasselblad retail partner in the UK listing DJI Dock 2 and DJI Dock 3 for local enterprise customers.
iRed Limited,United Kingdom,Reseller,Dock 2,Unknown,https://store.ired.co.uk,https://www.linkedin.com/company/ired-uk/,https://store.ired.co.uk/products/dji-dock-2,Company Website,, ,High,UK thermal imaging and inspection specialist reselling DJI Dock 2 hardware for unattended inspection and monitoring use cases.
D1 Store,Australia,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.d1store.com.au,https://www.linkedin.com/company/d1-store/,https://www.d1store.com.au/mobile/category/dji-dock,Company Website,https://staging.d1apps.sapautomate.com,Company Website,High,Official DJI Authorised Retail Store for Australia listing DJI Dock products including DJI Dock 3 for local enterprise and agriculture customers.
Sphere Drones,Australia,System Integrator,Dock 2; Dock 3,Unknown,https://www.spheredrones.com.au,https://www.linkedin.com/company/sphere-drones/,https://www.spheredrones.com.au/products/dji-dock-2,Company Website,https://dronedj.com/2024/05/15/sphere-drones-hubt-dji-dock/,Industry Article,High,Enterprise drone solutions provider offering DJI Dock 2 systems and HubT/HubX drone-in-a-box platforms built around DJI Dock 2 for BVLOS operations in Australia.
C.R. Kennedy Geospatial Solutions,Australia,Distributor,Dock 1; Dock 2,Unknown,https://survey.crkennedy.com.au,https://www.linkedin.com/company/c-r-kennedy/,https://survey.crkennedy.com.au/rpas-uav-drones/commercial-drones/DJI_Dock,Company Website,https://www.youtube.com/playlist?list=PLBU51qNSczwtgZwhI5B5_OIOKEbklAY5x,Social Media Post,High,National geospatial distributor and official stockist of DJI Dock products including DJI Dock 2 and Dock-related Matrice 3D accessories for Australian customers.
Prisma Technologies (PrismaTech),Australia,System Integrator,Dock 2; Dock 3,Unknown,https://prismatech.com.au,https://www.linkedin.com/company/prismatech-au/,https://prismatech.com.au/commercial-drone-products/p/dji-dock-2-matrice-3td,Company Website,https://prismatech.com.au/commercial-drone-products/p/dji-dock-3-matrice-4td-bundle,Company Website,High,Australian commercial drone supplier offering DJI Dock 2 with Matrice 3TD and DJI Dock 3 with Matrice 4TD bundles for 24/7 inspection and security operations.
Air Inspect Australia,Australia,DFR Service Provider,Dock 2,Unknown,https://airinspect.com.au,https://www.linkedin.com/company/air-inspect-pty-ltd/,https://airinspect.com.au/tag/dji-dock-2/,Industry Article,, ,Medium,Asset-inspection specialist marketing DJI Dock 2-based autonomous inspection services; public material confirms Dock 2 offering but not specific deployment counts.
Drone Nerds (Enterprise),United States,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://enterprise.dronenerds.com,https://www.linkedin.com/company/drone-nerds/,https://enterprise.dronenerds.com/drone-solutions/drone-docking-stations/dji-dock-2/,Company Website,https://enterprise.dronenerds.com/drone-solutions/drone-docking-stations/dji-dock-3/,Company Website,High,"Leading US DJI Enterprise partner offering DJI Dock, Dock 2 and Dock 3 solutions, including consulting, integration and virtual demos for remote operations."
Drone Nerds (Retail),United States,Distributor,Dock 2; Dock 3,Unknown,https://www.dronenerds.com,https://www.linkedin.com/company/drone-nerds/,https://www.dronenerds.com/collections/dji-dock-2,Company Website,https://www.dronenerds.com/collections/dji-dock-3,Company Website,High,US-based online retailer shipping DJI Dock 2 and Dock 3 products from its US warehouse for enterprise customers.
Maverick Drone Systems,United States,Distributor,Dock 2,Unknown,https://www.maverickdrone.com,https://www.linkedin.com/company/maverick-drone-systems/,https://www.maverickdrone.com/products/dji-dock-2,Company Website,https://www.maverickdrone.com/products/dji-dock-2-matrice-3td-bundle,Company Website,High,US distributor of enterprise drone systems selling DJI Dock 2 and DJI Dock 2 + Matrice 3TD ready-to-fly bundles for security and inspection.
DSLRPros,United States,System Integrator,Dock 2,Unknown,https://www.dslrpros.com,https://www.linkedin.com/company/dslrpros/,https://www.dslrpros.com/blogs/drone-trends/dji-dock-2-an-inside-look-and-feature-breakdown,Industry Article,https://www.dslrpros.com/products/dslrpros-dock-build,Company Website,High,"US enterprise drone solutions provider offering DJI Dock 2 hardware, feature breakdowns, and a Dock Build integration service that configures and deploys Dock 2 for customers."
RMUS (Rocky Mountain Unmanned Systems),United States,Distributor,Dock 2,Unknown,https://www.rmus.com,https://www.linkedin.com/company/rmus-llc/,https://www.rmus.com/products/dji-dock-2-matrice-3d-and-matrice-3td,Company Website,https://www.rmus.com/collections/avss-parachutes,Company Website,High,North American enterprise drone distributor listing DJI Dock 2 with Matrice 3D/3TD packages and associated AVSS parachute systems for Dock 2 operations.
