company_name,country,role,dock_models,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Terra Drone Arabia,Saudi Arabia,dealer,Dock 3,https://terra-drone.com.sa/,https://www.linkedin.com/company/terra-drone-sa,https://terra-drone.com.sa/product/dji-dock-3/,company_product_page,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,DJI Dock 3 dealer; hosts Dock 3 workshops; active operator in KSA
Shamal Technologies,Saudi Arabia,dealer,Dock 2; Dock 3,https://shamal.sa/,https://www.linkedin.com/company/shamal-technologies,https://shamal.sa/products,company_product_page,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,DJI Enterprise Authorized Seller; lists Dock 2 and Dock 3 on product page
Nine Tenths Trading Co,Saudi Arabia,dealer,Dock 1,https://www.9tenthsco.com/,https://www.linkedin.com/company/ninetenths,https://sa.zain.com/en/all-news/news-11-9-2023,partner_announcement,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,Authorized DJI Enterprise distributor in KSA; strategic Dock platform partnership with Zain KSA
Glider Aerial Solutions,Saudi Arabia,dealer,Dock 3,https://www.glider-aerial.com/,https://www.linkedin.com/company/glider-aerial-solutions,https://www.glider-aerial.com/product-page/dji-dock-3-overseas-edition-with-1-year-dock-3-warranty-from-aeronex,company_product_page,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,Authorized DJI dealer; deployed DJI Dock 3 in KSA operations
SAUDI SICLI COMPANY,Saudi Arabia,system_integrator,Dock 3,https://www.saudisicli.com.sa/,,https://saudisicli.com.sa/news-view.php?id=54,company_news,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,Deployed DJI Dock 3 + Matrice 4TD for first responder/NEOM autonomous surveillance demo
Abdul Rahman Al Shareef Group,Saudi Arabia,dealer,Dock 3,https://alshareefgroup.sa/,,https://alshareefgroup.sa/en/dji-dock-3-for-enterprise-en/,company_product_page,,,high,DJI Dock 3 enterprise page on company website; authorized reseller
株式会社セキド (Sekido),Japan,dealer,Dock 3,https://sekidocorp.com/,https://www.linkedin.com/company/sekido-co-ltd,https://sekido-rc.com/?pid=185106761,company_product_page,https://sekido-rc.com/?mode=grp&gid=3063356,company_product_page,high,Primary DJI distributor Japan; sells DJI Dock 3; publishes national Dock 3 dealer list
Terra Drone株式会社,Japan,dealer,Dock 1; Dock 2; Dock 3,https://terra-drone.net/,https://www.linkedin.com/company/terra-drone,https://www.dji.com/jp/where-to-buy/enterprise-dealers,dji_ecosystem_listing,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,DJI Enterprise authorized dealer Japan; global drone inspection company; listed on DJI finder
楽天ドローン株式会社 (Rakuten Drone),Japan,dealer,Dock 3,https://drone.rakuten.co.jp/,,https://drone.rakuten.co.jp/service/drone-sales/,company_product_page,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,high,DJI Dock 3 + Matrice 4D/4TD product page; listed on DJI dealer finder; Tokyo
Tohasen Robotics株式会社,Japan,dealer,Dock 3,https://www.tohasen-robotics.com/,,https://www.tohasen-robotics.com/news/dji-dock-3-training-center-release/,company_blog,https://sekido-rc.com/?pid=185106761,dji_ecosystem_listing,high,DJI Enterprise authorized dealer; established DJI Dock 3 training center in Chiba; Hachioji Tokyo
HELICAM株式会社,Japan,dealer,Dock 3,https://www.helicam.jp/,,https://www.helicam.jp,company_product_page,https://sekido-rc.com/?pid=185106761,dji_ecosystem_listing,high,DJI authorized dealer; DJI Dock 3 case study in Hokkaido farmland survey; Sapporo
センシンロボティクス株式会社 (Sensyn Robotics),Japan,solution_provider,Dock 2; Dock 3,https://www.sensyn-robotics.com/en,https://www.linkedin.com/company/sensyn-robotics,https://www.sensyn-robotics.com/en/news/sensyn-core-dji-dock3-next-level-integration,press_release,https://www.sensyn-robotics.com/en/news/idemitsu-hokkaido-drone-inspection-test,case_study,high,SENSYN CORE platform integrates with DJI Dock 2 and Dock 3 for AI-powered autonomous inspection; Idemitsu PoC; Tokyo Shinagawa
ブルーイノベーション株式会社 (Blue Innovation),Japan,solution_provider,Dock 2,https://www.blue-i.co.jp/,,https://drone-journal.impress.co.jp/docs/event/1186877.html,industry_article,https://sekido-rc.com/?pid=185106761,dji_ecosystem_listing,high,DJI Dock 2 dealer/integrator; showcased Dock 2 at industry events; drone management platform BEP; Tokyo Bunkyo
深空株式会社 (Shinkudrone),Japan,dealer,Dock 3,https://shinkudrone.com/,,https://shinkudrone.com/blog/%E9%81%A0%E9%9A%94%E8%87%AA%E5%8B%95%E8%88%AA%E8%A1%8C-dji-dock-3%E3%83%AA%E3%83%AA%E3%83%BC%E3%82%B9/,company_blog,https://sekido-rc.com/?pid=185106761,dji_ecosystem_listing,high,DJI certified store Osaka; first Dock 3 demo fly in western Japan; solar farm inspection; Osaka Tennoji
ミラテクドローン株式会社 (Miratech Drone),Japan,dealer,Dock 2; Dock 3,https://www.miratecdrone.co.jp/,,https://www.miratecdrone.co.jp,company_product_page,https://sekido-rc.com/?pid=185106761,dji_ecosystem_listing,high,DJI Dock 2 and Dock 3 dealer; demo events Osaka; MIRAIT ONE group company; Tokyo Shinagawa
ルーチェサーチ株式会社 (Luce Search),Japan,dealer,Dock 3,https://luce-s.net/,,https://enterprise.dji.com/find-a-dealer,dji_ecosystem_listing,,,high,DJI Enterprise authorized dealer listed in DJI find-a-dealer with DJI Dock 3 tag; Hiroshima
