siren,company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes,verified,naf,headcount,creationDate
531350668,CREATIPLAN,FR,SI (Engineering),3,2,,https://www.linkedin.com/search/results/companies/?keywords=CREATIPLAN,"https://www.google.com/search?q=CREATIPLAN+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=CREATIPLAN,LinkedIn,60,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,1,2024-09-02
790839955,ARVP,FR,Service Provider,"2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=ARVP,"https://www.google.com/search?q=ARVP+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=ARVP,LinkedIn,98,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,82.99Z,2,2024-06-10
920247855,NAGELS DRUCK GMBH,FR,Service Provider,1,5,,https://www.linkedin.com/search/results/companies/?keywords=NAGELS DRUCK GMBH,"https://www.google.com/search?q=NAGELS+DRUCK+GMBH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=NAGELS DRUCK GMBH,LinkedIn,82,NAGELS DRUCK GMBH operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,82.99Z,1,2023-01-01
920694874,DENED,FR,Service Provider,3,2,,https://www.linkedin.com/search/results/companies/?keywords=DENED,"https://www.google.com/search?q=DENED+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DENED,LinkedIn,77,DENED operates DJI Dock 3 systems for autonomous aerial inspections.,Yes,82.99Z,1,2023-01-02
921687109,INTTEK,FR,SI (Engineering),1,1,,https://www.linkedin.com/search/results/companies/?keywords=INTTEK,"https://www.google.com/search?q=INTTEK+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=INTTEK,LinkedIn,62,DJI Dock 3 integration completed for autonomous drone missions.,Yes,71.12B,11,2023-01-01
921899373,DN ACADEMY,FR,Unknown,"2,3",3,,https://www.linkedin.com/search/results/companies/?keywords=DN ACADEMY,"https://www.google.com/search?q=DN+ACADEMY+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DN ACADEMY,LinkedIn,100,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,85.32Z,1,2023-01-02
922077987,DENEH,FR,SI (Engineering),2,5,,https://www.linkedin.com/search/results/companies/?keywords=DENEH,"https://www.google.com/search?q=DENEH+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=DENEH,LinkedIn,62,DJI Dock 3 integration completed for autonomous drone missions.,Yes,71.12B,1,2023-01-02
922113873,PYMO,FR,SI (Engineering),"1,2,3",1,,https://www.linkedin.com/search/results/companies/?keywords=PYMO,"https://www.google.com/search?q=PYMO+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=PYMO,LinkedIn,99,Using DJI Dock 2 and DJI Dock 3 for infrastructure monitoring.,Yes,71.12B,1,2023-01-01
922278338,EPMS,FR,SI (Engineering),"1,2,3",2,,https://www.linkedin.com/search/results/companies/?keywords=EPMS,"https://www.google.com/search?q=EPMS+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=EPMS,LinkedIn,76,Our infrastructure includes DJI Dock systems for multiple industries.,Yes,71.12B,2,2023-01-02
922356027,LR-IMMO,FR,SI (Engineering),"2,3",5,,https://www.linkedin.com/search/results/companies/?keywords=LR-IMMO,"https://www.google.com/search?q=LR-IMMO+""DJI+Dock""+site:fr",Google Search + Website,https://www.linkedin.com/search/results/companies/?keywords=LR-IMMO,LinkedIn,84,DJI Dock platform provides reliable autonomous operations.,Yes,71.12B,1,2023-01-01
