siren,name,naf,headcount,siteWeb,creationDate,Country Code
200100717,INSTITUT REGIONAL DE SOMMELLERIE SUD DE FRANCE - CAMPUS DE BANYULS-SUR-MER,85.59A,1,,2023-03-22,FR
531350668,CREATIPLAN,71.12B,1,,2024-09-02,FR
790839955,ARVP,82.99Z,2,,2024-06-10,FR
899369672,LES NOUVEAUX FORMATEURS,85.59A,1,,2024-05-31,FR
901657775,DESTINUS SAS,71.12B,3,,2024-06-12,FR
904460581,ADDINGWELL,58.29C,3,,2024-07-05,FR
920247855,NAGELS DRUCK GMBH,82.99Z,1,,2023-01-01,FR
920694874,DENED,82.99Z,1,,2023-01-02,FR
921687109,INTTEK,71.12B,11,,2023-01-01,FR
921847885,ICARE FLIGHT ACADEMY,85.59A,1,,2023-01-01,FR
921899373,DN ACADEMY,85.32Z,1,,2023-01-02,FR
922014329,COLLIBRA BELGIUM,58.29C,11,,2023-01-01,FR
922020557,GIE DE VILLABE,82.99Z,11,,2023-01-02,FR
922038880,UBIQUISTE,71.12B,1,,2023-01-01,FR
922052758,MEOW PRODUCTIONS,59.11B,1,,2023-01-01,FR
922076724,HERIA,82.99Z,1,,2023-04-01,FR
922077987,DENEH,71.12B,1,,2023-01-02,FR
922089545,ENGINEEROO,71.12B,1,,2023-01-02,FR
922092705,QG DE LA PAIE,82.99Z,2,,2023-01-01,FR
922097076,ELOY INGENIERIE,71.12B,1,,2023-01-01,FR
922097811,EBR CONSULTANT,71.12B,1,,2023-01-02,FR
922102298,JBF,71.12B,1,,2023-01-02,FR
922103544,GROUPE LES FLAMBOYANTS,82.99Z,12,,2023-01-01,FR
922113873,PYMO,71.12B,1,,2023-01-01,FR
922116322,PH4M,62.02A,1,,2023-01-01,FR
922205109,DELTABLOT,71.12B,1,,2023-01-02,FR
922277959,CACIAU,71.12B,1,,2023-01-02,FR
922278338,EPMS,71.12B,2,,2023-01-02,FR
922356027,LR-IMMO,71.12B,1,,2023-01-01,FR
922369038,NATURE NICHOIRS,71.12B,1,,2023-01-01,FR
922378294,GONA PRODUCTION,59.11B,1,,2023-01-01,FR
