company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
studioSPORT,France,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.studiosport.fr/,,https://www.studiosport.fr/dji-dock-m64198.html,Company Website,https://www.studiosport.fr/drones/dji/dock/dock-3-c4071.html,Company Website,High,"French DJI Enterprise retailer offering DJI Dock, Dock 2 and Dock 3 solutions for automated inspections and surveillance."
ABOT,France,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://www.abot.fr/,,https://www.abot.fr/page/dji-dock-57,Company Website,https://www.abot.fr/dji-dock-2-avec-matrice-3d-ou-matrice-3td-25570.html,Company Website,High,"French DJI reseller and integrator presenting DJI Dock, Dock 2 and Dock 3 for industrial inspections, with detailed product pages and FAQs."
DJI Paris (DJI Store Paris),France,Authorized Dealer,Dock 1; Dock 2; Dock 3,Unknown,https://boutique.dji-paris.com/,,https://boutique.dji-paris.com/dock-c3671.html,Company Website,https://boutique.dji-paris.com/dock-3-c3740.html,Company Website,High,"Official DJI Paris store listing DJI Dock, Dock 2 and Dock 3 for professional automated missions."
La Caméra Embarquée,France,Reseller,Dock 2; Dock 3,Unknown,https://www.lacameraembarquee.fr/,,https://www.lacameraembarquee.fr/dji-dock-3-avec-dji-matrice-4d-4td/18141-dji-dock-3-avec-dji-matrice-4d.html,Company Website,https://www.lacameraembarquee.fr/en/dji-dock-2-with-dji-3d-3td-matrice/17675-dji-dock-2-with-dji-matrice-3td.html,Company Website,High,French retailer offering bundled DJI Dock 2 and Dock 3 packages with Matrice 3TD/4D drones for automated inspection and mapping.
Flying Eye,France,System Integrator,Dock 1; Dock 2,Unknown,https://www.flyingeye.fr/,,https://www.flyingeye.fr/en/product/dji-dock/,Company Website,https://www.instagram.com/p/CpUkgAsobbB/,Social Media Post,High,French DJI Enterprise specialist that brought the first DJI Dock to France and now promotes availability of DJI Dock 2 for professional clients.
Telepilote.store,France,Reseller,Dock 2,Unknown,https://www.telepilote.store/,,https://www.telepilote.store/drone-surveillance-evenementielle/150-dji-dock-2-avec-matrice-3d-station-d-accueil-automatisee.html,Company Website,,,Medium,French online shop marketing DJI Dock 2 packages with Matrice 3D/3DT for automated surveillance and event security.
Prepa-Drone,France,System Integrator,Dock 2,Unknown,https://prepa-drone.fr/,,https://prepa-drone.fr/actualites/dji-dock-2,Company Website,,,Medium,French drone training and consulting provider publishing detailed analysis of DJI Dock 2 and its applications in security and inspection.
Escadrone,France,System Integrator,Dock 1; Dock 2; Dock 3,Unknown,https://escadrone.com/,https://www.linkedin.com/company/escadrone/,https://escadrone.com/produit/dji-dock-drone-securite-autonome/,Company Website,https://escadrone.com/produit/dji-dock-2-drone-securite-automatise/,Company Website,High,"French systems integrator selling DJI Dock 1, Dock 2 and Dock 3 as automated security and inspection solutions, including content on deployments for French clients."
Instadrone,France,System Integrator,Dock 3,Unknown,https://www.instadrone.fr/,https://fr.linkedin.com/company/instadrone-sarl,https://instadrone.fr,Company Website,https://fr.linkedin.com/posts/instadrone-sarl_instadrone-djidock3-droneinabox-activity-7418966360262742016-KNNh,LinkedIn Post,High,"Largest French drone-operator network, positioning itself as an expert integrator for DJI Dock 3 with posts showcasing automated industrial surveillance deployments."
COVED – PAPREC Group,France,Enterprise End-User,Dock 3,Unknown,https://www.paprec.com/,,https://fr.linkedin.com/posts/c%C3%A9dric-botella_dji-dock-3-chez-coved-paprec-group-activity-7302950653033603072-x__f,LinkedIn Post,https://www.instadrone.fr/tag/dji-en/,Company Website,High,Industrial waste-management company highlighted by Instadrone for a concrete deployment of DJI Dock 3 on a COVED – PAPREC site in France.
SkyVisor,France,Software Platform,Dock 2; Dock 3,Unknown,https://www.skyvisor.fr/,https://www.linkedin.com/company/skyvisor/,https://www.skyvisor.fr/construction/,Company Website,https://www.linkedin.com/posts/skyvisor_dock3-skyvisorconstruction-inspections-activity-7417489617421017089-yBdM,LinkedIn Post,High,"French drone software platform explicitly integrating DJI Dock 2 and DJI Dock 3 for automated inspections and construction monitoring, including a case with Photom Services in France."
PHOTOM SERVICES (Photosol group),France,Enterprise End-User,Dock 3,Unknown,,https://fr.linkedin.com/company/photom-services,https://www.linkedin.com/posts/skyvisor_dock3-skyvisorconstruction-inspections-activity-7417489617421017089-yBdM,LinkedIn Post,,,Medium,Operations and maintenance subsidiary of Photosol referenced by SkyVisor as using DJI Dock 3 integrated with its platform for solar-park inspections in France.
i-Techdrone / i-TECHGroup,France,System Integrator,Dock 1,Unknown,https://www.i-techdrone.fr/,https://fr.linkedin.com/company/i-techgroup,https://www.i-techdrone.fr,Company Website,https://presselib.com/article/i-techdrone-startup-surveillance-industrielle-agriculteur-topographie-bearn,Industry Article,High,French drone engineering firm developing i-DOCK and Hy’Dock autonomous stations explicitly based on DJI Dock technology for mountain rescue and industrial surveillance.
Prodrones,France,Authorized Dealer,Dock 2; Dock 3,Unknown,https://www.prodrones.fr/,https://fr.linkedin.com/company/pro-drones,https://fr.linkedin.com/company/pro-drones,LinkedIn Page,https://www.instagram.com/prodronesfr/,Social Media Post,High,"French DJI Enterprise reseller highlighting DJI Dock 2 and DJI Dock 3 in demos and marketing, including events with public-safety and infrastructure customers."
Dronavia,France,System Integrator,Dock 2; Dock 3,Unknown,https://www.dronavia.com/,https://www.linkedin.com/company/dronavia/,https://www.linkedin.com/posts/dronavia_kronos-m3d-for-dji-dock-2-matrice-3d3dt-activity-7179541754189090816-eW3h,LinkedIn Post,https://www.dronavia.com,Company Website,High,"French manufacturer of safety systems (Kronos M3D/M4D) explicitly designed for DJI Dock 2 and DJI Dock 3 ecosystems, and listed as a DJI Eco Partner and supplier to many French Dock integrators."
