ENAC Ref,Date,Authorization Number,Operator,Manufacturer,Model,MTOM,Serial Number,BVLOS,Expiry Date,Country
53176,20/03/2026,ITA-OAT-00236/000,Giovanni Granati PEC: falcongsrls@pec.it,FALCONG,"E420P, E620P",46.5 kg,"ITA-4405844, ITA-1826986",No,31/03/2027,IT
53104,13/03/2026,ITA-OAT-00227/000,Leonardo S.p.A. - Divisione Elettronica - Sistemi di Difesa pec: sistemidifesa_amm@pec.leonardo.com,PRO S3 srl,Venture ASAE V2/ Venture ASAE V3,Kg. 7,"16476VI011A,16476VI013A, 16476VI015A",Si,31/12/2027,IT
52802,11/03/2026,ITA-OAT-00235/000,NRDroni di Nico Ribechini pec: nrdroni1@pec.it,DJI,Agras T50,Kg. 103,1581F6BUB246C001M17U,No,31/03/2027,IT
53152,11/03/2026,ITA-OAT-00234/000,Agrifutura Green S.r.l pec: agrifuturagreen@pec.it,DJI,Agras T50,Kg. 103,1581F6BUB24CA0014FWG,No,31/03/2027,IT
52698,10/03/2026,ITA-OAT-00233/000,UrbanV S.p.A. pec: urbanvspa@pec.urbanv.it,SpeedBird Aero,"DLV-2 A35-EU, DLV-2 B35-EU",Kg. 35,s/n 0029,Si,09/03/2027,IT
53204,10/03/2026,ITA-OAT-00232/000,GND Costruzioni Elettriche S.r.l. pec: gndcostruzionielettriche@pec.it,DJI,FlyCart 30,Kg. 95,1581F7C6824CB001P1JH,No,31/12/2027,IT
53067,06/03/2026,ITA-OAT-00231/000,Tecnosystem Italia S.r.l. pec: tecnosystemitaliasrl@pec.it,"BRO UAV, Tecnotem Italia srl",TD-U60,"Kg. 106,5",ZFZNZFZNU60020000388,No,28/02/2027,IT
52756,05/03/2026,ITA-OAT-00230/000,Il Borro S.r.l. Società Agricola pec: ilborro@pec.ilborro.it,DJI,Agras T30,Kg. 78,0,No,04/03/2027,IT
53040,05/03/2026,ITA-OAT-00229/000,Druido Drone di Matteo Crivello pec: druidodrone@pec.it,DJI,Agras T50,Kg. 103,1581f6BUB249F001C842,No,31/03/2027,IT
53065,05/03/2026,ITA-OAT-00228/000,Agea S.r.l. pec: agea1@legalmail.it,DJI,FlyCart 30,Kg. 80,ITA-2820072-1581F7C6B24620013LT5,No,04/03/2027,IT
53023,20/02/2026,ITA-OAT-00226/000,Cascina Cagnano di Rattini Daniele pec: daniele.rattini@pec.epap.it,DJI,Agras T50,Kg. 103,1581F6BUB246H001F94U,No,19/02/2027,IT
52898,19/02/2026,ITA-OAT-00225/000,Servizio gestione Strade - PAT pec: serv.gestionestrade@pec.provincia.tn.it,Dronavia,Kronos AD Mavic 3E,"Kg. 1,15",1581F5FHC24BH00E33HK,No,18/02/2027,IT
53007,19/02/2026,ITA-OAT-00224/000,ABZero S.r.l.s. pec: abzero@pec.it,DroneBase,x6000 Pro RTK,"Kg. 24,9",DBX6000P-0823,Si,18/02/2027,IT
52700,13/02/2026,ITA-OAT-00222/000,D.D.A. S.r.l. pec: ddaservicesrl@arubapec.it,XAG,P100 PRO e P40,Kg. 0,XAG P100-PRO - 8219351TL984 XAG P40 - 773320200247,No,28/02/2027,IT
53011,13/02/2026,ITA-OAT-00223/000,Pipistrel Italia S.r.l. pec: pipistrel@legalmail.it,Pipistrel,Nuuva V300,Kg. 1800,18968x9190001,No,12/02/2028,IT
52798,11/02/2026,ITA-OAT-00221/000,ALPSVision S.r.l. pec: alpsvision@b2bsign.it,Soleon,UniCo Agricuture,Kg. 58,"WDR-U2N3CAP01, WDR-U2N4CAP01",No,09/02/2027,IT
53137,11/02/2026,ITA-OAT-00133/001,Aermatica3D S.r.l. pec: aermatica3d@pec.it,DJI,Agras T25,Kg. 58,UAAG0026,No,10/02/2027,IT
