company_name,country,role,dock_models,dock_count,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
DroneLand B.V.,Netherlands,Authorized Dealer,"Dock 2, Dock 3",1,https://droneland.nl,https://www.linkedin.com/company/droneland,https://droneland.nl/dji-dock-2,Company Website,https://www.youtube.com/watch?v=mmbw-KcI5JI,Industry Article,High,Official DJI Dock 2 partner and distributor for Benelux; operates and showcases DJI Dock 3 in Dutch construction project.
Drone Class B.V. / EU Dronebewijs,Netherlands,Authorized Dealer,"Dock 1, Dock 3",1,https://www.eudronebewijs.nl,https://www.linkedin.com/company/drone-class,https://www.dronelicense.eu/blogs/popular/a-first-for-drone-class-dji-dock,Industry Article,https://www.eudronebewijs.nl/products/dji-dock-3-matrice-4td,Company Website,High,First company in the Netherlands to put a DJI Dock into operation; also sells DJI Dock 3 + Matrice 4TD combo.
DroneStars B.V.,Netherlands,Authorized Dealer,"Dock 2, Dock 3",2,https://dronestars.nl,https://www.linkedin.com/company/dronestars-b-v,https://www.linkedin.com/posts/dronestars-b-v_flytbase-djidock2-unmannedvalley-activity-7258074757126926336-7_jB,LinkedIn Post,https://www.youtube.com/watch?v=E1shcQQg6Q4,Industry Article,High,Largest DJI Enterprise dealer in Benelux; runs FlytBase-powered DJI Dock 2 demos and provided two DJI Dock 3 systems for Defqon.1 security operations.
AirHub B.V.,Netherlands,Software Platform,"Dock 1, Dock 2, Dock 3",Unknown,https://www.airhub.app,https://www.linkedin.com/company/airhub-bv,https://dronedj.com/2023/08/10/airhub-livestream-dji-drone-software/,Industry Article,https://www.airhub.app/resources/helpcenter/all-collections/categories/ground-stations,Company Website,High,Netherlands-based drone software company; integrates DJI Dock into its platform and provides regulatory compliance support for DJI Dock deployments in Europe.
Dronebotics B.V.,Netherlands,Software Platform,"Dock 2, Dock 3",Unknown,https://dronebotics.nl,https://www.linkedin.com/company/dronebotics,https://nl.dronebotics.nl/nieuw-dji-dock-2/,Company Website,https://nl.dronebotics.nl/dji-dock-3-integratie-dcc/,Company Website,High,Dutch drone automation firm; its Dronebotics Commando Centrum software supports DJI Dock 2 and is integrating DJI Dock 3 for autonomous security and inspection tasks.
Mapture B.V. (Mapture.ai),Netherlands,System Integrator,"Dock 1, Dock 2",Unknown,https://www.mapture.ai,https://www.linkedin.com/company/mapture-ai,https://nl.linkedin.com/posts/mapture_4g-activity-7199294002196566016-XUn_,LinkedIn Post,https://www.dronewatch.nl/2024/06/25/breda-mag-als-eerste-gemeente-bvlos-vluchten-vanuit-dronebox-gaan-uitvoeren/,Industry Article,High,BVLOS systems integrator that flies its DJI Dock and DJI Dock 2 over 4G and delivered the Hazeldonk DJI Dock 2 dronebox project for the municipality of Breda.
Spectro-AI,Netherlands,Software Platform,"Dock 2, Dock 3",Unknown,https://spectroai.ai,https://www.linkedin.com/company/spectro-ai,https://spectroai.ai/spectro-ai-news/,Company Website,https://www.facebook.com/61584551699388/,Social Media Post,High,"Enschede-based autonomy software vendor; SAI-HUB DD provides offline, on-premises autonomy and AI analytics for DJI Dock 2 and Dock 3, with demos at Brandweer Twente."
Drone Addicts,Netherlands,DFR Service Provider,"Dock 2, Dock 3",Unknown,https://droneaddicts.com,https://www.linkedin.com/company/drone-addicts,https://droneaddicts.com/alles-wat-je-moet-weten-over-de-dji-dock-2/,Company Website,https://www.instagram.com/reel/DMu9LpKIU1I/,Social Media Post,High,Amsterdam-based drone operations company; publishes in-depth content on DJI Dock 2 and operated two DJI Dock 3 systems for live security and crowd monitoring at Defqon.1.
Geocentrum Nederland,Netherlands,Authorized Dealer,Dock 3,Unknown,https://www.geocentrum.nl,https://www.linkedin.com/company/geocentrum-nederland,https://www.geocentrum.nl/producten/drones/dji-matrice-4-dock-3,Company Website,https://www.instagram.com/p/DK93-xkMniP/,Social Media Post,High,"Official DJI Enterprise dealer for Benelux; markets DJI Matrice 4-series with DJI Dock 3 for autonomous security, inspection and public safety missions."
Drone Parts Center,Netherlands,Authorized Dealer,Dock 3,Unknown,https://drone-parts-center.com,https://www.linkedin.com/company/droneparts-center,https://drone-parts-center.com/en/blog/dji-dock-3-features-pricing-and-availability/,Company Website,https://drone-parts-center.com/en/product/dji-dock-3-the-stand-alone-docking-station-for-professional-drones/,Company Website,High,"Benelux-certified DJI Dock 3 partner offering demos, regulatory support and local after-sales service for customers in Belgium, the Netherlands and Luxembourg."
