company_name,normalized_name,country,category,operations_type,sources,city_notes,website,linkedin,ilt_auth
Aerial Pro BV.,aerial pro,NL,ILT OA Operator; Drones.nl - software,,"ILT OA Register, Drones.nl Directory",,https://www.aerialpro.nl,https://www.linkedin.com/company/aerial-pro,NLD-OAT-004/02P
Avy,avy,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://avy.eu/,linkedin.com/company/avy,
BartFPV,bartfpv,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.bartfpv.com/,,
binnAir,binnair,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.binnair.nl/,,
Cineshoots,cineshoots,NL,ILT OA Operator; Drones.nl - luchtfotografie,,"ILT OA Register, Drones.nl Directory",,https://www.cineshoots.nl,,NLD-OAT-097/01G
DB Visuals,db visuals,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://dbvisuals.nl/,,
Drone Chiefs,drone chiefs,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.nederlandsedronebeelden.nl/,,
Drone Experience,drone experience,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://drone-experience.nl/,,
Drone with a Mission,drone with a mission,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://dronewithamission.nl/,,
DroneScenario,dronescenario,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.dronescenario.nl/,,
DroneView,droneview,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.droneview.nl/,,
Dutch Aerial Works,dutch aerial works,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.dedicateddrones.nl/,,
Dutch Drone Company BV.,dutch drone company,NL,ILT OA Operator; Drones.nl - inspectie,,"ILT OA Register, Drones.nl Directory",,https://ddc.works,linkedin.com/company/dutch-drone-company,NLD-OAT-011/02P
Euro Drone Inspections,euro drone inspections,NL,ILT OA Operator; Drones.nl - inspectie,,"ILT OA Register, Drones.nl Directory",,https://www.eurodronesinspections.com,https://www.linkedin.com/company/euro-drone-inspections-bv,NLD-OAT-013/02G
Float 360,float 360,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.float360.nl/,,
Geo Infra,geo infra,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",http://www.geoinfra.nl/,,
Haviq Inspect,haviq inspect,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://haviqinspect.nl/,,
Kiwi Aerial Shots,kiwi aerial shots,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://kiwi-aerialshots.nl/,,
LAV Fotografie,lav fotografie,NL,ILT STS Operator; ILT OA Operator,STS-01,"ILT STS Register, ILT OA Register","Issued: 2025-01-08 00:00:00, Expiry: 2027-01-08 00:00:00",https://www.lavfotografie.nl,,ILT-2025/27291
