company_name,normalized_name,country,category,operations_type,sources,city_notes,website,linkedin,ilt_auth
Aerial Pro BV.,aerial pro,NL,ILT OA Operator; Drones.nl - software,,"ILT OA Register, Drones.nl Directory",,https://www.aerialpro.nl,https://www.linkedin.com/company/aerial-pro,NLD-OAT-004/02P
Avy,avy,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://avy.eu/,linkedin.com/company/avy,
BartFPV,bartfpv,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.bartfpv.com/,,
binnAir,binnair,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.binnair.nl/,http://www.linkedin.com/company/binnair,
Cineshoots,cineshoots,NL,ILT OA Operator; Drones.nl - luchtfotografie,,"ILT OA Register, Drones.nl Directory",,https://www.cineshoots.nl,https://in.linkedin.com/company/cineshoots,NLD-OAT-097/01G
DB Visuals,db visuals,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://dbvisuals.nl/,http://www.linkedin.com/company/db-visuals,
Drone Chiefs,drone chiefs,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.nederlandsedronebeelden.nl/,http://www.linkedin.com/company/nederlandsedronebeelden,
Drone Experience,drone experience,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://drone-experience.nl/,http://www.linkedin.com/company/droneexp,
Drone with a Mission,drone with a mission,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://dronewithamission.nl/,http://www.linkedin.com/company/drone-with-a-mission,
DroneScenario,dronescenario,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.dronescenario.nl/,http://www.linkedin.com/company/dronescenario,
DroneView,droneview,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.droneview.nl/,http://www.linkedin.com/company/droneview-bv,
Dutch Aerial Works,dutch aerial works,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.dedicateddrones.nl/,http://www.linkedin.com/company/fotopiloot-en-dedicated-drones,
Dutch Drone Company BV.,dutch drone company,NL,ILT OA Operator; Drones.nl - inspectie,,"ILT OA Register, Drones.nl Directory",,https://ddc.works,linkedin.com/company/dutch-drone-company,NLD-OAT-011/02P
Euro Drone Inspections,euro drone inspections,NL,ILT OA Operator; Drones.nl - inspectie,,"ILT OA Register, Drones.nl Directory",,https://www.eurodronesinspections.com,https://www.linkedin.com/company/euro-drone-inspections-bv,NLD-OAT-013/02G
Float 360,float 360,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://www.float360.nl/,http://www.linkedin.com/company/float360,
Geo Infra,geo infra,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",http://www.geoinfra.nl/,http://www.linkedin.com/company/geo-infra-b.v.,
Haviq Inspect,haviq inspect,NL,DCRO Certified Operator; ILT OA Operator,,"DCRO, ILT OA Register","DCRO member (€500/yr, OA holders only)",https://haviqinspect.nl/,http://www.linkedin.com/company/haviqinspect,
