Company Name,Company Address,Company Mail,Company Linkedin page
"AC PROJE TASARIM","N/A","info@actasarim.com.tr","https://www.linkedin.com/company/sahaexpo/"
"ADT","N/A","info@adtairdefence.com","https://www.linkedin.com/company/sahaexpo/"
"Aero Edge Security","N/A","official@ae-defense.com","https://www.linkedin.com/company/sahaexpo/"
"AIROBOS","N/A","info@airobos.com.tr","https://www.linkedin.com/company/sahaexpo/"
"AKDOĞAN","N/A","info@akdogan.tech","https://www.linkedin.com/company/sahaexpo/"
"ALFASİS","N/A","info@alfasis.com.tr","https://www.linkedin.com/company/sahaexpo/"
"ALTINAY","N/A","savunma@altinay.com.tr","https://www.linkedin.com/company/sahaexpo/"
"ARES","N/A","ares@ares.com.tr","https://www.linkedin.com/company/sahaexpo/"
"ARMELSAN","N/A","info@armelsan.com","https://www.linkedin.com/company/sahaexpo/"
"ASİSGUARD","N/A","info@asisguard.com.tr","https://www.linkedin.com/company/sahaexpo/"
"AUTEL ROBOTICS","N/A","support@autelrobotics.com","https://www.linkedin.com/company/sahaexpo/"
"AVİES","N/A","info@avies.com","https://www.linkedin.com/company/sahaexpo/"
"AXEND INC / TVTRADAR","N/A","support@ax-end.com","https://www.linkedin.com/company/sahaexpo/"
"BAE SYSTEMS","N/A","aircommunications@baesystems.com","https://www.linkedin.com/company/sahaexpo/"
"BAŞARAN TEKNOLOJİ","N/A","info@basaran.tech","https://www.linkedin.com/company/sahaexpo/"
"BAYKAR","N/A","info@baykartech.com","https://www.linkedin.com/company/sahaexpo/"
"Beijing Anjam Technology","N/A","644036159@qq.com","https://www.linkedin.com/company/sahaexpo/"
"BEIJING LIZHENG TECHNOLOGY","N/A","dongcaihua@lizhengtech.com","https://www.linkedin.com/company/sahaexpo/"
"BRENSAN","N/A","info@brensan.com.tr","https://www.linkedin.com/company/sahaexpo/"
"BYMED MEDİKAL","N/A","contact@bymed.com","https://www.linkedin.com/company/sahaexpo/"
"C-Astral","N/A","sales@c-astral.com","https://www.linkedin.com/company/sahaexpo/"
"C TECH","N/A","infoctech@ctech.com.tr","https://www.linkedin.com/company/sahaexpo/"
"CSG","N/A","info@czechoslovakgroup.com","https://www.linkedin.com/company/sahaexpo/"
"D7G","N/A","info@d7g.ng","https://www.linkedin.com/company/sahaexpo/"
"DATUM","N/A","info@datumsubs.com","https://www.linkedin.com/company/sahaexpo/"
"DT SAVUNMA VE HAVACILIK A.Ş.","N/A","info@dtsavunma.com.tr","https://www.linkedin.com/company/sahaexpo/"
"EGE DİNAMİK","N/A","info@aegeandynamics.com","https://www.linkedin.com/company/sahaexpo/"
"ELEKTROLAND","N/A","info@elektrolanddefence.com","https://www.linkedin.com/company/sahaexpo/"
"ENDER ARGE","N/A","info@enderarge.com","https://www.linkedin.com/company/sahaexpo/"
"ENETKİ","N/A","bilgi@enetki.com","https://www.linkedin.com/company/sahaexpo/"
"ESAYSAN ENDÜSTRİYEL","N/A","esra.sayar@esaysan.com.tr","https://www.linkedin.com/company/sahaexpo/"
"ESETRON","N/A","esetron@esetron.com","https://www.linkedin.com/company/sahaexpo/"
"EX INTERNATIONAL","N/A","info@ex-international.com","https://www.linkedin.com/company/sahaexpo/"
"EXCALIBUR ARMY","N/A","dagmar.zatloukalova@excaliburarmy.eu","https://www.linkedin.com/company/sahaexpo/"
"FNSS","N/A","pr@fnss.com.tr","https://www.linkedin.com/company/sahaexpo/"
"GLENAIR","N/A","eeroglu@glenair.it","https://www.linkedin.com/company/sahaexpo/"
"GÖKÇELER SAVUNMA","N/A","omermert@borucase.com","https://www.linkedin.com/company/sahaexpo/"
"Gruppo ESEA","N/A","info@gruppoesea.it","https://www.linkedin.com/company/sahaexpo/"
"HARP SAVUNMA","N/A","info@harp.com.tr","https://www.linkedin.com/company/sahaexpo/"
"HAVELSAN","N/A","femd@havelsan.com.tr","https://www.linkedin.com/company/sahaexpo/"
"İHAMER","N/A","info@ihamer.com.tr","https://www.linkedin.com/company/sahaexpo/"
"INFODIF","N/A","info@infodif.com","https://www.linkedin.com/company/sahaexpo/"
"İNNOVİTA","N/A","info@innovita.com.tr","https://www.linkedin.com/company/sahaexpo/"
"İNVA MÜHENDİSLİK","N/A","info@invaguvenlik.com.tr","https://www.linkedin.com/company/sahaexpo/"
"JIANGXI HELICOPTER","N/A","yuyibin@jiangxihelicopter.com","https://www.linkedin.com/company/sahaexpo/"
"KALE JET","N/A","info@kalejetengines.com","https://www.linkedin.com/company/sahaexpo/"
"KARAKAMLAR","N/A","contact@karakamlar.com","https://www.linkedin.com/company/sahaexpo/"
"KOÇ BİLGİ VE SAVUNMA TEKNOLOJİLERİ","N/A","info@kocsavunma.com.tr","https://www.linkedin.com/company/sahaexpo/"
"KOCİNTOK","N/A","kocintok@kocintok.com.tr","https://www.linkedin.com/company/sahaexpo/"
"KUARTİS","N/A","info@kuartis.com","https://www.linkedin.com/company/sahaexpo/"
"MAK MEOS","N/A","ugur@mak.ag","https://www.linkedin.com/company/sahaexpo/"
"Mars RF Incorporation","N/A","info@marsrf.com","https://www.linkedin.com/company/sahaexpo/"
"MDT SAVUNMA","N/A","info@meddeftech.com","https://www.linkedin.com/company/sahaexpo/"
"MİLLA","N/A","info@millaotomotiv.com","https://www.linkedin.com/company/sahaexpo/"
"MİLPOWER","N/A","info@milpower.com.tr","https://www.linkedin.com/company/sahaexpo/"
"MINISTRY OF DEFENCE INDUSTRY OF THE REPUBLIC OF AZEBAIJAN","N/A","info@azersilah.com","https://www.linkedin.com/company/sahaexpo/"
"MKE","N/A","tanitim@mke.gov.tr","https://www.linkedin.com/company/sahaexpo/"
"MOSTATECH","N/A","info@mostatech.mt","https://www.linkedin.com/company/sahaexpo/"
"NORINCO","N/A","ssh@norinco.cn","https://www.linkedin.com/company/sahaexpo/"
"NOYA TECH","N/A","info@noyatech.com","https://www.linkedin.com/company/sahaexpo/"
"ORTİMOBİL","N/A","info@ortimobil.com","https://www.linkedin.com/company/sahaexpo/"
"OTOKAR","N/A","kyl@otokar.com.tr","https://www.linkedin.com/company/sahaexpo/"
"OVİS","N/A","info@ovis.ist","https://www.linkedin.com/company/sahaexpo/"
"ÖZATA TERSANECİLİK","N/A","info@ozatashipyard.com","https://www.linkedin.com/company/sahaexpo/"
"ÖZNİL","N/A","info@oznilplastik.com","https://www.linkedin.com/company/sahaexpo/"
"PEK AUTOMOTIVE D.O.O.","N/A","info@pekauto.com","https://www.linkedin.com/company/sahaexpo/"
"POLİGON","N/A","info@poligonmuhendislik.com","https://www.linkedin.com/company/sahaexpo/"
"POWELL LİMİTED","N/A","europe@powell.com","https://www.linkedin.com/company/sahaexpo/"
"POYKAL MAKİNE","N/A","ozgur@poykal.com","https://www.linkedin.com/company/sahaexpo/"
"RST","N/A","ebayraktar@rstteknoloji.com.tr","https://www.linkedin.com/company/sahaexpo/"
"SAR","N/A","sartek@sar-arge.com","https://www.linkedin.com/company/sahaexpo/"
"SEKİZALTMIŞ","N/A","bilgi@sekizaltmis.com","https://www.linkedin.com/company/sahaexpo/"
"Shenzhen Changkong Technology","N/A","fei46951182@gmail.com","https://www.linkedin.com/company/sahaexpo/"
"Shenzhen YooXplore Innovation Technology","N/A","nancy@szyoox.cn","https://www.linkedin.com/company/sahaexpo/"
"SKYDAGGER","N/A","info@skydagger.com","https://www.linkedin.com/company/sahaexpo/"
"SN ARGE","N/A","info@snarge.com.tr","https://www.linkedin.com/company/sahaexpo/"
"SOLID HAVACILIK","N/A","info@solidaero.com.tr","https://www.linkedin.com/company/sahaexpo/"
"STM","N/A","marketing@stm.com.tr","https://www.linkedin.com/company/sahaexpo/"
"SUPAERO","N/A","saha@supaero.de","https://www.linkedin.com/company/sahaexpo/"
"TARHUND","N/A","N/A","https://www.linkedin.com/company/sahaexpo/"
"TEKATRON","N/A","info@tekatron.com.tr","https://www.linkedin.com/company/sahaexpo/"
"TEKTRONİK","N/A","info@tektronik.com.tr","https://www.linkedin.com/company/sahaexpo/"
"TELSAN","N/A","satis@telsan.com","https://www.linkedin.com/company/sahaexpo/"
"TEOPS","N/A","info@teops.com.tr","https://www.linkedin.com/company/sahaexpo/"
"Terra Drone Corporation","N/A","yuji.morita@terra-drone.co.jp","https://www.linkedin.com/company/sahaexpo/"
"TEUSAN","N/A","info@teusan.com.tr","https://www.linkedin.com/company/sahaexpo/"
"TİTRA TEKNOLOJİ","N/A","info@titra.com.tr","https://www.linkedin.com/company/sahaexpo/"
"Topotek（Beijing）Technology","N/A","caijianlong@topotek.com","https://www.linkedin.com/company/sahaexpo/"
"TÜBİTAK","N/A","tubimer@tubitak.gov.tr","https://www.linkedin.com/company/sahaexpo/"
"TULEN SAVUNMA","N/A","info@tulen.com.tr","https://www.linkedin.com/company/sahaexpo/"
"TUSAŞ","N/A","N/A","https://www.linkedin.com/company/sahaexpo/"
"VYRIY INDUSTRY","N/A","office@vyriy.com","https://www.linkedin.com/company/sahaexpo/"
"WOOCOO","N/A","woocooint@gmial.com","https://www.linkedin.com/company/sahaexpo/"
"YANGDA","N/A","info@yangdaonline.com","https://www.linkedin.com/company/sahaexpo/"
"YONCA TEKNİK","N/A","info@yoncashipyard.com","https://www.linkedin.com/company/sahaexpo/"
"YÜCEL KOMPOZİT","N/A","murat.koc@yucelkompozit.com.tr","https://www.linkedin.com/company/sahaexpo/"
"Z3 TECHNOLOGY, LLC","N/A","sales@z3technology.com","https://www.linkedin.com/company/sahaexpo/"
"ZYRONE","N/A","info@zyrone.com","https://www.linkedin.com/company/sahaexpo/"
