Company Name,Responsible Person
Sky Elements LLC,Preston Ward
Mitchell Madsen,Mitchell Madsen
Grady Smith,Grady Smith
Jared Camba,Jared Camba
Nathaniel Spear,Nathaniel Spear
Greenville Police Department (TX),LT Dallas Fouse #308
Great Lakes Drone Company LLC,Matthew Quinn
AirFox Photography LLC,John Buvala
Derek Mohler,Derek Mohler
MassDOT Aeronautics,Christopher Bailey
AirFox Photography LLC,John Buvala
NOAA,Clinton Dykes
Michael Kim,Michael Kim
Ethan Dorer,Ethan Dorer
The City of Oklahoma City,Kevin Charles Oravetz
Keith Madigan,Keith Madigan
Aerial Illuminations Drone Shows,Niroshan Senanayake
Derek Lyon,Derek Lyon
TraceAir Technologies,Joel Sherman
Ethan Tarran,Ethan Tarran
Firefly Drone Shows,Jonathan Hearl
"Great Lakes Drone Company, LLC",Matthew Quinn
"Overlay Aerials, Inc.",James Harry Dempsey III
Remnant Technology Inc. /d/b/a Drone Crop Services,Joel M Jones
John Krasuski,John Krasuski
Sentinel Robotic Solutions,Jason Taylor
Santee Cooper,Bradley Malone
Spectrum Networks,Luca DeSando-Grassi
Raymond Price,Raymond Price
Duke Energy Aviation Services,Alex Justice
Black Bear Drone Services LLC,Jerrad Coffin
Robert Worth Biggs,Robert Worth Biggs
Flying Lion Inc.,James Richardson
"Rummel, Klepper, & Kahl, LLP",Alexander Hall
Chevron,Kasten Despaux
TraceAir Technologies,Joel Sherman
Aero Velocity,Seth Allen
Pacific Gas and Electric,Kellen Kirk
BNSF Railway,Brent W. York
Magical Light Shows LLC,Tom BetGeorge
Frontier Precision,Wyatt Robbins
Nikolay Anishchenko,Nikolay Anishchenko
Pacific Fieldworks LLC,Kevin Palumbo
Derek Lyon,Derek Lyon
LuluPepper Media LLC,Randall J Langton
Rosemar Contracting,William Quinn
Orlando Police Department,Eric Smith
River Valley Aerials LLC,Shawn Murphy
Rollinsford Police Department,Mitchell Brooks
University of St. Thomas Police Department,Heliman Jenkins
UMD UAS Research and Operations Center,Grant Williams
Cleburne County Sheriff's Office,Dalton Wayne Sims
Fort Lee Police Department,Joseph Zevits
Vanderbilt University Police Department,Patrick Sean Conwell
Santa Barbara Sheriff's Office,Cliff Cabasag
North St. Paul Police Department,Ray Rozales
Anduril Industries,Jayden Wong
Protocol UAS,Robert Knochenhauer
Drew Taylor Morris,Drew Taylor Morris
Neil Morse,Neil Morse
SUNY Upstate,Sebastian Ibanez
Nicklas Hendershot,Nicklas Hendershot
SkyTrace Drones LLC,Jeremy Parquette
Edward Ashley,Edward Ashley
Mark Raybin,Mark Raybin
Morning Star,Shane Eccles
Christopher Foster,Christopher Foster
"Choperazzi, LLC",Paul Grosso
Joseph Baran,Joseph Baran
Nils William Nilsen,Nils William Nilsen
Amin Ahmed,Amin Ahmed
ResilienX,Angelo Niforatos
R.B. Jergens,Peyton Smith
Mid-Atlantic Aviation Partnership,Tombo Jones
MassDOT Aeronautics,Christopher Bailey
American Electric Power,Patrick Rackley
Sky Elements LLC,Preston Ward
Sky Elements LLC,Preston Ward
Rainmaker Technology Corporation,Sam Kim
ComEd UxS Program,Victor Hugo Migliore
Douglas Hargis,Douglas Hargis
Rainmaker Technology Corporation,Sam Kim
Rainmaker Technology Corporation,Sam Kim
Rainmaker Technology Corporation,Sam Kim
Rainmaker Technology Corporation,Sam Kim
R.B. Jergens,Peyton Smith
Flock Group Inc,Kaleb Gould
Dominion Energy Unmanned Systems Group,Thomas F Butler
SkyTrace Drones LLC,Jeremy Parquette
Amazon.com Services LLC,Wilson Ragle
Kentucky Transportation Cabinet,Samuel Turner
Mesa Associates Inc,Lance Geren
Matthew Sanner,Matthew Sanner
Humphreys County Sheriff’s Office,Jason DeMark
