company_name,country,role,dock_models,website,linkedin_url,evidence_url_1,source_type_1,evidence_url_2,source_type_2,confidence,notes
Dynatech,AE,dealer,Dock 2,https://dynatech.ae,,https://dynatech.ae/product/dji-dock-2/,company_product_page,,,high,UAE retailer product page for DJI Dock 2.
Airworks (DroneDubai),AE,dealer,Dock 2,https://www.dronedubai.ae,,https://www.dronedubai.ae/dji-dock-2/,company_product_page,https://www.dronedubai.ae/product/dji-dock-2-with-dji-matrice-3td/,company_product_page,high,UAE dealer product pages for DJI Dock 2 and Dock 2 with Matrice 3TD.
Aero Smart,AE,dealer,"Dock 2, Dock 3",https://www.aerosmart.ae,,https://www.aerosmart.ae/product/dji-dock-2-drone/,company_product_page,https://www.aerosmart.ae/product/dji-dock-3/,company_product_page,high,UAE dealer listing DJI Dock 2 and DJI Dock 3 product pages.
DJI Stores UAE,AE,dealer,"Dock 2, Dock 3",https://djistores.ae,,https://djistores.ae/product/dji-dock-2-m3d-combo/,company_product_page,https://djistores.ae/product/dji-dock-3-m4td-combo/,company_product_page,medium,UAE storefront listing DJI Dock 2 and DJI Dock 3 combo pages (verify corporate entity if needed).
XR Tech Group,AE,dealer,Dock 2,https://xrtechgroup.com,,https://xrtechgroup.com/product-category/dji-ecosystem/,company_product_page,,,medium,UAE authorised DJI store page explicitly referencing DJI Dock 2.
Dronenet,AE,dealer,Dock 2,https://www.dronenet.ae,,https://www.dronenet.ae/,company_product_page,,,medium,UAE drone supplier homepage text explicitly mentions DJI Dock 2 (quote and contact page).
Aeronex FZCO,AE,dealer,"Dock 1, Dock 2, Dock 3",https://www.aeronex.ae,https://ae.linkedin.com/company/aeronex-fzco,https://www.aeronex.ae/?list_6%2F=,company_product_page,,,high,"Aeronex site menu lists DJI Dock, DJI Dock 2 and DJI Dock 3; also lists UAE and KSA offices on page."
The Drone Centre (DJI Platform ME),AE,dealer; system_integrator; solution_provider,Dock 1,https://thedronecentre.ae,https://www.linkedin.com/company/thedronecentre/,https://thedronecentre.ae/dji-dock/,company_product_page,https://thedronecentre.ae/first-flight-in-the-uae-dji-dock-marks-a-new-era-of-autonomous-drone-operation/,company_blog,high,Middle East DJI platform; markets 'DJI Dock – Autonomous Drone Solution' and documents first DJI Dock operations in UAE.[web:9][web:16]
Sphere Drones,AU,dealer,"Dock 2, Dock 3",https://www.spheredrones.com.au,,https://www.spheredrones.com.au/products/dji-dock-2,company_product_page,https://www.spheredrones.com.au/products/dji-dock-3,company_product_page,high,Australian enterprise dealer listing DJI Dock 2 and DJI Dock 3 product pages.
D1 Store,AU,dealer,"Dock 2, Dock 3",https://www.d1store.com.au,,https://www.d1store.com.au/categories/dji-dock-2,company_product_page,https://www.d1store.com.au/mobile/products/dji-dock-3,company_product_page,high,Australian retailer explicitly listing DJI Dock 2 and DJI Dock 3.
