id,name,dealer_type,priority,address,city,state,country,country_code,continent,phone,email,website,latitude,longitude,linkedin_url,linkedin_scanned_at,notes,created_at,updated_at
1498,Abot,Enterprise Dealer,high,"130 Rue Nicole Oresme ZAC, 76230 Isneauville, France",Seine-Maritime,Normandie,France,FR,Europe,+33235003880,contact@abot.fr,https://www.abot.fr,49.488415,1.150212,https://www.linkedin.com/company/abot-fr,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1499,STTL (Service Technique Topographie Laser),Enterprise Dealer,high,"Rue de la paix - ZI du Gier, 69700 Givors, France",Rhône,Auvergne-Rhône-Alpes,France,FR,Europe,+33472490501,info@sttl-lyon.com,https://www.sttl-topographie.com/,45.57839,4.727561,https://www.linkedin.com/company/sttl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1500,NETPIX La Camera embarquée,Enterprise Dealer,high,"Quartier de l'enfant, 145 Av. du 12 Juillet 1998, 13290 Aix-en-Provence",Aix-en-Provence,Bouches-du-Rhône,France,FR,Europe,+33 4 42 26 10 10,contact@lacameraembarquee.fr,https://www.lacameraembarquee.fr,43.479071,5.396879,https://www.linkedin.com/company/la-camera-embarquee,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1501,DUMONT SECURITE,Enterprise Dealer,high,"9 Rue Lucien Rosengart, 01500 Ambérieu-en-Bugey",Ambérieu-en-Bugey,Ain,France,FR,Europe,474461300,info@dumont-securite.fr,https://www.dumont-securite.fr/,45.969724,5.342233,https://www.linkedin.com/company/dumont-securite,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1502,Escadrone,Enterprise Dealer,high,"Novesparc RDC, 445 B Rue Lavoisier bat B, 38330 Montbonnot-Saint-Martin, France",Isère,Auvergne-Rhône-Alpes,France,FR,Europe,+33458005410,contact@escadrone.com,https://escadrone.com,45.216835,5.813648,https://www.linkedin.com/company/escadrone,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1503,Rivolier,Enterprise Dealer,high,"Z.I. Les Collonges, 42170 Saint-Just-Saint-Rambert",Abrest,Allier,France,FR,Europe,blays@rivolier.fr,blays@rivolier.fr,https://www.rivolier-sd.com/,45.519045,4.259032,https://www.linkedin.com/company/rivolier-sas,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1504,Geomesure,Enterprise Dealer,high,"560 Rue Henri Farman, 34430 Saint-Jean-de-Védas, France",Hérault,Occitanie,France,FR,Europe,+33977408676,contact@geomesure.fr,https://www.geomesure.fr,43.875022,3.882211,https://www.linkedin.com/company/geomesure,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1505,Capture solutions,Enterprise Dealer,high,"4 Parc des Fontenelles, 78870 BAILLY",Saint-Germain-en-Laye,Yvelines,France,FR,Europe,185391675,contact@capture-solutions.fr,https://www.capture-solutions.fr/,48.836034,2.074218,https://www.linkedin.com/company/capture-solution123,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1506,Prodrones,Enterprise Dealer,high,"Route de la trésorerie ZI La trésorerie, 62126 Wimille",Wimille,Pas-de-Calais,France,FR,Europe,+33 3 21 30 63 00,contact@prodrones.fr,https://www.prodrones.fr,50.772127,1.632182,https://www.linkedin.com/company/pro-drones,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1507,PROTEC SECURITY SYSTEMS,Enterprise Dealer,high,"301 avenue de Rio, 77127 Lieusaint",Lieusaint,Seine-et-Marne,France,FR,Europe,Philippe.gabet@protecsecuritysystems.fr,contact@protecsecuritysystems.fr,https://www.protecsecuritysystems.fr/en/home/,48.640348,2.572552,https://www.linkedin.com/company/security-systems-by-protec,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1508,Flying eye,Enterprise Dealer,high,"Green Side 1B, 400 Av. Roumanille, 06410 Biot, France",Alpes-Maritimes,Provence-Alpes-Côte d'Azur,France,FR,Europe,+33 9 72 62 78 50,info@flyingeye.fr,https://www.flyingeye.fr,43.622496,7.075067,https://www.linkedin.com/company/flyingeye,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1509,VOLTANEO,Enterprise Dealer,high,"12 Rue Claude Burdin, 63100 Clermont-Ferrand, France",Clermont-Ferrand,Puy-de-Dôme,France,FR,Europe,+33 4 73 14 03 63,,https://www.voltaneo.com,45.778505,3.133341,https://www.linkedin.com/company/voltaneo,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:42.75+00
1570,Dronestars B.V.,Enterprise Dealer,high,"Arnolduspark 16, 2132 CR Hoofddorp",Haarlemmermeer,Noord-Holland,Netherlands,NL,Europe,+31 (0) 85 273 69 05,info@dronestars.nl,https://dronestars.nl/,52.308475,4.707239,https://www.linkedin.com/company/dronestars-b-v,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
1571,Vortex Hardware & Maintenance BV,Enterprise Dealer,high,"Sikkel 22, 3274 KK Heinenoord The Netherlands",Groningen,Groningen,Netherlands,NL,Europe,+31653649050,info@vortex-hardware.com,https://www.vortex-hardware.com,,4.526304,https://nl.linkedin.com/company/vortex-hardware-maintenance-bv,,,2026-03-21 13:37:17.315481+00,2026-03-21 13:37:17.315481+00
1572,Vliegend.nl BV,Enterprise Dealer,high,"Van Kleffenswei 14, 9155 AM RAARD",Leeuwarden,Friesland,Netherlands,NL,Europe,（+31）642423888,jan@vliegend.nl,https://www.vliegend.nl/,53.328419,5.933166,https://www.linkedin.com/company/vliegend.nl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
1573,Dutch Drone Group B.V,Enterprise Dealer,high,"Annie M.G. Schmidtweg 134  1321NB, Almere",Almere,Flevoland,Netherlands,NL,Europe,（+31）085 201 7472,info@droneland.nl,https://www.droneland.nl,52.351451,5.177337,https://www.linkedin.com/company/droneland,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
1574,Geocentrum V.O.F.,Enterprise Dealer,high,"A. hofmanweg 5A, 2031 BH",Haarlem,Noord-Holland,Netherlands,NL,Europe,(+31)657565884,info@geocentrum.nl,https://geocentrum.nl,52.392881,4.666598,https://www.linkedin.com/company/geocentrum-nl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
1575,Geodirect B.V.,Enterprise Dealer,high,Vermogenweg 107,De Ronde Venen,Utrecht,Netherlands,NL,Europe,+31 297 769 101,info@geodirect.nl,https://www.geodirect.nl,52.213333,4.888611,https://www.linkedin.com/company/geodirect-bv,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
1576,Droneshop.nl,Enterprise Dealer,high,"De Weegschaal 8, 5215 MN 's-Hertogenbosch, The Netherlands",s-Hertogenbosch,Noord-Brabant,Netherlands,NL,Europe,(+31)736141671,info@droneshop.nl,https://droneshop.nl,51.68833,5.35426,https://www.linkedin.com/company/droneshopnl,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:43.071+00
