company_name,registry_id,trade_name,activity_code,legal_form_code,employee_band,employee_estimate,company_category,founded_date,city,address,confidence,composite_score,rank,match_keyword,website,linkedin,linkedin_followers,qa_status
"DRONE INSPECTION","887953180","","71.20B","5499","NN","","PME","2020-08-06","","","high","95","1","","","","","pending"
"SQUADRONE SYSTEM","800970212","","71.12B","5710","12","","PME","2014-02-19","","","high","90","2","","","","","pending"
"SKYDRONE INNOVATIONS","821433893","","71.12B","5710","11","","PME","2016-07-01","","","high","90","3","","","","","pending"
"ARTECH'DRONE","825313232","","71.12B","5710","03","","PME","2017-02-01","","","high","90","4","","","","","pending"
"CARIBEENNE D'EXPERTISE ET DE DRONES","827699943","","71.12B","5710","01","","PME","2017-02-01","","","high","90","5","","","","","pending"
"DIODON DRONE TECHNOLOGY","828427872","","71.12B","5710","12","","PME","2017-02-23","","","high","90","6","","","","","pending"
"DRONE CONSULTING","829385202","","71.20B","5710","03","","PME","2017-04-26","","","high","90","7","","","","","pending"
"BATHY DRONE SOLUTIONS","838519395","","71.20B","5710","02","","PME","2018-04-01","","","high","90","8","","","","","pending"
"SAS DRONE SERVICES","841182678","","71.12B","5710","01","","PME","2018-06-22","","","high","90","9","","","","","pending"
"DRONE EXPERTISE CENTRE","841889975","","71.20B","5710","02","","PME","2018-08-22","","","high","90","10","","","","","pending"
"DRONES INGENIERIE SYSTEMES","884424656","","71.20B","5499","01","","PME","2020-07-03","","","high","90","11","","","","","pending"
"DRONEDELATTREEXPERTISE","911417392","","71.12B","5710","01","","PME","2022-03-16","","","high","90","12","","","","","pending"
"AGENIUM DRONES SOLUTIONS","790716153","","71.12B","5710","NN","","PME","2013-02-01","","","high","85","13","","","","","pending"
"DRONE TECH","792345217","","71.12B","5710","NN","","PME","2013-03-15","","","high","85","14","","","","","pending"
"INTERDRONES SERVICES","792951238","","71.12B","5710","NN","","PME","2013-05-20","","","high","85","15","","","","","pending"
"FORMAT-DRONE","803965540","","71.12B","5710","02","","PME","2014-08-01","","","high","85","16","","","","","pending"
"CARTODRONE","805241999","","71.12B","5499","01","","PME","2014-10-14","","","high","85","17","","","","","pending"
"ENERGY DRONE","810401430","","71.12B","5499","01","","PME","2015-04-06","","","high","85","18","","","","","pending"
"SEMADRONES","812225308","","71.12B","5710","11","","PME","2015-07-01","","","high","85","19","","","","","pending"
"DRONE 06","813352754","","71.12B","5710","01","","PME","2015-09-04","","","high","85","20","","","","","pending"
"AIR SPACE DRONE","813598380","","71.12B","5710","02","","PME","2015-09-01","","","high","85","21","","","","","pending"
"DRONEXSOLUTION","821458122","","71.12B","5710","01","","PME","2016-07-01","","","high","85","22","","","","","pending"
"SCANDRONE","821750908","","71.12B","5710","01","","PME","2016-08-29","","","high","85","23","","","","","pending"
"INSTADRONE","827837832","","71.12B","5710","12","","PME","2017-02-01","","","high","85","24","","","","","pending"
"SAS DRONES EXPERTISES 2.9","842477671","","71.20B","5710","NN","","","2018-09-19","","","high","85","25","","","","","pending"
"SIG-DRONE","844079129","","71.12B","5710","02","","PME","2018-11-01","","","high","85","26","","","","","pending"
"DRONE EXP'AIR TECH","844545707","","71.20B","5499","NN","","PME","2018-12-04","","","high","85","27","","","","","pending"
"DRONES TECHNOLOGIES SERVICES","847924305","","71.20B","5499","NN","","PME","2019-02-01","","","high","85","28","","","","","pending"
"DRONE EXPERT'","883070484","","71.12B","5499","NN","","PME","2020-03-31","","","high","85","29","","","","","pending"
"DRONE 2I","890549702","","71.12B","5499","01","","PME","2020-12-01","","","high","85","30","","","","","pending"
"H2DRONE","897993705","","71.20B","5710","02","","PME","2021-03-20","","","high","85","31","","","","","pending"
"BERINGER DIAG & DRONE","914234992","","71.20B","5499","01","","PME","2022-06-03","","","high","85","32","","","","","pending"
"AURA DRONE","914686290","","71.12B","5710","01","","PME","2022-06-18","","","high","85","33","","","","","pending"
"DRONE TECH TOITURE","929065308","","71.20B","5710","NN","","","2024-05-22","","","high","85","34","","","","","pending"
"THERMODRONESERVICES","929159309","","71.20B","5710","NN","","","2024-06-01","","","high","85","35","","","","","pending"
"INGENIERIE & DRONE SOLUTIONS","932539851","","71.12B","5710","NN","","","2024-09-02","","","high","85","36","","","","","pending"
"TAHITI TECHNODRONE","940139983","","71.12B","5499","NN","","","2024-04-01","","","high","85","37","","","","","pending"
"DRONEX16","948463971","","71.12B","5710","01","","PME","2023-01-20","","","high","85","38","","","","","pending"
"AGRODRONE","950777649","","71.12B","5710","01","","PME","2023-03-20","","","high","85","39","","","","","pending"
"INTERNATIONAL DRONE SERVICES","951515907","","71.12B","5710","NN","","PME","2023-05-01","","","high","85","40","","","","","pending"
"DRONE X SOLUTIONS","980830806","","71.20B","5499","NN","","PME","2023-10-18","","","high","85","41","","","","","pending"
"DRONE SOLUTIONS INVEST","983254053","","71.20B","5499","NN","","","2024-01-04","","","high","85","42","","","","","pending"
"DRONES EXPERTISES","987385887","","71.20B","5710","NN","","","2024-03-07","","","high","85","43","","","","","pending"
"FRANCE DRONE SERVICES","991704305","","71.20B","5710","NN","","","2025-09-29","","","high","85","44","","","","","pending"
"DRONEDEV CONSULTING","995351236","","71.12B","5710","NN","","","2025-12-01","","","high","85","45","","","","","pending"
"VYNSKY DRONE","101574960","","71.20B","5710","NN","","","2026-02-23","","","high","80","46","","","","","pending"
"DRONEXPLORER","499912483","","71.12B","5499","NN","","","2007-09-15","","","high","80","47","","","","","pending"
"CLEAN DRONE","505369447","","71.12B","5499","NN","","PME","2008-08-01","","","high","80","48","","","","","pending"
"DRONE FORCE","794699967","","71.12B","5499","NN","","PME","2013-08-12","","","high","80","49","","","","","pending"
"MLV DRONE","799787726","","71.12B","5710","NN","","PME","2014-01-02","","","high","80","50","","","","","pending"
"PHOENIX DRONES","802193359","","71.12B","5710","NN","","PME","2014-05-01","","","high","80","51","","","","","pending"
"DRONETUDES","803079086","","71.12B","5499","NN","","PME","2014-06-24","","","high","80","52","","","","","pending"
"DEFIS-DRONE","807928031","","71.12B","5710","NN","","","2014-11-18","","","high","80","53","","","","","pending"
"AIR DRONE SOLUTION","811187319","","71.12B","5499","NN","","PME","2015-05-02","","","high","80","54","","","","","pending"
"DIAG DRONE","813560364","","71.12B","5710","NN","","PME","2015-09-09","","","high","80","55","","","","","pending"
"APPLICATIONS DRONES ET GEOPHYSIQUES","814791638","","71.12B","5710","NN","","PME","2015-11-20","","","high","80","56","","","","","pending"
"ATA DRONE","814986204","","71.12B","5710","NN","","PME","2016-01-01","","","high","80","57","","","","","pending"
"ATLANTIQUE EXPERTISES DRONES","817637267","","70.22Z","5499","02","","PME","2016-01-02","","","high","80","58","","","","","pending"
"SB DRONE","818970931","","71.12B","5710","NN","","PME","2016-02-19","","","high","80","59","","","","","pending"
"DRONE ANALYSE","820118784","","71.20B","5710","NN","","PME","2016-05-01","","","high","80","60","","","","","pending"
