id,registry_id,company_name,trade_name,acronym,activity_code,legal_form_code,employee_band,employee_estimate,has_employees,company_category,founded_date,country_code,signal_source,filter_version,extracted_at,match_keyword,composite_score,confidence,score_breakdown,rank,notes,website,linkedin,linkedin_followers,qa_status,qa_notes,reviewed_at,merged_to,created_at,updated_at,city,address
88a9efe0-f598-450f-8b3d-8517ad238987,811794601,AZUR DRONES,,,74.90B,5710,21,50,false,ETI,2015-06-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,48,high,[object Object],1,,https://www.azurdrones.com/,https://www.linkedin.com/company/azur-drones/,,pending,Competitor — drone-in-a-box company (competes with FlytBase). Track for competitive intel.,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Bordeaux-Mérignac,
4fa5191c-493a-41c1-acd5-2be69ef1305e,800970212,SQUADRONE SYSTEM,,,71.12B,5710,12,20,false,PME,2014-02-19,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,41,high,[object Object],2,,https://squadrone-system.com/,https://www.linkedin.com/company/squadrone-system,,pending,"Acquired by Delair (Oct 2024). Swarm drones + anti-drone tech. Defense-focused (Thales, Safran partnerships). May still operate as subsidiary.",,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:49.314+00:00,Grenoble,
dfd9f0f0-9392-40e1-a2c4-a9b188fcc012,828427872,DIODON DRONE TECHNOLOGY,,,71.12B,5710,12,20,false,PME,2017-02-23,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,41,high,[object Object],3,,https://www.diodon-drone.com/,https://fr.linkedin.com/company/diodon-drone-technology,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Toulouse,
e35c138e-8b8c-43ea-80b9-f96b7c0745e9,811423193,UAVIA,,,71.12B,5710,12,20,false,PME,2015-05-18,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,uav,39,high,[object Object],4,,https://uavia.eu/,https://fr.linkedin.com/company/uavia,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Vitry-sur-Seine,
d2c56870-fbbc-4e5d-9c7a-e8d7ff9218d1,827837832,INSTADRONE,,,71.12B,5710,12,20,false,PME,2017-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,39,high,[object Object],5,,https://www.instadrone.fr/,https://www.linkedin.com/company/instadrone-sarl/,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Béziers,
894e117b-d550-486e-8fc1-b197d786b5a1,808408074,PARROT DRONES,,,26.70Z,5710,22,100,false,PME,2014-12-04,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,38,low,[object Object],6,,https://www.parrot.com/,https://www.linkedin.com/company/parrot/,,pending,"OEM — Parrot is a drone manufacturer, not a DSP/SI partner target",,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Paris,
52023ac1-f2e1-4c94-937c-e4c0e663d1f9,821433893,SKYDRONE INNOVATIONS,,,71.12B,5710,11,15,false,PME,2016-07-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,36,high,[object Object],7,,https://skydrone-robotics.com/,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,La Rochelle,
b7d416ca-7c9f-4aed-a472-25fbf2d75e13,812225308,SEMADRONES,,,71.12B,5710,11,15,false,PME,2015-07-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,36,high,[object Object],8,,https://semadrones.com/,https://www.linkedin.com/company/semadrones,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Rhône-Alpes,
28a4fe29-cd70-48db-ad59-f61b9eae35c0,350686788,VOYAGES DESCAMPS DUAVRANT,,,49.39B,5499,21,50,false,PME,1989-04-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,35,low,[object Object],9,,,,,rejected,False positive — not a drone company,2026-03-24T04:12:56.973+00:00,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:12:56.973+00:00,,
8e1ce364-0c91-471b-8ae7-376c91203fc1,825313232,ARTECH'DRONE,,,71.12B,5710,03,6,false,PME,2017-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,34,high,[object Object],10,,https://www.artechdrone.fr/,https://www.linkedin.com/company/artechdrone/,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Bétheny (Reims),
4bdde2e9-8999-4aec-b266-50820144e3ed,812376358,DRONE ACT,,,72.19Z,5710,11,15,false,PME,2015-08-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,33,high,[object Object],12,,https://www.drone-act.com/,https://www.linkedin.com/company/drone-act-malestroit,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Malestroit,
1f0f03d0-dfff-48aa-9c51-234cd4124843,842833824,LYNXDRONE,,,74.90B,5710,11,15,false,PME,2018-10-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,33,high,[object Object],13,,https://lynxdrone.fr/,https://www.linkedin.com/company/lynx-drone-sas,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Canejan,
4b97a1e4-7389-4b0f-a018-d79775c3ccb5,834143695,ARTEDRONE,,,72.19Z,5710,11,15,false,PME,2017-12-19,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,33,low,[object Object],11,,,https://www.linkedin.com/company/artedrone/,,pending,"NOT an aerial drone company — Artedrone develops autonomous micro-robots for neurosurgery (stroke treatment). Medtech, not drone services.",,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:49.314+00:00,Paris,
49335eec-e8f9-435a-acf3-beb0d58ed6e5,829385202,DRONE CONSULTING,,,71.20B,5710,03,6,false,PME,2017-04-26,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,32,high,[object Object],14,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,,
6f76a69b-11d9-4c42-b2c5-b4c55d830388,838519395,BATHY DRONE SOLUTIONS,,,71.20B,5710,02,3,false,PME,2018-04-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,31,high,[object Object],15,,https://www.bathydronesolutions.com/,https://fr.linkedin.com/company/bathy-drone-solutions,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Ruitz,
c1fac78f-a9d2-4964-8eaa-d5cf59770efd,534093349,WEBDRONE,,,62.01Z,5710,11,15,false,PME,2011-07-19,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,31,low,[object Object],16,,https://www.webdrone.fr/,https://fr.linkedin.com/company/webdrone,,pending,"NOT a drone company — Webdrone is a cybercrime intelligence SaaS platform. ""drone"" in name refers to web crawling e-drones, not aerial drones.",,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:49.312+00:00,Dijon,
71b9a77f-2200-46c9-a0b3-1e0e7795d66b,841182678,SAS DRONE SERVICES,,,71.12B,5710,01,1,false,PME,2018-06-22,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,30,high,[object Object],18,,https://www.ovikit.fr/,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:14:25.891+00:00,Roullet-Saint-Estéphe,
2499aa8e-318b-4294-b12a-d5ac106f475b,807747662,SNOWDRONE,,,49.32Z,5499,12,20,false,PME,2014-11-04,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,30,low,[object Object],17,,,,,rejected,False positive — not a drone company,2026-03-24T04:12:56.973+00:00,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:12:56.973+00:00,,
57ab0a7e-0fb1-4e3d-b48c-6f4931a933bd,400186730,BLEU MARINE,AQUAVITHAL,,85.51Z,5499,12,20,false,PME,1995-03-20,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,30,low,[object Object],19,,,,,rejected,False positive — not a drone company,2026-03-24T04:12:56.973+00:00,,2026-03-23T13:43:41.553661+00:00,2026-03-24T04:12:56.973+00:00,,
f257af47-442c-46ce-969b-a9141c9fd0c0,803965540,FORMAT-DRONE,,FD,71.12B,5710,02,3,false,PME,2014-08-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,29,high,[object Object],24,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
5ab43689-19c1-4a1f-acd8-e5f9e76b1bc8,847924305,DRONES TECHNOLOGIES SERVICES,,DTS,71.20B,5499,NN,0,false,PME,2019-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,29,high,[object Object],20,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
d9006196-8884-45af-b4b8-eee646aeb932,844079129,SIG-DRONE,,,71.12B,5710,02,3,false,PME,2018-11-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,29,high,[object Object],21,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
a3183cfc-cc16-47e7-9eb2-1a11ad1a4666,841889975,DRONE EXPERTISE CENTRE,,,71.20B,5710,02,3,false,PME,2018-08-22,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,29,high,[object Object],22,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
8cfaa0d4-56bd-4e2a-ab1d-a75cd752efdc,813598380,AIR SPACE DRONE,,ASD,71.12B,5710,02,3,false,PME,2015-09-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,29,high,[object Object],23,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
ebc2d26e-4783-441d-a12b-c1889465b7ea,820377687,DRONELIS,,,70.22Z,5710,11,15,false,PME,2016-05-18,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,28,high,[object Object],25,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
3f50820c-1807-4fbd-97a9-4aba0f58b0f1,802991414,HEXADRONE,,,30.30Z,5710,11,15,false,PME,2014-05-26,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,28,high,[object Object],26,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
df8a722f-4209-476b-9071-e6bea0488c31,408592079,ACQUAVIVA DISTRIBUTION II,,,47.11F,5710,02,3,false,ETI,1996-07-23,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,28,low,[object Object],27,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
a6f2035a-1f2f-45c2-9b86-c9eb352c5b04,792951238,INTERDRONES SERVICES,,,71.12B,5710,NN,0,false,PME,2013-05-20,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,28,high,[object Object],28,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
1cedf655-953a-45bc-8e6c-cc5522621703,807500541,ESCADRONE,,,30.30Z,5710,11,15,false,PME,2014-10-27,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,28,high,[object Object],29,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
609c1c9f-e9ca-4c69-a283-5f78001161c1,531970051,DRONE VOLT,,,30.30Z,5599,12,20,false,PME,2011-04-12,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,28,high,[object Object],30,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
46238bd8-c42b-4251-829a-6c9bd6d06914,409892122,SARL AQUAVAL,,,46.61Z,5499,11,15,false,PME,1996-10-28,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,,27,low,[object Object],31,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
ab32a86e-0212-476d-bb0e-e566d2a57078,798408563,DRONE ON AIR,,,59.11B,5499,11,15,false,PME,2013-11-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,27,high,[object Object],32,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
ad9bc7e7-a2e1-4de2-9e4e-c5e6f04a31bf,827699943,CARIBEENNE D'EXPERTISE ET DE DRONES,,CAREX DRONES,71.12B,5710,01,1,false,PME,2017-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,26,high,[object Object],37,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
780cef23-481b-4f36-8267-3dde4fa47f12,790716153,AGENIUM DRONES SOLUTIONS,,,71.12B,5710,NN,0,false,PME,2013-02-01,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49+00:00,drone,26,high,[object Object],38,,,,,pending,,,,2026-03-23T13:43:41.553661+00:00,2026-03-23T13:43:41.553661+00:00,,
