Rank,Company,Hit Score,Macro Region,Countries,Industries,Mentions,Signals,Website,LinkedIn,LinkedIn Followers
1,"Flock Safety",1.00,Americas,"US","Perimeter Security & Smart Facilities; Public Safety & Emergency Response",4,"DEPLOYMENT; EXPANSION; CONTRACT",https://www.flocksafety.com,https://www.linkedin.com/company/flock-,92000
2,"Volatus Aerospace",1.00,Americas,"Canada; North America","Energy & Utilities",3,"CONTRACT",https://volatusaerospace.com,https://ca.linkedin.com/company/volatus-aerospace,16700
3,"Team UAV",1.00,Europe,"UK","Logistics & Delivery; Construction & Infrastructure",3,"DEPLOYMENT",https://www.teamuav.uk,https://uk.linkedin.com/company/teamuav,8200
4,"ZenaTech Inc.",1.00,Americas,"US","Other: Research & Development; Construction & Infrastructure; Other: Drone Technology",3,"EXPANSION",https://www.zenatech.com,https://ca.linkedin.com/company/zenatechinc,2800
5,"SkyVisor",1.00,Europe,"France","Construction & Infrastructure; Energy & Utilities",2,"DEPLOYMENT",https://www.skyvisor.ai,https://www.linkedin.com/company/skyvisor,
6,"Drone Force",1.00,MEA,"South Africa; US","Perimeter Security & Smart Facilities; Public Safety & Emergency Response",2,"PARTNERSHIP",https://www.droneforcetech.com/,https://www.linkedin.com/company/drone-force-usa,46
7,"Falcon Unmanned Systems",1.00,Americas,"US","Energy & Utilities; Perimeter Security & Smart Facilities",1,"DEPLOYMENT",https://www.falconunmannedsystems.com,https://www.linkedin.com/company/falcon-unmanned-systems,50
8,"GNSS AE",1.00,Europe,"Turkey; UAE","Renewable Energy; Energy & Utilities",1,"DEPLOYMENT",https://www.gnss.ae,https://ae.linkedin.com/company/gnss-ae,850
9,"Guris",1.00,Europe,"Turkey","Renewable Energy",1,"DEPLOYMENT",https://guristeknoloji.com,https://www.linkedin.com/company/gurisholding/,
10,"kioniq",1.00,Europe,"Austria","Public Safety & Emergency Response",1,"DEPLOYMENT",https://kioniq.com/,https://www.linkedin.com/company/kioniq,
11,"heliguy™",1.00,Europe,"UK","Public Safety & Emergency Response",1,"DEPLOYMENT",https://www.heliguy.com,https://www.linkedin.com/company/heliguy,12581
12,"Airbox",1.00,Europe,"UK","Public Safety & Emergency Response",1,"DEPLOYMENT",https://www.airboxsystems.com,https://uk.linkedin.com/company/airbox-systems,2020
13,"GS5 Systems",1.00,Europe,"UK","Perimeter Security & Smart Facilities",1,"OTHER",https://gs5.systems,https://www.linkedin.com/company/gs5-systems,14
14,"Revector",1.00,Europe,"UK","Public Safety & Emergency Response",1,"PARTNERSHIP",https://www.revector.com,https://www.linkedin.com/company/revector/,
15,"Cannon Dynamics",1.00,Europe,"UK","Public Safety & Emergency Response; Defense & Security",1,"PARTNERSHIP",https://www.cannondynamics.co.uk,https://uk.linkedin.com/company/cannon-dynamics,500
16,"Fuvex",1.00,Europe,"Spain","Oil & Gas / Industrial Assets",1,"EXPANSION",https://www.fuvex.com,https://www.linkedin.com/company/fuvex,2400
17,"Versaterm",1.00,Americas,"US","Public Safety & Emergency Response",1,"PARTNERSHIP",https://www.versaterm.com,https://www.linkedin.com/company/versaterm-inc-,
18,"DroneCloud",1.00,Europe,"UK","Construction & Infrastructure",1,"DEPLOYMENT",https://dronecloud.io,https://uk.linkedin.com/company/dronecloudhq,1340
19,"DBOX",1.00,Europe,"Lithuania","Public Safety & Emergency Response",1,"OTHER",https://dbox.lt,https://www.linkedin.com/company/dbox-drone-in-a-box,
20,"ABTECH",1.00,Americas,"US","Construction & Infrastructure",1,"DEPLOYMENT",https://abtech.com/,https://www.linkedin.com/company/abtech-usa,660
21,"EuroUSC Italia S.r.l.",1.00,Europe,"Italy","Public Safety & Emergency Response",1,"PARTNERSHIP",https://www.eurousc.it,https://it.linkedin.com/company/unifly-consulting,1000
22,"Dexa",1.00,Americas,"US","Logistics & Delivery; Ports, Maritime & Logistics Hubs",1,"DEPLOYMENT",https://www.flydexa.com,https://www.linkedin.com/company/flydexa,
23,"BlackSea",1.00,Americas,"US","Other: Training & Certification",1,"PARTNERSHIP",https://blackseatechnologies.com,https://www.linkedin.com/company/blacksea-technologies,8000
24,"Aeronex FZCO",0.80,MEA,"Saudi Arabia; China; UAE","Public Safety & Emergency Response; Energy & Utilities; Construction & Infrastructure; Municipal Services",4,"DEPLOYMENT",https://www.aeronex.ae,https://ae.linkedin.com/company/aeronex-fzco,4300
25,"Fidelity Services Group",0.80,MEA,"South Africa","Perimeter Security & Smart Facilities; Public Safety & Emergency Response",3,"DEPLOYMENT",https://www.fidelity-services.com,https://za.linkedin.com/company/fidelity-services-group,86000
26,"24/7 Drone Force",0.80,MEA,"South Africa","Perimeter Security & Smart Facilities; Public Safety & Emergency Response; Defense & Security",3,"DEPLOYMENT",https://24-7droneforce.co.za,https://www.linkedin.com/company/24-7-drone-force,5600
27,"Vumacam",0.80,MEA,"South Africa","Perimeter Security & Smart Facilities; Public Safety & Emergency Response",2,"PARTNERSHIP",https://www.vumacam.co.za,https://za.linkedin.com/company/vumacam01,
28,"Integrated Aerial Systems",0.80,MEA,"South Africa","Energy & Utilities",1,"DEPLOYMENT",https://www.iasystems.co.za,https://za.linkedin.com/company/integrated-aerial-systems,
29,"Terra Drone Arabia",0.80,MEA,"Saudi Arabia","Drone Technology; Oil & Gas / Industrial Assets",1,"OTHER",https://terra-drone.com.sa,https://sa.linkedin.com/company/terra-drone-sa,4700
30,"ITG Technology Center",0.80,MEA,"UAE","Ports, Maritime & Logistics Hubs; Construction & Infrastructure",1,"DEPLOYMENT",https://www.itg.es,https://www.linkedin.com/company/itg-technology-center,
31,"Aloft Technologies",0.70,APAC,"Japan","Other: Drone Distribution",1,"PARTNERSHIP",https://www.aloft.ai,https://www.linkedin.com/company/aloft-ai-inc,6883
32,"Terra Drone",0.70,APAC,"Japan","Other: Drone Distribution",1,"PARTNERSHIP",,,
33,"PT Fusi Global Teknologi",0.70,APAC,"Indonesia","Municipal Services",1,"DEPLOYMENT",https://fusi.co.id,https://www.linkedin.com/company/fusi-global-teknologi,200
34,"AIRINS",0.70,APAC,"Singapore","Research & Development",1,"OTHER",https://www.airins.com,https://sg.linkedin.com/company/airins,500
35,"Marut Drones",0.50,Others,"India","Public Safety & Emergency Response; Agriculture & Forestry",2,"DEPLOYMENT",https://www.marutdrones.com,https://in.linkedin.com/company/marutdrones,25559
36,"Amber Wings",0.50,Others,"India","Public Safety & Emergency Response",1,"DEPLOYMENT",https://www.amberwings.co,https://in.linkedin.com/company/amber-wings-co,4000
37,"Ubifly Technologies",0.50,Others,"India","Public Safety & Emergency Response",1,"DEPLOYMENT",https://www.eplane.ai,https://in.linkedin.com/company/the-eplane-company,
38,"Garuda Aerospace",0.50,Others,"India","Public Safety & Emergency Response",1,"DEPLOYMENT",https://www.garudaaerospace.com,https://in.linkedin.com/company/garuda-aerospace-private-limited,138000
