"Rank","Company","Hit Score","Countries","Industries","Website","Latest Article URL","Latest Article Date","Articles"
"1","Flock Safety","1.00","US","Perimeter Security & Smart Facilities; Public Safety & Emergency Response","https://www.flocksafety.com","https://news.google.com/rss/articles/CBMivgFBVV95cUxNRUFtNmZnQmtOcUhIVW5xaFdLQ29TOVNTamh5Mk03enlHNldBY2h3ZTFxaDh2eGpnR1J2M3JxYWRZd0p4YUlUWXpFTlJBZ3BzbFJEUHcwclNiZUFrWEV3OXVNRHNLMTRzeGFWOC1tUXpXSFRrYjQ4SUFJdVBLVzA2NjZBRHZxdEg5R3hkZE1QaE5fV0Jla0RZaVp0dWhEemFDRngwbUFjTHZsT3ljMkNjS3F3ektlaHJSSzFBMkNB0gHGAUFVX3lxTE1qaGJlTDFkUVE3cWJaMWJ1a2FRQTdKQXdXNTJKRm9CRGJoMy1OOG5vWlhVbG5waVdBTjhheWZieGF0ZUxqWThraUVCSW9uY2pzU3VWbjZZVUh4Ql9RcTNfeUFZNWxEeHlKTVpVYVBuR21iVThpQkFtZGdzVVowM3l1MTU4YW9jNWFrQWwzWUt1ZXR3and0cERJNzJsRHJ5dmpjVEVTcDJGaGpFQ2lqM29NWkQtRllfMGFyZXZfa3ZvVHBfNE5KUQ?oc=5","2025-09-30T07:00:00+00:00","4"
"2","Volatus Aerospace","1.00","US","Energy & Utilities","https://volatusaerospace.com","https://www.unmannedsystemstechnology.com/2026/03/volatus-to-develop-heavy-lift-drone-logistics-for-offshore-wind-operations-maintenance/","2026-03-19T00:00:00+00:00","3"
"3","Team UAV","1.00","UK","Logistics & Delivery","https://www.teamuav.uk","https://www.linkedin.com/feed/update/urn:li:activity:7430636261981294592/","2026-02-26T07:31:56+00:00","3"
"4","Falcon Unmanned Systems","1.00","US","Energy & Utilities","https://www.falconunmannedsystems.com","https://www.linkedin.com/feed/update/urn:li:activity:7439022840710049792/","2026-03-16T07:31:56+00:00","1"
"5","GNSS AE","1.00","Turkey","Renewable Energy","https://www.gnss.ae","https://www.linkedin.com/pulse/transforming-renewable-energy-operations-dji-dock-3-gnss-ae-lswac","2026-01-19T07:31:56.001+00:00","1"
"6","Guris","1.00","Turkey","Renewable Energy","https://guristeknoloji.com","https://www.linkedin.com/pulse/transforming-renewable-energy-operations-dji-dock-3-gnss-ae-lswac","2026-01-19T07:31:56.001+00:00","1"
"7","SkyVisor","1.00","France","Construction & Infrastructure","https://www.skyvisor.ai","https://www.linkedin.com/feed/update/urn:li:activity:7399386440297537537/","2025-12-19T07:42:54.847+00:00","2"
"8","kioniq","1.00","Austria","Public Safety & Emergency Response","https://kioniq.com/","https://www.linkedin.com/feed/update/urn:li:activity:7424114664902508546/","2026-02-19T07:42:54.847+00:00","1"
"9","heliguy™","1.00","UK","Public Safety & Emergency Response","https://www.heliguy.com","https://news.google.com/rss/articles/CBMifkFVX3lxTE1SbUZvZjN5ekUtTUxoeURyQVRvYzg5TDkxUnd3VUhrUGlIZkxXWFo2bDdPRDQyd3VXTDFIc2hDUjhwdmV5NHoybTB5a3BTYjJ6S3BibmFhVzRKVi04MjMyUVMxMmxvNTlJeXlKMlZXWVlRSlFpVmpMZ1BqUkkyZw?oc=5","2025-10-23T07:00:00+00:00","1"
"10","Airbox","1.00","UK","Public Safety & Emergency Response","https://www.airboxsystems.com","https://news.google.com/rss/articles/CBMifkFVX3lxTE1SbUZvZjN5ekUtTUxoeURyQVRvYzg5TDkxUnd3VUhrUGlIZkxXWFo2bDdPRDQyd3VXTDFIc2hDUjhwdmV5NHoybTB5a3BTYjJ6S3BibmFhVzRKVi04MjMyUVMxMmxvNTlJeXlKMlZXWVlRSlFpVmpMZ1BqUkkyZw?oc=5","2025-10-23T07:00:00+00:00","1"
"11","GS5 Systems","1.00","UK","Perimeter Security & Smart Facilities","https://gs5.systems","https://www.linkedin.com/feed/update/urn:li:activity:7440079594818260992/","2026-03-18T17:31:56+00:00","1"
"12","Revector","1.00","UK","Public Safety & Emergency Response","https://www.revector.com","https://www.unmannedsystemstechnology.com/2026/03/revector-cannon-dynamics-integrate-cell-phone-location-payload-onto-long-range-uav-for-anti-poaching/","2026-03-19T00:00:00+00:00","1"
"13","Cannon Dynamics","1.00","UK","Public Safety & Emergency Response","https://www.cannondynamics.co.uk","https://www.unmannedsystemstechnology.com/2026/03/revector-cannon-dynamics-integrate-cell-phone-location-payload-onto-long-range-uav-for-anti-poaching/","2026-03-19T00:00:00+00:00","1"
"14","Fuvex","1.00","Spain","Oil & Gas / Industrial Assets","https://www.fuvex.com","https://news.google.com/rss/articles/CBMiygFBVV95cUxPQ3JVLWttQTFRbjZydDUtc0hQVGpFS3J0a2JrdDdIbE5nODV6S3RUMzAwamhlazlNTmtlRjBraUxfcWplWnpfYmFfSW1ERllmSEo1NGNtZFIyUFZuZFB1NUZ6eG5OekpVQTJxVWRvb2lZRnFKUGN0QzJ4cFBHNl9nNFlJRml2dFVBWlN2NHNKeXpvdTZRa2xCODNmWDl4YVhmOEozNzVSWkhIMFhYUy12R251ZlhpZGVsTTZ2S2RfMk9NOWtYMHBhZUNR?oc=5","2025-10-20T07:00:00+00:00","1"
