priority,company_name,normalized_name,country,city,signal_source,dock_qa_status,dock_verified,website,linkedin,normalized_domain,missing,notes
P1,DJI Paris (Boutique),dji paris,FR,Paris,google_search,verified,true,https://boutique.dji-paris.com,,boutique.dji-paris.com,linkedin,Official DJI retail store France.
P1,EPC France (EPC Groupe),epc france,FR,Vignats (Normandy),chatgpt,verified,true,,,,website+linkedin,Dock 2 test at Vignats quarry.
P1,i-TechGroup (i-Techdrone),i techgroup,FR,Pau (Nouvelle-Aquitaine),chatgpt,verified,true,,,,website+linkedin,First in France to test DJI Dock (2023).
P1,Drone Parts Center,drone parts center,NL,,google_search,verified,true,https://drone-parts-center.com,,drone-parts-center.com,linkedin,Dock 3 product pages.
P1,Shell (Pernis / Europort),shell,NL,Rotterdam,chatgpt,verified,true,,,,website+linkedin,Multiple DJI Dock at Pernis & Europort. 1+ year.
P1,Skeye (Terra Drone Europe),skeye,NL,Heinenoord,chatgpt,verified,true,https://www.skeye.com,,skeye.com,linkedin,BVLOS Dock ops for Shell. First EASA LUC in NL.
P1,Tata Steel Nederland,tata steel,NL,IJmuiden,chatgpt,verified,true,,,,website+linkedin,Dock 2+Matrice 3D for daily stockpile mapping.
P3,Powerloop,powerloop,FR,,comet,verified,false,https://www.powerloop.fr,,powerloop.fr,linkedin,Dock 3 on LinkedIn/social. Zero on website.
P3,058nu,058nu,NL,"Issued: 22-08-2025, Expiry: 22-08-2027",ilt_sts,enriched,,https://058nu.nl,,058nu.nl,linkedin,"Issued: 22-08-2025, Expiry: 22-08-2027"
P3,11 Shots Media,11 shots media,NL,,drones_nl,enriched,,https://www.drones.nl/bedrijven/11shotsmedia,,drones.nl,linkedin,
P3,3D GeoData,3d geodata,NL,"DCRO member (€500/yr, OA holders only)",dcro,enriched,,https://3dgeodata.com/,,3dgeodata.com,linkedin,"DCRO member (€500/yr, OA holders only)"
P3,3DE Systems,3de systems,NL,,ilt_oa,enriched,,https://www.3desystems.com,,3desystems.com,linkedin,
P3,AB Drone,ab drone,NL,"DCRO member (€500/yr, OA holders only)",dcro,enriched,,https://www.abdrone.nl/,,abdrone.nl,linkedin,"DCRO member (€500/yr, OA holders only)"
P3,Adcim B.V.,adcim b.v.,NL,,ilt_oa,enriched,,https://www.adcim.nl,,adcim.nl,linkedin,
P3,Aerial Intelligence,aerial intelligence,NL,"DCRO member (€500/yr, OA holders only)",dcro,enriched,,https://aerialintelligence.nl/,,aerialintelligence.nl,linkedin,"DCRO member (€500/yr, OA holders only)"
P3,Aerinspect,aerinspect,NL,,ilt_oa,enriched,,https://aerinspect.com,,aerinspect.com,linkedin,
P3,Aerocam Company B.V.,aerocam company b.v.,NL,,ilt_oa,enriched,,https://www.aerocam.com,,aerocam.com,linkedin,
P3,Air Vision,air vision,NL,,ilt_oa,enriched,,https://www.airvision.nl,,airvision.nl,linkedin,
P3,AIRfootage BV.,airfootage bv.,NL,,ilt_oa,enriched,,https://airfootage.com,,airfootage.com,linkedin,
P3,AlfaDrone B.V.,alfadrone b.v.,NL,,ilt_oa,enriched,,https://www.alfadrone.nl,,alfadrone.nl,linkedin,
P3,Aule B.V. / Airscope.nl,aule b.v. / airscope.nl,NL,,ilt_oa,enriched,,https://www.airscope.nl,,airscope.nl,linkedin,
P3,Aurea Imaging,aurea imaging,NL,,ilt_oa,enriched,,https://www.aureaimaging.nl,,aureaimaging.nl,linkedin,
P3,Auricom,auricom,NL,"DCRO member (€500/yr, OA holders only)",dcro,enriched,,https://auricom.nl/,,auricom.nl,linkedin,"DCRO member (€500/yr, OA holders only)"
P3,AutoStickerOriginal,autostickeroriginal,NL,,ilt_oa,enriched,,https://www.autostickeroriginal.nl,,autostickeroriginal.nl,linkedin,
P3,B-Focus B.V.,b-focus b.v.,NL,,ilt_oa,enriched,,https://b-focus.nl,,b-focus.nl,linkedin,
P3,B3D Design B.V.,b3d design b.v.,NL,,ilt_oa,enriched,,https://www.b3d-design.nl,,b3d-design.nl,linkedin,
