"Rank","Company","Hit Score","Countries","Industries","Website","Latest Article URL","Latest Article Date","Articles"
"1","Flock Safety","0.75","US","Perimeter Security & Smart Facilities","https://www.flocksafety.com","https://news.google.com/rss/articles/CBMivgFBVV95cUxNRUFtNmZnQmtOcUhIVW5xaFdLQ29TOVNTamh5Mk03enlHNldBY2h3ZTFxaDh2eGpnR1J2M3JxYWRZd0p4YUlUWXpFTlJBZ3BzbFJEUHcwclNiZUFrWEV3OXVNRHNLMTRzeGFWOC1tUXpXSFRrYjQ4SUFJdVBLVzA2NjZBRHZxdEg5R3hkZE1QaE5fV0Jla0RZaVp0dWhEemFDRngwbUFjTHZsT3ljMkNjS3F3ektlaHJSSzFBMkNB0gHGAUFVX3lxTE1qaGJlTDFkUVE3cWJaMWJ1a2FRQTdKQXdXNTJKRm9CRGJoMy1OOG5vWlhVbG5waVdBTjhheWZieGF0ZUxqWThraUVCSW9uY2pzU3VWbjZZVUh4Ql9RcTNfeUFZNWxEeHlKTVpVYVBuR21iVThpQkFtZGdzVVowM3l1MTU4YW9jNWFrQWwzWUt1ZXR3and0cERJNzJsRHJ5dmpjVEVTcDJGaGpFQ2lqM29NWkQtRllfMGFyZXZfa3ZvVHBfNE5KUQ?oc=5","2025-09-30T07:00:00+00:00","1"
"2","Volatus Aerospace Inc.","0.75","North America","Energy & Utilities","https://volatusaerospace.com","https://news.google.com/rss/articles/CBMipwJBVV95cUxQYUpQR1dwVjNXSDBrX2dvZmJLdjVmTGRQeWFCOFN5VzVWTUhoTmpLaTJKQ3gyNllNOVZMZnFTUnhCZ0FmWlNXalkycXFnc3EzaWh6MGo1eXREWHdQbllFcHctT3BBNk9wYlE4bVdpTFA1RU93RzJuZTRNRHZ2QUtQWHBQb3V6OER0NHNqNHAxRHIyR2VyYXhTMC1LSFNlNEotNF8zQy1NYjJyR3R3cnRweUhSbl9UeUYxalJZMFRfQkxxcUU2R096ODZwc0psQk4zdElyQl9IS0V6elI1YVZHZDlJN0ZLbVktXzlkVkhpbzcyVnROWlYtZTZqUUVVcUVZSF9Jc2VpRnNNQmJsX09vQzRtTDU2UzR4TllTYTlPN0E1bFFRbGpr?oc=5","2025-09-16T07:00:00+00:00","1"
"3","Fuvex","0.75","Spain","Oil & Gas / Industrial Assets","https://www.fuvex.com","https://news.google.com/rss/articles/CBMiygFBVV95cUxPQ3JVLWttQTFRbjZydDUtc0hQVGpFS3J0a2JrdDdIbE5nODV6S3RUMzAwamhlazlNTmtlRjBraUxfcWplWnpfYmFfSW1ERllmSEo1NGNtZFIyUFZuZFB1NUZ6eG5OekpVQTJxVWRvb2lZRnFKUGN0QzJ4cFBHNl9nNFlJRml2dFVBWlN2NHNKeXpvdTZRa2xCODNmWDl4YVhmOEozNzVSWkhIMFhYUy12R251ZlhpZGVsTTZ2S2RfMk9NOWtYMHBhZUNR?oc=5","2025-10-20T07:00:00+00:00","1"
"4","SkyBound","0.65","UK","","https://www.skybound.tech","https://www.linkedin.com/feed/update/urn:li:activity:7416501759931715584/","2026-01-19T06:08:25.695+00:00","1"
"5","Falcon Unmanned Systems","0.65","USA","","https://www.falconunmannedsystems.com","https://www.linkedin.com/feed/update/urn:li:activity:7439022840710049792/","2026-03-15T19:26:14.682+00:00","1"
"6","ZenaTech","0.65","USA","Construction & Infrastructure","https://www.zenatech.com","https://news.google.com/rss/articles/CBMivwFBVV95cUxOcmxZckRvNVIwdWYwejhBMTRRRk1SU0lHYndETF9yaDRqSEQxLTdTNVlNdFgxazl0NEt4eFNpSERuQzBpelpYSnJrLWxpSEdsY0RndTBfN0czTGRhMGpDTXRuX3lpSW10cGtXMXBsVzNfWWVZSHVOQzBVb2tHT3hGUFc3TXU2NFdzeGVVN3JJalZVR1ExcXVLNkVaRzRoR0tiSjBCTUJlYkdVVWxwVWt4dWl4eDdvT2xnTXA4Ni0yQQ?oc=5","2025-09-23T07:00:00+00:00","1"
"7","Team UAV","0.65","UK","","https://www.teamuav.uk","https://www.linkedin.com/feed/update/urn:li:activity:7437534102741876737/","2026-03-11T19:26:14.682+00:00","1"
"8","Prosper","0.65","USA","Public Safety & Emergency Response","","https://news.google.com/rss/articles/CBMijAFBVV95cUxNYXJ2cFE2akNsbFBXVjM1V2pYTS12SDZfMVNpbFNxVDZUQVdZY1ZOdGxGTER4LTRXeXpDNk1IMHVVLTJ4WElEMVBQU0VFVTlYaXlBTVJmTTV3cXd2QThyV0hfRkNxQ2dKZ0U3VlBpTTQ4SEl2NHZYVl9rTV9YeXBfNkpPUzFhQ01BbTlRc9IBkgFBVV95cUxOUEk4bk44X0RNWm5CWC1GRTVNU241N3VGU0lxbEg5VjBTbENpem5BTFdsamlQRXNPODc2UTRGSWhLcGM5QkluVGZNS085X2tNY0lEcnBNS1NlQ0NnNlAwaF9ZdDZ2cUFEVHBGNWJkQkp2SVpTRzlDZjRBMHhSOGk4aFJUZVFZdDhvOWgzdWFNUEE1Zw?oc=5","2025-09-15T07:00:00+00:00","1"
"9","Oil Well Security","0.40","""; A; S; U; [; ]","","https://oilwellsecurity.com","https://www.linkedin.com/feed/update/urn:li:activity:7439830492222484480/","2026-03-18T01:26:14.683+00:00","1"
"10","24/7 Drone Force","0.40","South Africa","","https://24-7droneforce.co.za","https://www.linkedin.com/feed/update/urn:li:activity:7416130232019177472/","2026-01-19T06:08:25.695+00:00","1"
