siren,company_name,trade_name,acronym,naf_code,legal_form_code,employee_band,has_employees,company_category,created_date,composite_score,rank,region,signal_source,filter_version,extracted_at,notes
811794601,AZUR DRONES,,,74.90B,5710,21,False,ETI,2015-06-01,48,1,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
800970212,SQUADRONE SYSTEM,,,71.12B,5710,12,False,PME,2014-02-19,41,2,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
828427872,DIODON DRONE TECHNOLOGY,,,71.12B,5710,12,False,PME,2017-02-23,41,3,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
811423193,UAVIA,,,71.12B,5710,12,False,PME,2015-05-18,39,4,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
827837832,INSTADRONE,,,71.12B,5710,12,False,PME,2017-02-01,39,5,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
808408074,PARROT DRONES,,,26.70Z,5710,22,False,PME,2014-12-04,38,6,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
821433893,SKYDRONE INNOVATIONS,,,71.12B,5710,11,False,PME,2016-07-01,36,7,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
812225308,SEMADRONES,,,71.12B,5710,11,False,PME,2015-07-01,36,8,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
350686788,VOYAGES DESCAMPS DUAVRANT,,,49.39B,5499,21,False,PME,1989-04-01,35,9,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
825313232,ARTECH'DRONE,,,71.12B,5710,03,False,PME,2017-02-01,34,10,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
834143695,ARTEDRONE,,,72.19Z,5710,11,False,PME,2017-12-19,33,11,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
812376358,DRONE ACT,,,72.19Z,5710,11,False,PME,2015-08-01,33,12,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
842833824,LYNXDRONE,,,74.90B,5710,11,False,PME,2018-10-01,33,13,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
829385202,DRONE CONSULTING,,,71.20B,5710,03,False,PME,2017-04-26,32,14,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
838519395,BATHY DRONE SOLUTIONS,,,71.20B,5710,02,False,PME,2018-04-01,31,15,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
534093349,WEBDRONE,,,62.01Z,5710,11,False,PME,2011-07-19,31,16,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
807747662,SNOWDRONE,,,49.32Z,5499,12,False,PME,2014-11-04,30,17,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
841182678,SAS DRONE SERVICES,,,71.12B,5710,01,False,PME,2018-06-22,30,18,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
400186730,BLEU MARINE,AQUAVITHAL,,85.51Z,5499,12,False,PME,1995-03-20,30,19,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
847924305,DRONES TECHNOLOGIES SERVICES,,DTS,71.20B,5499,NN,False,PME,2019-02-01,29,20,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844079129,SIG-DRONE,,,71.12B,5710,02,False,PME,2018-11-01,29,21,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
841889975,DRONE EXPERTISE CENTRE,,,71.20B,5710,02,False,PME,2018-08-22,29,22,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
813598380,AIR SPACE DRONE,,ASD,71.12B,5710,02,False,PME,2015-09-01,29,23,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
803965540,FORMAT-DRONE,,FD,71.12B,5710,02,False,PME,2014-08-01,29,24,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
820377687,DRONELIS,,,70.22Z,5710,11,False,PME,2016-05-18,28,25,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
802991414,HEXADRONE,,,30.30Z,5710,11,False,PME,2014-05-26,28,26,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
408592079,ACQUAVIVA DISTRIBUTION II,,,47.11F,5710,02,False,ETI,1996-07-23,28,27,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
792951238,INTERDRONES SERVICES,,,71.12B,5710,NN,False,PME,2013-05-20,28,28,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
807500541,ESCADRONE,,,30.30Z,5710,11,False,PME,2014-10-27,28,29,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
531970051,DRONE VOLT,,,30.30Z,5599,12,False,PME,2011-04-12,28,30,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
409892122,SARL AQUAVAL,,,46.61Z,5499,11,False,PME,1996-10-28,27,31,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
798408563,DRONE ON AIR,,,59.11B,5499,11,False,PME,2013-11-01,27,32,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
800919904,SAS MARCELLU ACQUAVIVA,,,71.12A,5710,02,False,PME,2014-02-20,26,33,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844743567,DRONE XTR,,,74.90B,5710,02,False,PME,2018-12-19,26,34,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
821750908,SCANDRONE,,,71.12B,5710,01,False,PME,2016-08-29,26,35,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
821458122,DRONEXSOLUTION,,,71.12B,5710,01,False,PME,2016-07-01,26,36,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
827699943,CARIBEENNE D'EXPERTISE ET DE DRONES,,CAREX DRONES,71.12B,5710,01,False,PME,2017-02-01,26,37,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
790716153,AGENIUM DRONES SOLUTIONS,,,71.12B,5710,NN,False,PME,2013-02-01,26,38,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
884424656,DRONES INGENIERIE SYSTEMES,,,71.20B,5499,01,False,PME,2020-07-03,26,39,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
897993705,H2DRONE,,,71.20B,5710,02,False,PME,2021-03-20,26,40,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
792345217,DRONE TECH,,,71.12B,5710,NN,False,PME,2013-03-15,26,41,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
813352754,DRONE 06,,,71.12B,5710,01,False,PME,2015-09-04,26,42,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844545707,DRONE EXP'AIR TECH,,D.E.T,71.20B,5499,NN,False,PME,2018-12-04,25,43,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
810401430,ENERGY DRONE,,,71.12B,5499,01,False,PME,2015-04-06,25,44,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
839462074,ALTUS DRONES SERVICES,,ADS,62.01Z,5710,01,False,PME,2018-06-01,25,45,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
905304952,DARWIN DRONES,,,46.51Z,5710,11,False,PME,2021-11-16,25,46,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
853223816,DRONE GEOFENCING,,,58.29C,5710,11,False,PME,2019-08-01,25,47,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
805241999,CARTODRONE,,,71.12B,5499,01,False,PME,2014-10-14,25,48,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
801525932,DRONE EXPERT SERVICES,,,74.20Z,5710,02,False,PME,2014-05-01,25,49,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
887953180,DRONE INSPECTION,,,71.20B,5499,NN,False,PME,2020-08-06,24,50,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
509785820,SINEQUAVERT SERVICES,SINEQUAVERT SERVICES,,81.30Z,5499,02,False,PME,2009-01-23,24,51,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
799787726,MLV DRONE,,,71.12B,5710,NN,False,PME,2014-01-02,24,52,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
820118784,DRONE ANALYSE,,,71.20B,5710,NN,False,PME,2016-05-01,24,53,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
814986204,ATA DRONE,,,71.12B,5710,NN,False,PME,2016-01-01,24,54,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
844227249,ALIZEA DRONE SAS,,,71.12B,5710,NN,False,PME,2018-09-01,24,55,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
813560364,DIAG DRONE,,,71.12B,5710,NN,False,PME,2015-09-09,24,56,FR,sirene_bulk_db,waterfall_v1,2026-03-23T12:03:49Z,
