id,name,dealer_type,priority,address,city,state,country,country_code,continent,phone,email,website,latitude,longitude,linkedin_url,linkedin_scanned_at,notes,created_at,updated_at
1427,DronLab Group LTD,Enterprise Dealer,high,"Rruga Muhamet Gjollesha, përballë Universitetit të Sporteve, Tirane, Albania",Tirana,Tiranë,Albania,AL,Europe,+355694586909,info@dronlab.eu,https://dronlab.eu,41.332725,19.808415,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.617+00
1428,GeoTECH SH.P.K.,Enterprise Dealer,high,"Rruga “George W. Bush”, Kullat e Kuqe përballë Parlamentit Kati I-rë, Tiranë, Albania",Tirana,Tiranë,Albania,AL,Europe,+355692088060,info@geotech.al,https://www.geotech.al/,41.327277,19.824313,https://www.linkedin.com/company/geotech-sh-p-k,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1429,A & A SECURITY SURVEY,Enterprise Dealer,high,"Rr. Lord Bajron, Vila No.1 Tirana 1025",Tirana,Tiranë,Albania,AL,Europe,+355689027453,aasecsurvey@yahoo.com,https://geotrim.al/en/,41.337556,19.792979,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1430,GeoLanes GmbH,Enterprise Dealer,high,Gewerbestrasse 6,,Vorarlberg,Austria,AT,Europe,+43 720 317440,info@geo-lanes.com,https://www.geo-lanes.com,47.195357,9.691573,https://www.linkedin.com/company/geolanes,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1431,SmartMultiCopters KG,Enterprise Dealer,high,Haslau 2,,Niederösterreich,Austria,AT,Europe,+43 7474 23454,office@smartmulticopters.at,https://www.smartmulticopters.at,48.263936,15.001208,https://www.linkedin.com/company/smartmulticopters,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1432,AM Baugeräte HandelsgmbH,Enterprise Dealer,high,"Oberes Bahnfeld 2, A-2283 Raasdorf",Politischer Bezirk Gänserndorf,Niederösterreich,Austria,AT,Europe,+43 2249 28495,office@am-laser.at,https://www.am-laser.at/,48.24114,16.591858,https://www.linkedin.com/company/am-laser-und-bauger%C3%A4te-handels-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1433,Skyability GmbH,Enterprise Dealer,high,GZO – Dienstleistungszentrum 5 A-7011 Siegendorf Österreich,Eisenstadt Stadt,Burgenland,Austria,AT,Europe,+43 664 188 88 50,office@skyability.com,https://www.skyability.com/,47.773056,16.527868,https://www.linkedin.com/company/skyability-gmbh,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1434,utb Laser und Vermessungstechnik GmbH,Enterprise Dealer,high,Industriestraße 26a,,Burgenland,Austria,AT,Europe,+43 3352 380 90,office@utb.at,https://www.utb.at,47.301686,16.195182,https://www.linkedin.com/company/utb-laser-vermessungstechnik,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1435,Revierkönig,Enterprise Dealer,high,"Lehnerweg 1, 4631 Krenglbach",,Oberösterreich,Austria,AT,Europe,+43 6706023883,office@revierkoenig.at,https://revierkoenig.at/,48.205429,13.954992,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1436,actirax GmbH,Enterprise Dealer,high,Groisbacher Straße 171a,Krems an der Donau Stadt,Niederösterreich,Austria,AT,Europe,+43 680 1522476,info@spektakulAIR.at,https://www.spektakulair.at,48.052996,16.072024,https://www.linkedin.com/company/spektakulair-at,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1437,NEXIS d.o.o,Enterprise Dealer,high,"Mehe Smailagica 76, 71000 Sarajevo, Bosnia and Herzegovina",Sarajevo,Sarajevo Canton,Bosnia and Herzegovina,BA,Europe,info@nexis.ba,info@nexis.ba,https://nexis.ba/,43.864066,18.361026,,,,2026-03-21 13:37:17.315481+00,2026-03-21 13:37:17.315481+00
1438,Agencija Kamir d.o.o.,Enterprise Dealer,high,"Obilazna cesta 23, 88220 Široki Brijeg",Široki Brijeg,West Herzegovina Canton,Bosnia and Herzegovina,BA,Europe,+38739700700,kamir@kamir.net,https://kamir.net/,43.372965,17.614211,,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1439,SYNC d.o.o.,Enterprise Dealer,high,"Blajburških žrtava bb 88000 Mostar, BiH",Mostar,Herzegovina-Neretva Canton,Bosnia and Herzegovina,BA,Europe,+38736835281,info@sync.ba,https://sync.ba/,43.355679,17.791639,https://www.linkedin.com/company/sync-d-o-o-mostar,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1440,Comtrade Distribucija d.o.o.,Enterprise Dealer,high,"Dzemala Bijedica 179, 71000 Sarajevo, Bosnia and Herzegovina",Sarajevo,Sarajevo Canton,Bosnia and Herzegovina,BA,Europe,,dji.info@comtrade.com,https://www.comtradedistribution.com,43.84783,18.344064,https://www.linkedin.com/company/ct-computers-ba,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
1441,Geodirect B.V.,Enterprise Dealer,high,Rubensstraat 104/7 2300 Turnhout,Turnhout,Antwerpen,Belgium,BE,Europe,+32 14 762 347,info@geodirect.be,https://www.geodirect.nl,51.31583,4.94333,https://www.linkedin.com/company/geodirect-bv,,,2026-03-21 13:37:17.315481+00,2026-03-21 14:35:41.62+00
