"Company","Countries","Industries","Mentions","Signals","Website","Latest Article URL","Latest Article Date"
"24/7 Drone Force","South Africa","","2","DEPLOYMENT","","https://www.linkedin.com/pulse/greater-westmead-association-elevates-safety-surveillance-mfcrf","2026-03-15T07:31:56.001+00:00"
"AERONEX","Saudi Arabia","","1","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7320672780927033344/","2025-05-19T07:42:54.847+00:00"
"Aeronex FZCO","China; Saudi Arabia","","2","DEPLOYMENT","","https://www.linkedin.com/pulse/247-automated-aerial-patrols-how-dji-dock-enables-smart-highway-wplhf","2026-02-19T07:31:56.001+00:00"
"Agridrone (PTY) Ltd","South Africa","","1","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7423133018510438400/","2026-02-19T07:42:54.847+00:00"
"Amber Wings","India","Public Safety & Emergency Response","1","DEPLOYMENT","","https://news.google.com/rss/articles/CBMipwFBVV95cUxNYkE4bXgtTmMxM1JvRXZWUWpWcldQOFV0OUFPSnlORTc5cnpLNDNkcUp3eUZpbVU0M25idzZ5RjZXNEZ6ZmM5bHJ0Y0dKRzYzQ0dLVFBxWG4xRm9RajVaRTlNNEpMYV9GTHJEVDNVSVEycHNzaUQ4NUp6dml2N0syVmpFOUxMeWZEVGlWV3dEVG1wR2FGamNoTUdJMk9YdkU5dF9sMnFjRdIBrAFBVV95cUxPb0ZjMm1IcllDaEJWYTU0Q082UVBub0FKUkE0X3FDWVFuR2JpZmoxWC00cTdlRncwNjE4Tzk3UVFwVlJSZmJMWG51ck11TnluVVFVenRhcy1LV0p1Z19xZnY4bWlBRlo2YkxsenBDejcwbGQ2N1Jld1Fham5EemRCREVDTDBRUDJUaEVUckxwZktyZzBnRHZtbHdNYUo4VVRrMndOZzVEV19iRUZH?oc=5","2025-09-15T07:00:00+00:00"
"Anji County","China","","1","EXPANSION","","https://news.google.com/rss/articles/CBMivgFBVV95cUxOUzRTY1pkSXNZWVNPUkc0LXR3S002QWxzVmpPQ2NUR09PcDBlSURYc0Q3TFdWOGs3allTZjhCSWJyQ3p1bElWdk9NN1VBd2tJd0F0QnF2VFlUdlZzVHI4RGU1Y0FlbGtNLVp1VmsyLXFySmowa2tOSUJWU21YQk55WFctbDBUdko4cTJsTFpweGhVY3lqLU8yR2NGbGgwZEt2Qm51THlkWVNLaGw3RkpNRXdVWmhzT3RCSk9EejNB?oc=5","2026-02-05T08:00:00+00:00"
"Austintown Fire Department","US","","1","DEPLOYMENT","","https://news.google.com/rss/articles/CBMicEFVX3lxTE1WT3ljWlZJcW5TNDZaWnRmYVhPVzZ0dmRaREtLdE8tNDRUNEltRERxTzRySmM4MXB2d1pTNlp6V0NweEQ0bmdwMnR6bDhSRHNwVHBRM01rNDRWMUNqS05BREROdm5vOFRqUHl6a3BuTjQ?oc=5","2026-02-11T21:34:21+00:00"
"BlackSea","","Other: Training & Certification","1","PARTNERSHIP","","https://news.google.com/rss/articles/CBMiugFBVV95cUxNaDJ1N1hHQXZLcWt6NElWQXVQM2VuSXBMWi1CWDJ1X2lJaDZRWjV4eUNOZV9IZ2JHZ3ltcDJDbzNoZFhROW5iRHpGX0twdlFIUVM4ekJ1OWltOUFadnE4SkZLdXZORVJwSE5nX2NBQVpOZDc4by1VTUtSUHVqOTNMMWFEY3FRaXJobWYtYUwwQnVYcDhzZjRxcmVNWnd2dXl6TGxCZWtHQXFpT1pCZURxaTJ2dnRCZnRtT3c?oc=5","2025-09-30T07:00:00+00:00"
"Cannon Dynamics","[; ]","","1","PARTNERSHIP","","https://www.unmannedsystemstechnology.com/2026/03/revector-cannon-dynamics-integrate-cell-phone-location-payload-onto-long-range-uav-for-anti-poaching/","2026-03-19T00:00:00+00:00"
"Changsha City Authorities","China","","1","DEPLOYMENT","","https://www.linkedin.com/pulse/dji-dock-3-introduces-new-urban-governance-model-changshas-hkctf","2026-03-16T07:31:56+00:00"
"Dexa","US","","1","DEPLOYMENT","","https://dronelife.com/2026/03/xx/grubhub-and-dexa-launch-new-jerseys-first-drone-powered-food-delivery-program/","2026-03-18T09:52:58.411+00:00"
"Drone Force","","Public Safety & Emergency Response","1","PARTNERSHIP","","https://news.google.com/rss/articles/CBMivwFBVV95cUxPd3hyZkphcVIyUEFicUQ3T1RWNWJEbUxRM2hRWm9oZXFSQ2xXcFZrU0czN2hkOVB1dFhZYmdxMVU0WUJNQUN0QlJJeUNhRW1lVzZXU3RSRUtZYV9iNFJFS0RDekcxMVUzSzhjaDRKbWdjMl93NU80NUpPMXplbzV4NV82REx2ZHVRNFhrRWhWXzYzQ1dwbDlDanJGWnlzZVg1TC1iWHMyamQ1OEtMWml0Q19Wd1Rzdi1iallzZU03OA?oc=5","2025-10-01T07:00:00+00:00"
"DroneCloud","","Construction & Infrastructure","1","DEPLOYMENT","","https://news.google.com/rss/articles/CBMixAFBVV95cUxPekxmSXVTQ1dYeGJIQ29yaDZTMVNvNmh5Yk5rdVQxQ3oyakJXN0ZKWXJBMHdab1pRTEJpamdkLVYwNDRKY295MVF0QkZkRnJJVzhZTU1JTWU3TmZxdF9vQ3g4QUZ4MWRtWFF4am44dDRJMnAtdzFDYXhJaHU0WTIteHE0U2VxTzViT1FsTW5CYWF1dGhmSEVyc2hNQ2FobWNhQmFGc0ItRi1lNlF2dmU4M3RTQmVLZXJ2U1BPQ3I0a2ZaTDY0?oc=5","2025-09-25T07:00:00+00:00"
"Dubai Holding","UAE","","1","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7407672331948511232/","2025-12-19T07:31:56.001+00:00"
"Eye-bot Aerial Solutions","[; ]","","1","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7353057419905626112/","2025-08-19T08:03:02.62+00:00"
"Falcon Unmanned Systems","[; ]","","1","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7439022840710049792/","2026-03-16T07:31:56+00:00"
"Fidelity Services Group","South Africa","","3","DEPLOYMENT","","https://www.linkedin.com/feed/update/urn:li:activity:7439974200271970304/","2026-03-18T10:31:56+00:00"
