rank,score,siren,company_name,trade_name,acronym,naf_code,employee_band,company_category,founded_date,city,signals,website_to_enrich,linkedin_to_enrich
1,95,887953180,DRONE INSPECTION,,,71.20B,NN,PME,2020-08-06,,NAF_A:71.20B|dock_kw|structured|PME/micro,,
2,90,800970212,SQUADRONE SYSTEM,,,71.12B,12,PME,2014-02-19,,NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro,,
3,90,821433893,SKYDRONE INNOVATIONS,,,71.12B,11,PME,2016-07-01,,NAF_A:71.12B|provider_kw|structured|emp:11|PME/micro,,
4,90,825313232,ARTECH'DRONE,,,71.12B,03,PME,2017-02-01,,NAF_A:71.12B|provider_kw|structured|emp:03|PME/micro,,
5,90,827699943,CARIBEENNE D'EXPERTISE ET DE DRONES,,CAREX DRONES,71.12B,01,PME,2017-02-01,,NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro,,
6,90,828427872,DIODON DRONE TECHNOLOGY,,,71.12B,12,PME,2017-02-23,,NAF_A:71.12B|provider_kw|structured|emp:12|PME/micro,,
7,90,829385202,DRONE CONSULTING,,,71.20B,03,PME,2017-04-26,,NAF_A:71.20B|provider_kw|structured|emp:03|PME/micro,,
8,90,838519395,BATHY DRONE SOLUTIONS,,,71.20B,02,PME,2018-04-01,,NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro,,
9,90,841182678,SAS DRONE SERVICES,,,71.12B,01,PME,2018-06-22,,NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro,,
10,90,841889975,DRONE EXPERTISE CENTRE,,,71.20B,02,PME,2018-08-22,,NAF_A:71.20B|provider_kw|structured|emp:02|PME/micro,,
11,90,884424656,DRONES INGENIERIE SYSTEMES,,,71.20B,01,PME,2020-07-03,,NAF_A:71.20B|provider_kw|structured|emp:01|PME/micro,,
12,90,911417392,DRONEDELATTREEXPERTISE,,,71.12B,01,PME,2022-03-16,,NAF_A:71.12B|provider_kw|structured|emp:01|PME/micro,,
13,85,790716153,AGENIUM DRONES SOLUTIONS,,,71.12B,NN,PME,2013-02-01,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
14,85,792345217,DRONE TECH,,,71.12B,NN,PME,2013-03-15,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
15,85,792951238,INTERDRONES SERVICES,,,71.12B,NN,PME,2013-05-20,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
16,85,803965540,FORMAT-DRONE,,FD,71.12B,02,PME,2014-08-01,,NAF_A:71.12B|generic_name|structured|emp:02|PME/micro,,
17,85,805241999,CARTODRONE,,,71.12B,01,PME,2014-10-14,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
18,85,810401430,ENERGY DRONE,,,71.12B,01,PME,2015-04-06,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
19,85,812225308,SEMADRONES,,,71.12B,11,PME,2015-07-01,,NAF_A:71.12B|generic_name|structured|emp:11|PME/micro,,
20,85,813352754,DRONE 06,,,71.12B,01,PME,2015-09-04,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
21,85,813598380,AIR SPACE DRONE,,ASD,71.12B,02,PME,2015-09-01,,NAF_A:71.12B|generic_name|structured|emp:02|PME/micro,,
22,85,821458122,DRONEXSOLUTION,,,71.12B,01,PME,2016-07-01,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
23,85,821750908,SCANDRONE,,,71.12B,01,PME,2016-08-29,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
24,85,827837832,INSTADRONE,,,71.12B,12,PME,2017-02-01,,NAF_A:71.12B|generic_name|structured|emp:12|PME/micro,,
25,85,842477671,SAS DRONES EXPERTISES 2.9,,,71.20B,NN,,2018-09-19,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
26,85,844079129,SIG-DRONE,,,71.12B,02,PME,2018-11-01,,NAF_A:71.12B|generic_name|structured|emp:02|PME/micro,,
27,85,844545707,DRONE EXP'AIR TECH,,D.E.T,71.20B,NN,PME,2018-12-04,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
28,85,847924305,DRONES TECHNOLOGIES SERVICES,,DTS,71.20B,NN,PME,2019-02-01,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
29,85,883070484,DRONE EXPERT',,,71.12B,NN,PME,2020-03-31,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
30,85,890549702,DRONE 2I,,,71.12B,01,PME,2020-12-01,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
31,85,897993705,H2DRONE,,,71.20B,02,PME,2021-03-20,,NAF_A:71.20B|generic_name|structured|emp:02|PME/micro,,
32,85,914234992,BERINGER DIAG & DRONE,,,71.20B,01,PME,2022-06-03,,NAF_A:71.20B|generic_name|structured|emp:01|PME/micro,,
33,85,914686290,AURA DRONE,,,71.12B,01,PME,2022-06-18,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
34,85,929065308,DRONE TECH TOITURE,,,71.20B,NN,,2024-05-22,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
35,85,929159309,THERMODRONESERVICES,,,71.20B,NN,,2024-06-01,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
36,85,932539851,INGENIERIE & DRONE SOLUTIONS,,,71.12B,NN,,2024-09-02,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
37,85,940139983,TAHITI TECHNODRONE,,,71.12B,NN,,2024-04-01,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
38,85,948463971,DRONEX16,,,71.12B,01,PME,2023-01-20,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
39,85,950777649,AGRODRONE,,,71.12B,01,PME,2023-03-20,,NAF_A:71.12B|generic_name|structured|emp:01|PME/micro,,
40,85,951515907,INTERNATIONAL DRONE SERVICES,,,71.12B,NN,PME,2023-05-01,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
41,85,980830806,DRONE X SOLUTIONS,,,71.20B,NN,PME,2023-10-18,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
42,85,983254053,DRONE SOLUTIONS INVEST,,,71.20B,NN,,2024-01-04,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
43,85,987385887,DRONES EXPERTISES,,,71.20B,NN,,2024-03-07,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
44,85,991704305,FRANCE DRONE SERVICES,,,71.20B,NN,,2025-09-29,,NAF_A:71.20B|provider_kw|structured|PME/micro,,
45,85,995351236,DRONEDEV CONSULTING,,,71.12B,NN,,2025-12-01,,NAF_A:71.12B|provider_kw|structured|PME/micro,,
46,80,101574960,VYNSKY DRONE,,,71.20B,NN,,2026-02-23,,NAF_A:71.20B|generic_name|structured|PME/micro,,
47,80,499912483,DRONEXPLORER,,,71.12B,NN,,2007-09-15,,NAF_A:71.12B|generic_name|structured|PME/micro,,
48,80,505369447,CLEAN DRONE,,,71.12B,NN,PME,2008-08-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
49,80,794699967,DRONE FORCE,,,71.12B,NN,PME,2013-08-12,,NAF_A:71.12B|generic_name|structured|PME/micro,,
50,80,799787726,MLV DRONE,,,71.12B,NN,PME,2014-01-02,,NAF_A:71.12B|generic_name|structured|PME/micro,,
51,80,802193359,PHOENIX DRONES,,,71.12B,NN,PME,2014-05-01,,NAF_A:71.12B|generic_name|structured|PME/micro,,
