id,run_id,source,title,url,normalized_url,snippet,publisher,published_at,resolved_url,created_at,ever_queued,publisher_url
article_1773653421506_0,run_202603160930164,google_news,Kansas City Police Move Forward With DJI For DFR Program Expansion - Dronelife,https://news.google.com/rss/articles/CBMiogFBVV95cUxQM0J6TTBHYXBDSHZjbGJscUtUQ2g3RFlXM0U2VzN4a1ZaVEd5UHZmRFVwVnZveHpzX2FSUEY2eC1DdWtiemFwdzNZNHlhSlRIQWVRalRMU20wZGZfZUljVDhweWtRbVdzX1RqYm9LVHVCR2I4RGFQZG5SbU80OWx4d3hiZEVQRE4wLVFyU2RGR3lZTHd0UUw5M21HSmdualFDVVE?oc=5,news.google.com/rss/articles/cbmiogfbvv95cuxqm0j6ttbhyxbdshzjbgjscutuq2g3rflxm0u2vzn4a1zaved5uhzmrfvwvnzvehpzx2fsuey2ec1ddwtiemfwdznznhlhslriqwvralrmu20wzgzfzuljvdhwewtrbvdzx1rqym9lvhvcr2i4rgfqzg5sbu80owx4d3hizevqre4wlvfyu2rgr3lzthd0uuw5m21hsmdualfdvve,null,Dronelife,2026-03-09 16:49:54+00,null,2026-03-16 09:30:21.506+00,false,null
article_1773653421506_1,run_202603160930164,google_news,"Lenovo GT3 Max Drone was Designed to Take on the DJI Neo, Complete with Foldable Chassis - TechEBlog -",https://news.google.com/rss/articles/CBMia0FVX3lxTE9TVEpIcUF1OWxZaUMwLXR6NUdkTF9ZeTZ0c250bXhWQ29HQ2ZBRC14QVQtSjdlbGZ6blNSQ0E0ZldrZ0RVNTFIODRFX3VuSWlibFZwYmhaT3V2UXNwdXlLZExHYmpseENVeDNR?oc=5,news.google.com/rss/articles/cbmia0fvx3lxte9tvepicuf1owxzaumwlxr6nudktf9zetz0c250bxhwq29hq2zbrc14qvqtsjdlbgz6blnsq0e0zldrz0rvntfiodrfx3vuswlibfzwymhat3v2uxnwdxllzexhympseenvednr,null,TechEBlog -,2026-03-09 19:50:33+00,null,2026-03-16 09:30:21.506+00,false,null
article_1773653421506_2,run_202603160930164,google_news,"DJI Avata 360 Merges 360 Video with FPV Flight, Officially Launches March 26 - TechEBlog -",https://news.google.com/rss/articles/CBMic0FVX3lxTE1XanhSLTNfaEUycjNnV1NaWXUzVGJBdWJfTmtlbGdtaUVRVE1vellSd2VweENoZTJCUXBZSk9TSkhEenJKM2JRVU92TEU4UlZRQzM5REpXZzB4alI3ZEkwR3p5OW5JR2hIV19tYmg1RW5LTG8?oc=5,news.google.com/rss/articles/cbmic0fvx3lxte1xanhsltnfaeuycjnnv1nawxuzvgjbdwjftmtlbgdtauvrve1vellsd2vweenoztjcuxbzsk9tskheenjkm2jrvu92teu4ulzrqzm5repxzzb4ali3zekwr3p5ow5jr2hiv19tymg1rw5ltg8,null,TechEBlog -,2026-03-13 06:51:17+00,null,2026-03-16 09:30:21.506+00,false,null
article_1773653902432_1,run_202603160938179,google_news,DJI Mini 4K drone lands down to just £229 in Amazon Spring Deal Days Sale - Digital Camera World,https://news.google.com/rss/articles/CBMisgFBVV95cUxQZ3VoZURTTG1GNFh4V2ZmQU5DRjYySUxUNXlhVGtpNVF4bzVRbkxVNk5RSE5sZmdGSnlCcGZXY1YwZklFeDZ2WUdjaGtEdDdIakFhRDQwVmhPYkFyb1RqNjBMVXpUSjRTazJHaHgycTBfazJFUlhMWmV6UGxxdVZzNGdLVWF1OXlfc0tDSF9zQVRhOGdqdm9fcXJvZ2hwZElPc3JSYmdKWHpfZVFlMTZtTmtn?oc=5,news.google.com/rss/articles/cbmisgfbvv95cuxqz3vozurttg1gnfh4v2zmqu5drjyysuxunxlhvgtpnvf4bzvrbkxvnk5rse5szmdgsnlccgzxy1ywzklfedz2wudjagtedddiakfhrdqwvmhpykfyb1rqnjbmvxpusjrtazjhahgyctbfazjfulhmwmv6ugxxdvzzngdlvwf1oxlfc0tdsf9zqvrhogdqdm9fcxjvz2hwzelpc3jsymdkwhpfzvflmtzttmtn,null,Digital Camera World,2026-03-11 09:12:50+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_2,run_202603160938179,google_news,DJI's ultra-popular affordable 4k drone has never been this cheap – DJI Mini 4K is selling for £100 less on Amazon right now - T3,https://news.google.com/rss/articles/CBMi6gFBVV95cUxOOUhMWkFvWWNMT0FUQ1NuRHhCdm9tSVdpTEQ0d0N4dV91ZlFUQWNYTkZHVG9xRVk4Ulh1UU1ZS2k4N25UbEdYMUwzeWsxUDg0M045dUdlSTVVb1MwVUtmbmE3RGVNdUI3Ul8xNUhRaDBBN0poSVB6dHo4cEg5RGVJb3FTenNxQ2hDcFpMZDloT0xIeTR4enpDTEduSU9GVExNS2EzeXdsZUR3eUM4QmJ0LWxqaFVRQWcyZ2xCVlJjb2ltaHZZelhSVU5YT0w3MjY5QWEtU1Z5QTY1WG10bEd6M1FaNVVzS29VcGc?oc=5,news.google.com/rss/articles/cbmi6gfbvv95cuxoouhmwkfvwwnmt0fuq1nurhhcdm9tsvdpteq0d0n4dv91zlfuqwnytkzhvg9xrvk4ulh1uu1zs2k4n25ubedymuwzewsxudg0m045dudlstvvb1mwvutmbme3rgvndui3ul8xnuhradbbn0posvb6dho4ceg5rgvjb3ftennxq2hdcfpmzdlot0xietr4enpdtedusu9gvexns2ezexdszur3eum4qmj0lwxqafvrqwcyz2xcvljjb2ltahzzelhsvu5yt0w3mjy5qwetu1z5qty1wg10bed6m1fanvvzs29vcgc,null,T3,2026-03-10 14:26:31+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_3,run_202603160938179,google_news,The DJI Mini 5 Pro drone has hit a record-low price this weekend — save $500 at Amazon - Mashable,https://news.google.com/rss/articles/CBMicEFVX3lxTE11OFVHX1ZnZEs1ZGRkVWpmOTYwZHJxdFFacEQ4M05YdU9DUUlYNExUQmFzYnFERGk4UzBwUU0wc1FYcDBSVlo2QnFhRUt2dkV5cVVEX29iZ21HRjZfblE3Vkg3VWw3d2R0MHF3UDAtT1Y?oc=5,news.google.com/rss/articles/cbmicefvx3lxte11ofvhx1znzes1zgrkvwpmotywzhjxdffaceq4m05ydu9duulynexuqmfzynfergk4uzbwuu0wc1fycdbsvlo2qnfhrut2dkv5cvvex29iz21hrjzfble3vkg3vww3d2r0mhf3udatt1y,null,Mashable,2026-03-14 18:38:58+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_4,run_202603160938179,google_news,"Is the Drone Hobby Dying, Surviving, or Thriving? My Honest Take While Flying the DJI Neo 2 - DroneXL.co",https://news.google.com/rss/articles/CBMiZkFVX3lxTFA3aVJFeExzOFh0NUI2TEJlQllDWmx6ejMxYW54NWYxLUZjZ09fbGRYVFJBNzNJa3dfVzg5TVp2OVRVSm9Ja0JmYkVMZ29Sdks5UExQTnVQU01NR1lJWFR0eXJsZzJiQQ?oc=5,news.google.com/rss/articles/cbmizkfvx3lxtfa3avjfeexzofh0nui2tejlqlldwmx6ejmxyw54nwyxluzjz09fbgryvfjbnznja3dfvzg5tvp2ovrvsm9ja0jmykvmz29sdks5uexqtnvqu01nr1ljwfr0exjszzjiqq,null,DroneXL.co,2026-03-11 21:42:56+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_5,run_202603160938179,google_news,DJI Avata 360 First Review: Hands-On Flying Experience with the All-New 360 Camera Drone - NEW CAMERA,https://news.google.com/rss/articles/CBMiswFBVV95cUxQT0RKeFY1YkNEaWxwVy1zYk1JcWZ2VEEwYzdkX3ZqOEdYRHdmSTdmOXlGU20wTGxPYVZOazdnUTFOUE9Jand0UDhiRGVTc3J4SzBqRzBqQ1NYMzlEWE1SWG55cnFBYjB6eTdUNkppZXRUcktpSnNBUHljUEVhWGJRYW9wdTJnRHlmYk1KeGtXU1k5bV9vd0xHU3hlS0RBRFR5RGZuc3JoTjRXRnFBTjlkamNMcw?oc=5,news.google.com/rss/articles/cbmiswfbvv95cuxqt0rkefy1ykneawxwvy1zyk1jcwz2veewyzdkx3zqoedyrhdmstdmoxlgu20wtgxpyvzoazdnutfoue9jand0udhirgvtc3j4szbqrzbqq1nymzlewe1swg55cnfbyjb6etdunkppzxrucktpsnnbuhljuevhwgjryw9wdtjnrhlmyk1kegtxu1k5bv9vd0xhu3hls0rbrfr5rgzuc3jotjrxrnfbtjlkamnmcw,null,NEW CAMERA,2026-03-13 16:45:31+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_6,run_202603160938179,google_news,"DJI Mini 4 Pro, Matrice 4 drones can create 3D models faster with this tool - DroneDJ",https://news.google.com/rss/articles/CBMiZEFVX3lxTE04WFRURDVIbUNwNU5BN3ZkM3hodGYxX04yZGdXRHkyWUJJUVpTU091U1hnTEx1ZGVtUlNQSFdRZWNzUGJNQmxUODg0RWtBVHFqNV9HRERMc0U5Qy12SE9kR29rSUI?oc=5,news.google.com/rss/articles/cbmizefvx3lxte04wfrurdvibunwnu5bn3zkm3hodgyxx04yzgdxrhkywujjuvptu091u1hntex1zgvtulnqsfdrzwnzugjnqmxuodg0rwtbvhfqnv9hrermc0u5qy12se9kr29rsui,null,DroneDJ,2026-03-09 18:37:00+00,null,2026-03-16 09:38:22.432+00,false,null
article_1773653902432_7,run_202603160938179,google_news,"These are probably the best cheap drones to get started with in 2026, and I've tested lots - Digital Camera World",https://news.google.com/rss/articles/CBMiygFBVV95cUxOdGc4Z0V5VHFWRDgzZmxtN3FubHpjem1vOExNQXBwZEk3YUtDREhodm5VbnMySGs3VDZ6eDlxanVnaXZLYkE1SzNYV3RkSUpiT25fa1NUbTc1RDN0eWgtY0hPYVZaNkk4QXJUMWdIOEZLS0dLQ0dYT1BOYUtRc0JOdEZGcFpBX1Z4aGx6c3VhNVpTX0lNV0RiaktGUFBEMmFmdUxHNWdYWU1TcUpETG5aVUd5U0tha3pVUXY5VnVCX25pZGIzYWlfVzRB?oc=5,news.google.com/rss/articles/cbmiygfbvv95cuxodgc4z0v5vhfwrdgzzmxtn3fubhpjem1voexnqxbwzek3yutdrehodm5vbnmysgs3vdz6edlxanvnaxzlyke1sznyv3rksupit25fa1nubtc1rdn0ewgty0hpyvzankk4qxjumwdioezls0dlq0dyt1boyutrc0jodezgcfpbx1z4agx6c3vhnvptx0lnv0riaktgufbemmfmduxhnwdywu1tcupetg5avud5u0tha3pvuxy5vnvcx25pzgizywlfvzrb,null,Digital Camera World,2026-03-12 15:48:47+00,null,2026-03-16 09:38:22.432+00,false,null
