id,article_id,relevance_score,company,country,city,use_case,signal_type,summary,flytbase_mentioned,persons,entities,drop_reason,is_duplicate,status,actions_taken,reviewed_at,dismissed_at,slack_sent_at,created_at,normalized_url,url_fingerprint,enriched_at,drone_docks,prog_value,implementation_date,industry
scored_article_1773765627386_15_1773765760942,article_1773765627386_15,30,null,USA,null,BVLOS operations,OTHER,"Comments on the FAA's BVLOS NPRM challenge the agency to make significant changes to Part 108, indicating ongoing regulatory developments for drone operations.",false,[],"[{""name"":""FAA"",""type"":""regulator""}]",null,false,new,[],null,null,null,2026-03-17 16:42:40.942+00,news.google.com/rss/articles/cbmijafbvv95cuxotwxpx2pmb2pyxzj0d3hpbtbmd2x6qw9ntklddwzrsdjsaxrex3fbvuxvlwhhs2nfbvdtdxbmymjtyvzxa1lzcwfwrhnttmr4r1y2nmdgcwm5tjrkxzq0anjnstb6ckjdd1hhmdu3u0s4nm83azn4neu5muu4vfewnkxlnmyzvfhwrzjtcq,news.google.com/rss/articles/cbmijafbvv95cuxotwxpx2pmb2pyxzj0d3hpbtbmd2x6qw9ntklddwzrsdjsaxrex3fbvuxvlwhhs2nfbvdtdxbmymjtyvzxa1lzcwfwrhnttmr4r1y2nmdgcwm5tjrkxzq0anjnstb6ckjdd1hhmdu3u0s4nm83azn4neu5muu4vfewnkxlnmyzvfhwrzjtcq?oc=5,null,null,null,null,Other: Regulatory & Policy
scored_article_1773827439433_6_1773827538387,article_1773827439433_6,60,FDNY,US,New York,Public Safety,OTHER,"FDNY's Mike Leo discussed how the department is exploring the integration of drones, ground robots, and other robotic systems to enhance situational awareness for public safety operations.",false,"[{""name"":""Mike Leo"",""role"":""Representative"",""organization"":""FDNY""}]","[{""name"":""FDNY"",""type"":""buyer""}]",null,false,reviewed,[],2026-03-18 19:36:39.897+00,null,null,2026-03-18 09:52:18.387+00,dronelife.com/2026/03/xx/fdny-explores-convergence-of-robotics-for-public-safety-operations,dronelife.com/2026/03/xx/fdny-explores-convergence-of-robotics-for-public-safety-operations,2026-03-18 19:01:04.467+00,null,null,null,null
scored_article_1773660249249_28_1773679734141,article_1773660249249_28,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 16:48:54.141+00,news.google.com/rss/articles/cbmiigfbvv95cuxoduf4vkyya3rqqwvrdjv4exg5deznmkrcd3fidkt0cedgr3f2axc5rxdhbdz4rkywugjyyv9gwtdfv0z6tuzmwkpxs3rgblbramdxyut2bzdftfk3swl0vtjeeurhndfmvhhteefplvngvlfprxpodkztm3hcb0vurlcwdwfqynhhsve,news.google.com/rss/articles/cbmiigfbvv95cuxoduf4vkyya3rqqwvrdjv4exg5deznmkrcd3fidkt0cedgr3f2axc5rxdhbdz4rkywugjyyv9gwtdfv0z6tuzmwkpxs3rgblbramdxyut2bzdftfk3swl0vtjeeurhndfmvhhteefplvngvlfprxpodkztm3hcb0vurlcwdwfqynhhsve?oc=5,null,null,null,null,null
scored_article_1773664495185_34_1773679734142,article_1773664495185_34,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 16:48:54.142+00,news.google.com/rss/articles/cbmiwefvx3lxte10rhfjcjrpzwnwwfpkt3n6ttzksf9mszjzbzb6vg5rtnnurnpizvl2ethxuwlrbevpckq2qy1imjluq0rwug82znzfakgzcklvd3k2rmpuq00,news.google.com/rss/articles/cbmiwefvx3lxte10rhfjcjrpzwnwwfpkt3n6ttzksf9mszjzbzb6vg5rtnnurnpizvl2ethxuwlrbevpckq2qy1imjluq0rwug82znzfakgzcklvd3k2rmpuq00?oc=5,null,null,null,null,null
scored_article_1773653902432_19_1773653952573,article_1773653902432_19,10,null,US,null,null,OTHER,"The article details the anticipated US pricing for the new DJI Avata 360 drone, focusing on product cost for the market.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product pricing/marketing.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbminafbvv95cuxqthl4nge2b182lvo2mfrbanpzrg9tq1m1ngc3m0wxehn4al90suxka3rhchc5zlnrnw1unkfnrhmxt3lqyxh0tdhjownsr0fkvecyble3n2xknfrxrzrfnkp3retnui0wakfcmzv5qtzhy2temwd2ue1lzy1truy2tehxyxm3bm1zofrabwjvywnvlw0xefc2x3jlc2q,news.google.com/rss/articles/cbminafbvv95cuxqthl4nge2b182lvo2mfrbanpzrg9tq1m1ngc3m0wxehn4al90suxka3rhchc5zlnrnw1unkfnrhmxt3lqyxh0tdhjownsr0fkvecyble3n2xknfrxrzrfnkp3retnui0wakfcmzv5qtzhy2temwd2ue1lzy1truy2tehxyxm3bm1zofrabwjvywnvlw0xefc2x3jlc2q?oc=5,null,null,null,null,null
scored_article_1773653902432_20_1773653952573,article_1773653902432_20,10,null,null,null,null,OTHER,"The article reports on a leaked hands-on video of the DJI Avata 360 prior to its official announcement, serving as product marketing.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product leak/marketing.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbminafbvv95cuxnzthewxfheg5qruz3rvl3ttvkcm1zoe4yzmv3aduzukhuuwtqmhdfd2s2nxrurei4dfvsahezmvo2afdhzjj3lujscxdhtwxysfmwzejmedjssxnhag5ttfjowgdpmc1lexlvwwzryuvwbmxqajjczktiu0s3vupfukr1bvpiog5sve9qr2r6ohphdmjnouuzbl9fq0w,news.google.com/rss/articles/cbminafbvv95cuxnzthewxfheg5qruz3rvl3ttvkcm1zoe4yzmv3aduzukhuuwtqmhdfd2s2nxrurei4dfvsahezmvo2afdhzjj3lujscxdhtwxysfmwzejmedjssxnhag5ttfjowgdpmc1lexlvwwzryuvwbmxqajjczktiu0s3vupfukr1bvpiog5sve9qr2r6ohphdmjnouuzbl9fq0w?oc=5,null,null,null,null,null
scored_article_1773653902432_21_1773653952573,article_1773653902432_21,10,null,null,null,null,OTHER,"The article offers early impressions and a review of the DJI Avata 360 drone, evaluating its performance and features.",false,[],"[{""name"":""DJI"",""type"":""oem""}]",OEM product review/marketing.,false,new,[],null,null,null,2026-03-16 09:39:12.573+00,news.google.com/rss/articles/cbmia0fvx3lxte91mk9uvjlnbgrez043nff4b0xgdxhqce5hns1hsnzhetvssddwtetquuhpohfna2hjsg5pbmh5zzdeaffzzzzmc0psdlvbmwt6ohu4skstqxnpmujzumpamg9jetm5wxg1susw,news.google.com/rss/articles/cbmia0fvx3lxte91mk9uvjlnbgrez043nff4b0xgdxhqce5hns1hsnzhetvssddwtetquuhpohfna2hjsg5pbmh5zzdeaffzzzzmc0psdlvbmwt6ohu4skstqxnpmujzumpamg9jetm5wxg1susw?oc=5,null,null,null,null,null
scored_article_1773653902432_15_1773655362646,article_1773653902432_15,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 10:02:42.646+00,news.google.com/rss/articles/cbmitafbvv95cuxqwnztouxzcuzavuf4clhzbnlmv0vldlrkbv9zowrhskz6a0lum2npymdtn1pzm0dwuhztcjg5vk5zyu1ts0xavnvnytiwmg1lmhm4zi1zx2vxntluby1lctnmrmlcvmvvv2hswln5q2tuyjbubhlywu9bnxj2turxv2vsc3fhnup5ruswbmrnnutyse1ynup1x2e2agvvsnfaufhsqvv3cmxudmtulxr6q0zvmng,news.google.com/rss/articles/cbmitafbvv95cuxqwnztouxzcuzavuf4clhzbnlmv0vldlrkbv9zowrhskz6a0lum2npymdtn1pzm0dwuhztcjg5vk5zyu1ts0xavnvnytiwmg1lmhm4zi1zx2vxntluby1lctnmrmlcvmvvv2hswln5q2tuyjbubhlywu9bnxj2turxv2vsc3fhnup5ruswbmrnnutyse1ynup1x2e2agvvsnfaufhsqvv3cmxudmtulxr6q0zvmng?oc=5,null,null,null,null,null
scored_article_1773653902432_16_1773655362646,article_1773653902432_16,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 10:02:42.646+00,news.google.com/rss/articles/cbmia0fvx3lxte9wrtb6qvphthrfrnlgsggzukiybfbfavnruvlovmhrchpnvfuwnmhyauthyxq2unj0nlzsseltd1vjrkm4mddwc0jsr3pgwnvcoffhakjxyxlvawlzrxflz1f6ujb6ck1uthe4,news.google.com/rss/articles/cbmia0fvx3lxte9wrtb6qvphthrfrnlgsggzukiybfbfavnruvlovmhrchpnvfuwnmhyauthyxq2unj0nlzsseltd1vjrkm4mddwc0jsr3pgwnvcoffhakjxyxlvawlzrxflz1f6ujb6ck1uthe4?oc=5,null,null,null,null,null
scored_article_1773653902432_17_1773655362646,article_1773653902432_17,0,null,null,null,null,OTHER,null,false,[],[],Already captured in a previous run,true,new,[],null,null,null,2026-03-16 10:02:42.646+00,news.google.com/rss/articles/cbmiqgfbvv95cuxqvhnpqzzvnlg0otrrnfn3bhb2vgl1ykiwtxb6dlv3adzvognyvkfpu3bdakfxwtjawej4tuhmmfhgcwjpoe41dgx4clflvy16ynndduhxmfdbekjyq19tzno1q01ctktlmkqxehm2ndbxnm9lznhfazd5z2y5ujjmtjdgnm5vctzbaljonjiytuxuu2pxcy1ocho5s2dza3ltsvo4mnf4rg1szw,news.google.com/rss/articles/cbmiqgfbvv95cuxqvhnpqzzvnlg0otrrnfn3bhb2vgl1ykiwtxb6dlv3adzvognyvkfpu3bdakfxwtjawej4tuhmmfhgcwjpoe41dgx4clflvy16ynndduhxmfdbekjyq19tzno1q01ctktlmkqxehm2ndbxnm9lznhfazd5z2y5ujjmtjdgnm5vctzbaljonjiytuxuu2pxcy1ocho5s2dza3ltsvo4mnf4rg1szw?oc=5,null,null,null,null,null
