id,keywords,sources,regions,filter_days,min_score,max_articles,status,articles_fetched,articles_stored,dedup_removed,created_at,completed_at,campaign
run_202603160929425,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box"",""dock-in-a-box""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Mexico"",""Germany"",""Saudi Arabia""]",3,40,40,completed,3143,0,0,2026-03-16 09:29:47.161+00,2026-03-16 09:29:47.161+00,null
run_202603160930050,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Mexico"",""Germany"",""Saudi Arabia""]",3,40,40,completed,3110,0,0,2026-03-16 09:30:07.228+00,2026-03-16 09:30:07.228+00,null
run_202603160930164,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Mexico"",""Germany"",""Saudi Arabia"",""Japan"",""South Korea"",""South Africa""]",7,40,40,completed,3958,3,39,2026-03-16 09:30:21.506+00,2026-03-16 09:30:21.506+00,null
run_202603160938179,"[""DJI Dock"",""DJI Dock 3"",""DJI Drone""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Germany"",""South Korea"",""Japan""]",7,40,40,completed,3110,29,252,2026-03-16 09:38:22.432+00,2026-03-16 09:38:22.432+00,null
run_202603161001510,"[""DJI Dock"",""DJI Dock 3"",""DJI Drone""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Mexico"",""Germany"",""Japan"",""South Korea"",""South Africa"",""Saudi Arabia""]",90,40,40,completed,3958,40,1056,2026-03-16 10:01:56.476+00,2026-03-16 10:01:56.476+00,null
run_202603161124040,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Canada"",""Germany"",""Japan"",""South Korea"",""Saudi Arabia"",""South Africa""]",90,40,40,completed,3688,40,411,2026-03-16 11:24:09.249+00,2026-03-16 11:24:09.249+00,null
run_202603161125593,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box""]","[""google_news""]","[""US"",""Canada"",""Brazil"",""Mexico"",""UK"",""Germany"",""France"",""Italy"",""India"",""Singapore"",""Japan"",""Australia"",""South Korea"",""UAE"",""Saudi Arabia"",""South Africa""]",60,40,40,completed,4540,35,426,2026-03-16 11:26:04.79+00,2026-03-16 11:26:04.79+00,null
run_202603161145359,"[""DJI Dock"",""DJI Dock 3"",""drone-in-a-box"",""dock-in-a-box""]","[""google_news""]","[""Australia"",""Singapore"",""Japan""]",14,40,40,completed,859,7,14,2026-03-16 11:45:38.14+00,2026-03-16 11:45:38.14+00,null
run_202603161154090,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Canada"",""Brazil"",""Mexico"",""Germany"",""Japan"",""South Korea""]",60,40,40,completed,4476,38,385,2026-03-16 11:54:14.687+00,2026-03-16 11:54:14.687+00,null
run_202603161233072,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Germany"",""Japan"",""South Korea"",""South Africa"",""Saudi Arabia"",""Mexico""]",30,40,40,completed,4462,17,175,2026-03-16 12:33:14.047+00,2026-03-16 12:33:14.047+00,null
run_202603161234213,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Mexico"",""Germany"",""South Africa"",""Saudi Arabia"",""South Korea"",""Japan""]",14,40,40,completed,5205,7,95,2026-03-16 12:34:27.054+00,2026-03-16 12:34:27.054+00,null
run_202603161234455,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",90,40,40,completed,2785,40,274,2026-03-16 12:34:55.186+00,2026-03-16 12:34:55.186+00,null
run_202603161235056,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone Dock""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",90,40,40,completed,2603,40,256,2026-03-16 12:35:08.152+00,2026-03-16 12:35:08.152+00,null
run_202603161421454,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",7,40,40,completed,3782,4,52,2026-03-16 14:21:51.06+00,2026-03-16 14:21:51.06+00,null
run_202603161647367,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""India""]",7,40,40,completed,4255,4,59,2026-03-16 16:47:42.931+00,2026-03-16 16:47:42.931+00,null
run_202603161648037,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil"",""Germany"",""Mexico"",""Canada"",""South Korea"",""Japan"",""Saudi Arabia""]",7,40,40,completed,6149,4,87,2026-03-16 16:48:07.718+00,2026-03-16 16:48:07.718+00,null
run_202603161648201,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""Saudi Arabia"",""UAE""]",7,40,40,completed,946,4,10,2026-03-16 16:48:21.113+00,2026-03-16 16:48:21.113+00,null
run_202603161648377,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""Saudi Arabia"",""UAE""]",90,40,40,completed,946,40,92,2026-03-16 16:48:39.463+00,2026-03-16 16:48:39.463+00,null
run_202603161713495,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""linkedin""]",[],7,40,40,completed,0,0,0,2026-03-16 17:13:52.39+00,2026-03-16 17:13:52.39+00,null
run_202603161720455,"[""DJI Dock"",""DJI Dock 3"",""Drone in a box"",""Drone-in-a-box"",""Drone Dock""]","[""google_news""]","[""US"",""UK"",""France"",""Australia"",""Italy"",""Singapore"",""UAE"",""Brazil""]",7,40,40,completed,3783,3,45,2026-03-16 17:20:50.973+00,2026-03-16 17:20:50.973+00,null
