Company Name,Location,Rating Score,Category,Resolved Website
HOVER UAV PTY LTD,"MUDGEERABA, Qld",240,Key Integrator / Innovator,https://hoveruav.com.au
UAVISUALS PTY LTD,"QUINNS ROCKS, Western Australia",240,Key Integrator / Innovator,https://uavisuals.com
SPHERE DRONES (SYDNEY) PTY LTD,"SEVEN HILLS, New South Wales",240,Key Integrator / Innovator,https://spheredrones.com.au
STEVTECH PTY LTD,"DUBBO, New South Wales",230,Key Integrator / Innovator,https://stevtech.com.au
C.R. KENNEDY & COMPANY PROPRIETARY LIMITED,"PORT MELBOURNE, Vic",220,Key Integrator / Innovator,https://crkennedy.com.au
AGL ENERGY LIMITED,"SYDNEY, NSW",220,Major Asset Owner / Tier 1,https://agl.com.au
WHITEHAVEN COAL MINING LIMITED,"GUNNEDAH, NSW",220,Major Asset Owner / Tier 1,https://whitehavencoal.com.au
ORIGIN ENERGY LIMITED,"BARANGAROO, NSW",220,Major Asset Owner / Tier 1,https://originenergy.com.au
ERGON ENERGY CORPORATION LIMITED,"NEWSTEAD, Qld",220,Major Asset Owner / Tier 1,https://ergon.com.au
WOODSIDE ENERGY LTD.,"PERTH, WA",215,Major Asset Owner / Tier 1,https://woodside.com.au
FULTON HOGAN CONSTRUCTION PTY LTD,"ALEXANDRIA, NSW",210,Major Asset Owner / Tier 1,https://fultonhogan.com
SENSOREM PTY LTD,"SUBIACO, Western Australia",210,Key Integrator / Innovator,https://sensorem.com.au
CARBONIX OPERATIONS PTY LTD,"ARTARMON, New South Wales",210,Key Integrator / Innovator,https://carbonix.com.au
RocketDNA (AU) Pty Ltd,"OSBORNE PARK, WA",210,Key Integrator / Innovator,https://rocketdna.com
STATE OF NEW SOUTH WALES REPRESENTED BY ESSENTIAL ENERGY,"PORT MACQUARIE, NSW",200,Major Asset Owner / Tier 1,https://essentialenergy.com.au
SYDNEY WATER CORPORATION,"PARRAMATTA, NSW",200,Major Asset Owner / Tier 1,https://sydneywater.com.au
ANGLO AMERICAN EXPLORATION (AUSTRALIA) PTY LIMITED,"BRISBANE CITY, Queensland",185,Major Asset Owner / Tier 1,https://australia.angloamerican.com
ENVIRONMENT & AGRICULTURAL MANAGEMENT SOLUTIONS PTY LTD,"NARRABRI, New South Wales",180,Industrial/Engineering Entity,https://www.google.com/search?q=ENVIRONMENT+and+AGRICULTURAL+MANAGEMENT+SOLUTIONS+official+website+Australia
DRONE AGRICULTURAL REMOTE TECHNOLOGY PTY LTD,"CUMBERLAND PARK, SA",180,Specialized Drone Service Provider,https://www.google.com/search?q=DRONE+AGRICULTURAL+REMOTE+TECHNOLOGY+official+website+Australia
BHP IRON ORE PTY LTD,"PERTH, WA",175,Major Asset Owner / Tier 1,https://bhp.com
GLENCORE AUSTRALIA HOLDINGS PTY LIMITED,"SYDNEY, NSW",170,Major Asset Owner / Tier 1,https://glencore.com.au
RIO TINTO EXPLORATION PTY LIMITED,"BELMONT, WA",170,Major Asset Owner / Tier 1,https://riotinto.com
RIO TINTO ALUMINIUM (BELL BAY) LIMITED,"BELL BAY, Tas",170,Major Asset Owner / Tier 1,https://riotinto.com
SMEC AUSTRALIA PTY. LIMITED,"NORTH SYDNEY, NSW",170,Major Asset Owner / Tier 1,https://smec.com
TELSTRA CORPORATION LIMITED,"NINGI, Qld",170,Major Asset Owner / Tier 1,https://telstra.com.au
FORTESCUE LTD,"PERTH, WA",165,Major Asset Owner / Tier 1,https://fortescue.com
NEWMONT BODDINGTON GOLD PTY LTD,"SUBIACO, Western Australia",160,Major Asset Owner / Tier 1,https://newmont.com
JOHN HOLLAND PTY LTD,"MELBOURNE, Vic",160,Major Asset Owner / Tier 1,https://johnholland.com.au
FULTON HOGAN INDUSTRIES PTY LTD,"DANDENONG SOUTH, Vic",160,Major Asset Owner / Tier 1,https://fultonhogan.com
AUSGRID MANAGEMENT PTY LTD,"HAYMARKET, NSW",160,Major Asset Owner / Tier 1,https://ausgrid.com.au
SOUTH32 WORSLEY ALUMINA PTY LTD,"BODDINGTON, WA",160,Major Asset Owner / Tier 1,https://south32.net
NORTHERN STAR (THUNDERBOX) PTY LTD,"LEONORA, WA",160,Major Asset Owner / Tier 1,https://nsrltd.com
JACOBS GROUP (AUSTRALIA) PTY LTD,"NORTH SYDNEY, NSW",160,Major Asset Owner / Tier 1,https://jacobs.com
EAGLE EYE VISION PTY LTD,"ARMIDALE, NSW",160,Major Asset Owner / Tier 1,https://eagleeyevision.com.au
X-DRONE AGRICULTURAL SERVICES PTY LTD,"GISBORNE, Victoria",160,Specialized Drone Service Provider,https://xdroneagriculturalservices.com.au
BHP OLYMPIC DAM CORPORATION PTY LTD,"Olympic Dam, SA",160,Major Asset Owner / Tier 1,https://bhp.com
GIPPSLAND AGRICULTURAL DRONE SPRAYING & CONTRACTING PTY LTD,"WARRAGUL, Victoria",140,Specialized Drone Service Provider,https://gippslandag.com.au
AUSTRALIAN AGRICULTURAL DRONES PTY LTD,"WINDSOR, Queensland",140,Specialized Drone Service Provider,https://australianagriculturaldrones.com.au
